<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 11.02.2020,,,

ISIN,Maturity Date,Remaining years,SumOfAmount(Mn)
LKB00721J157,2021-10-15 00:00:00,1.67671232876712,1000
LKB00523C152,2023-03-15 00:00:00,3.09041095890411,200
LKB00523G153,2023-07-15 00:00:00,3.42465753424658,400
LKB01123I017,2023-09-01 00:00:00,3.55616438356164,800
LKB00523L153,2023-12-15 00:00:00,3.84383561643836,50
LKB00524F153,2024-06-15 00:00:00,4.34520547945205,2150
LKB00824H013,2024-08-01 00:00:00,4.47397260273973,750
LKB00524I157,2024-09-15 00:00:00,4.5972602739726,2550
LKB01027F156,2027-06-15 00:00:00,7.34520547945205,50
LKB00827J152,2027-10-15 00:00:00,7.67945205479452,150
Total,,,8100

