<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 29.01.2020,,,

ISIN,Maturity Date,Remaining years,SumOfAmount(Mn)
LKB00521C016,2021-03-01 00:00:00,1.087671233,50
LKB01123I017,2023-09-01 00:00:00,3.591780822,50
LKB00524F153,2024-06-15 00:00:00,4.380821918,1600
LKB00524I157,2024-09-15 00:00:00,4.632876712,50
LKB01027F156,2027-06-15 00:00:00,7.380821918,100
LKB00827J152,2027-10-15 00:00:00,7.715068493,1200
LKB01530E152,2030-05-15 00:00:00,10.29863014,150
LKB01534I155,2034-09-15 00:00:00,14.63835616,50
Total,,,3250

