<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 04.03.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00521C016,2021-03-01 00:00:00,0.991780821917808,200
LKB00921E014,2021-05-01 00:00:00,1.15890410958904,500
LKB00821H019,2021-08-01 00:00:00,1.41095890410959,300
LKB00322C159,2022-03-15 00:00:00,2.03013698630137,200
LKB00523C152,2023-03-15 00:00:00,3.03013698630137,600
LKB00523L153,2023-12-15 00:00:00,3.78356164383562,50
LKB01024A014,2024-01-01 00:00:00,3.83013698630137,250
LKB00524C150,2024-03-15 00:00:00,4.03287671232877,200
LKB00524F153,2024-06-15 00:00:00,4.28493150684931,200
Total,,,2500

