<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 20.04.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00922J011,2022-10-01 00:00:00,2.44931506849315,100
LKB00523C152,2023-03-15 00:00:00,2.9013698630137,750
LKB00623E156,2023-05-15 00:00:00,3.06849315068493,50
LKB00523G153,2023-07-15 00:00:00,3.23561643835616,600
LKB01123I017,2023-09-01 00:00:00,3.36712328767123,100
LKB01024A014,2024-01-01 00:00:00,3.7013698630137,250
LKB00524F153,2024-06-15 00:00:00,4.15616438356164,1200
LKB00824H013,2024-08-01 00:00:00,4.28493150684931,250
LKB00524I157,2024-09-15 00:00:00,4.40821917808219,350
LKB00827J152,2027-10-15 00:00:00,7.49041095890411,50
Total,,,3700

