<new sheet>
sheet_name: Central Bank Survey
,Central Bank Survey,,,,,,

,Period,,Rs. million,,,,
,,,Monetary Base,Net Claims on Government ,Claims on Commercial Banks,Other Items (Net) ,Net Foreign Assets of the Central Bank
,,,Broad Money (M2b),Broad Money (M2b),Broad Money (M2b),Broad Money (M2b),Broad Money (M2b)
,2000,January,100639,43534.4,744.8,-34062.799999999996,90424.01100000001
,,February,98687,41395.399999999994,734,-34978.5,91536.774
,,March,102943,47110.299999999996,718,-35234.20000000001,90348.731744
,,April,102623,49644.1,745.1999999999999,-34822.8,87057.625784
,,May,101353,56672,744.2,-36202.200000000004,80140.014985
,,June,101523,61094.09999999999,728.1999999999999,-40828.100000000006,80529.37561
,,July,100403,60488.4,725.0999999999999,-40987.80000000002,80178.72427999998
,,August,94487,59822.4,721.1999999999999,-40475.500000000015,74419.64058
,,September,100936,69338.59999999999,708.9,-40500.90000000001,71389.9992
,,October,101089,74875.00000000001,701.9,-40817.399999999994,66330.34000000001
,,November,98875,82621.7,698.1999999999999,-42729.49999999999,58285.58039999998
,,December,105163,91556,520,-44859.1,57947
,2001,January,103452,87852.7,516.9,-50071.5,65154.326400000005
,,February,101573,83968.2,513.2,-45672.40000000001,62765.31671999999
,,March,106331,88994.60000000002,500.2,-45637.399999999994,62474.853599999995
,,April,104586,89291.90000000001,497.3,-50119.500000000015,64916.55264000001
,,May,103145.1,92355,496.1,-51048.2,61343.18256
,,June,103444.2,89407.1,418,-51509.3,65129.02735999999
,,July,104408,91423.4,410.9,-52759.7,65333.717535
,,August,104643,85435.75000000001,410.3,-55064.95000000001,73863.44844000001
,,September,106926.8,87963.4,401.8,-56149.49999999999,74711.411635
,,October,105047.1,87837.5,399.2,-57592.12999999999,74403.45814500001
,,November,106713,83732,398.6,-58561.899999999994,81145.583405
,,December,112522,84534.5,150,-56507.322455000016,84345.822455
,2002,January,111022,79618.6,147.4000000000001,-53566.581334999995,84823.98133499996
,,February,108538.4,64930.7,131.7,-44374.31208500001,87851.212085
,,March,116958,75417.7,127,-44563.02264500002,85977.22264500003
,,April,118016.1,71832.00000000001,105.7,-48472.70792200001,94552.107922
,,May,116343,74566.3,105.1,-53674.68548499995,95347.28548499999
,,June,118700,68873.50000000001,95.9,-54015.150149999994,103747.15015
,,July,119940,69355.3,94.1,-52198.34344000005,102689.94344000003
,,August,120213.4,68905.3,93.5,-53379.323791999996,104594.92379199996
,,September,121716,71672.80000000002,93.3,-57114.78519999998,107065.18519999999
,,October,120235.5,70914.7,6.4,-57918.07399999996,107233.47399999994
,,November,123287,72083.76000000001,16.1,-58116.801999999945,109304.90199999999
,,December,126410.4,70934.40000000001,30,-61929.09999999997,117376.10000000003
,2003,January,123526.4,62978.200000000004,29.8,-63609.70000000001,124129.1
,,February,127140,58311.7,27.1,-55775.03699999999,124577.23699999998
,,March,131776.8,62949.7,22.3,-55369.50000000001,124175.29999999997
,,April,128642.2,54576.8,16.5,-56778.90000000002,130828.80000000002
,,May,132420.4,58145.6,16,-60563.100000000035,134822.7
,,June,130726,52650.9,15.9,-59792.8,137852.6
,,July,131026,42930.700000000004,13.6,-54362.600000000006,142444.6
,,August,135246,42441.59999999999,13.08,-53471.53000000007,146263.65000000002
,,September,134600,34610.2,13,-61712.100000000006,161690.10000000003
,,October,137727,35470.7,10.8,-60287.600000000035,162534.40000000002
,,November,140989.5,42785.799999999996,10.2,-62192.70000000003,160387.30000000002
,,December,141446,42148.9,29.9,-65328.09999999998,164596.39999999994
,2004,January,145881,48862.2,29.8,-67783.20000000001,164772.80000000005
,,February,146768,51909.49999999999,29.4,-72384.89999999998,167214.40000000002
,,March,158659,67425.1,27,-69747.49999999999,160955.3
,,April,153084,66867,24.9,-66081.49999999994,152275.20000000007
,,May,152185,69446.1,24.3,-68415.90000000001,151131.2
,,June,151130,70725.50000000001,24.2,-71629.70000000003,152011.19999999998
,,July,156319,80303.40000000001,22,-74592.09999999992,150586.5
