<new sheet>
sheet_name: GDP at Constant Prices

,,GDP Constant Prices (2002),Agriculture,Industry,Services,GDP Constant Prices (2010),Agriculture,Industry,Services,GDP Constant Prices (2015),Agriculture,Industry,Services
2002.0,Q1,412130,68404,114780,228947,,,,,,,,
,Q2,394341,55531,109238,229572,,,,,,,,
,Q3,420803,60692,118038,242073,,,,,,,,
,Q4,408762,48988,116209,243566,,,,,,,,
2003.0,Q1,436083,69301,119990,246793,,,,,,,,
,Q2,414456,54395,113266,246795,,,,,,,,
,Q3,446250,62586,122960,260704,,,,,,,,
,Q4,436433,51249,123431,261754,,,,,,,,
2004.0,Q1,462392,68446,127171,266775,,,,,,,,
,Q2,439177,57304,119274,262600,,,,,,,,
,Q3,468176,61711,130691,275774,,,,,,,,
,Q4,457852,50075,128466,279311,,,,,,,,
2005.0,Q1,486316,67535,138130,280651,,,,,,,,
,Q2,467497,58263,127341,281892,,,,,,,,
,Q3,500551,64575,140761,295214,,,,,,,,
,Q4,487308,51477,139749,296082,,,,,,,,
2006.0,Q1,524440,74183,148122,302135,,,,,,,,
,Q2,503380,61507,137930,303942,,,,,,,,
,Q3,539205,67172,152560,319473,,,,,,,,
,Q4,523540,54286,151685,317569,,,,,,,,
2007.0,Q1,556683,74578,158330,323774,,,,,,,,
,Q2,535752,63805,148275,323672,,,,,,,,
,Q3,576881,69744,164046,343090,,,,,,,,
,Q4,563340,57742,164546,341051,,,,,,,,
2008.0,Q1,591454,78959,167860,344635,,,,,,,,
,Q2,573180,68503,158577,346101,,,,,,,,
,Q3,613456,78382,173170,361904,,,,,,,,
,Q4,587411,60054,173184,354173,,,,,,,,
2009.0,Q1,601084,81774,171058,348252,,,,,,,,
,Q2,585465,71943,163366,350156,,,,,,,,
,Q3,639326,78018,180827,380481,,,,,,,,
,Q4,623338,63361,185877,374099,,,,,,,,
2010.0,Q1,643504,89177,182780,371547,1414947.969484231,125143.33536842518,420466.23231385765,793066.1158019481,,,,
,Q2,635087,76486,178432,380169,1523775.6524425787,134024.87816669018,421968.2061019442,834570.084173944,,,,
,Q3,690209,82724,196719,410767,1646379.1396062505,130651.86723008013,451895.24508760415,916043.164288566,,,,
,Q4,676742,67224,202404,407114,1828565.6808200036,155094.1656583402,414537.4917583596,960643.4874033041,,,,
2011.0,Q1,695038,85264,203086,406689,1553922.5717128643,124300.58776950267,463886.35669888,885694.2882444818,,,,
,Q2,686823,77896,195360,413567,1633648.9091327963,141856.5099636671,430576.75924663,925935.7069224992,,,,
,Q3,748744,88138,217903,442703,1797735.2079922447,141787.37568119657,514289.3390792038,978146.5252318442,,,,
,Q4,733086,68857,222583,441646,1967413.4771020957,162009.51297305213,458194.6949526938,1027378.3211763497,,,,
2012.0,Q1,750760,95517,225057,430186,1804428.2816890643,140834.52960014503,561316.7185930765,1015239.9104958427,,,,
,Q2,730641,84539,213953,432150,1792831.0714885804,142694.98681152388,476020.8843832568,1029111.6222937999,,,,
,Q3,784422,87680,233832,462909,1890856.012127832,142670.8505930903,501105.4068549655,1082877.2926797762,,,,
,Q4,779465,69080,252311,458073,2100401.458896095,166243.1108835051,497158.286597262,1118232.019415328,,,,
2013.0,Q1,796720,98718,249167,448834,1869884.4552604724,143979.83868842875,599137.0740467558,1044936.7475252877,,,,
