<new sheet>
sheet_name: GDP @ Current Market Prices
,,,GDP at Current Market Prices (Rs Million)  2002,Agriculture,Industry,Services,GDP at Current Market Prices (Rs Million) 2010,Agriculture,Industry,Services,GDP at Current Market Prices (Rs Million) 2015,Agriculture,Industry,Services
,2002,Q1,412130,68404,114780,228947,,,,,,,,
,,Q2,394341,55531,109238,229572,,,,,,,,
,,Q3,420803,60692,118038,242073,,,,,,,,
,,Q4,408762,48988,116209,243566,,,,,,,,
,2003,Q1,459024,71499,129704,257821,,,,,,,,
,,Q2,435381,53304,122043,260034,,,,,,,,
,,Q3,468787,61697,129910,277181,,,,,,,,
,,Q4,459276,54622,136371,268282,,,,,,,,
,2004,Q1,508618,71329,145749,291541,,,,,,,,
,,Q2,490921,60281,139487,291152,,,,,,,,
,,Q3,535459,67576,150768,317115,,,,,,,,
,,Q4,555843,63085,162355,330403,,,,,,,,
,2005,Q1,590588,81226,177510,331851,,,,,,,,
,,Q2,577360,68105,176611,332643,,,,,,,,
,,Q3,632841,73434,182175,377232,,,,,,,,
,,Q4,651993,67140,204152,380701,,,,,,,,
,2006,Q1,681149,90227,212902,378020,,,,,,,,
,,Q2,696432,77551,217970,400911,,,,,,,,
,,Q3,760419,86057,226777,447585,,,,,,,,
,,Q4,800680,79301,242831,478548,,,,,,,,
,2007,Q1,824020,109845,249970,464204,,,,,,,,
,,Q2,841202,93334,257094,490773,,,,,,,,
,,Q3,925890,108871,270427,546593,,,,,,,,
,,Q4,987577,106054,293246,588277,,,,,,,,
,2008,Q1,1029293,162423,300186,566684,,,,,,,,
,,Q2,1066179,148415,318329,599435,,,,,,,,
,,Q3,1166771,162531,336634,667606,,,,,,,,
,,Q4,1148439,116745,340321,691374,,,,,,,,
,2009,Q1,1153632,175533,346933,631167,,,,,,,,
,,Q2,1116903,135569,335869,645465,,,,,,,,
,,Q3,1228317,158822,352449,717046,,,,,,,,
,,Q4,1336440,143771,399450,793220,,,,,,,,
,2010,Q1,1328881,212012,393834,723035,1424043.4753774873,123333.69917091534,412961.45982044167,806088.8743861304,,,,
,,Q2,1302606,162631,384404,755571,1536582.0619974216,135787.7795232246,416248.1343075634,841052.9861666334,,,,
,,Q3,1407730,179367,401906,826457,1612561.2513761974,128924.74739037504,445403.41530230315,898478.4436835193,,,,
,,Q4,1564886,163900,469123,931863,1840481.6556019573,156868.01533902073,434254.16683145764,958702.5534314791,,,,
,2011,Q1,1573184,236944,470973,865267,1726621.2533347318,150752.28264823215,510733.3338655225,928561.820820977,,,,
,,Q2,1515642,184075,451155,880411,1721534.225491998,164698.1210234637,472234.6862945194,944226.297174015,,,,
,,Q3,1646376,196335,479146,970896,1860004.9140097017,147353.52477122188,551201.9049325834,1015773.3883058964,,,,
,,Q4,1808056,174353,555384,1078318,1910945.927644644,174763.28453455865,486867.01814149483,1091938.3589685904,,,,
,2012,Q1,1782597,240791,558180,983626,2141869.59166089,146353.41888805514,707625.1426032725,1145482.4821695623,,,,
,,Q2,1751381,198485,539804,1013091,2093689.9718030423,152054.59874470026,617475.1807378395,1159323.5453205025,,,,
,,Q3,1866883,206312,561723,1098848,2185410.400118519,156382.21504543463,651409.9184168426,1260387.4196562418,,,,
,,Q4,2177537,187732,728534,1261271,2311493.3173244805,195719.3680015034,654255.725411741,1293098.8959112358,,,,
,2013,Q1,2052193,284534,664327,1103331,2407674.07495138,172666.82802652495,782170.2990164888,1315246.1419083662,,,,
,,Q2,1992729,210300,630155,1152274,2332841.7532041655,176331.35549014734,666483.6223576375,1343131.018356381,,,,
,,Q3,2130536,235335,647344,1247857,2425773.079971694,179968.8389242044,686728.5156760815,1382608.694371408,,,,
,,Q4,2498486,203179,873603,1421704,2425836.0160143003,206414.8029885631,661945.7610811344,1365558.3809446027,,,,
,2014,Q1,2328208,285542,770387,1272280,2505232.1705456045,186118.1459984856,784953.5282922466,1380248.2912548725,,,,
,,Q2,2262679,231550,744749,1286380,2483977.3448680304,197859.22090566732,658191.8227650007,1457609.8061973625,,,,
,,Q3,2401020,250445,788494,1362082,2622379.822409709,200911.9835263607,749483.1720229443,1510142.7998604039,,,,
,,Q4,2806390,210855,1004709,1590827,2749562.3037172067,244687.5566090157,739370.4875548893,1547617.5315533015,,,,
,2015,Q1,2606908,347965,849497,1409446,2653430.7016167883,210392.82669397062,771881.1662100324,1478628.139712785,2837546.654261455,231321.55079129778,893479.4774164009,1530179.9056511864
,,Q2,2438858,237911,795082,1405865,2673185.603767689,217647.80900210733,681798.1415573969,1552202.3612081846,2715059.48765239,229411.35982729198,771329.4050332063,1492613.0585791247
,,Q3,2596467,269164,851249,1476054,2785399.8888411904,214296.60542633457,758247.4825921091,1583559.9868227467,2942853.900640215,224658.425607483,884824.3533436949,1592498.4167267338
,,Q4,3017547,224716,1040738,1752093,2838604.3224061998,253891.25963222756,763304.9233445585,1668988.2914294132,3071527.3248160793,265060.94336543937,866724.8180419615,1655244.1443437128
,2016,Q1,,,,,2952534.919218404,209784.41861165632,932558.2007844527,1555885.640822295,3190164.242424347,232060.39089893136,1036714.8530149024,1658501.161725794
,,Q2,,,,,2890830.2414275394,224755.0286725062,740180.0731436572,1636925.708611376,2999854.1900419933,236823.974979301,832260.2276802766,1614105.5133642298
,,Q3,,,,,2972830.5930146566,218348.46768509137,842460.9159114176,1729526.8054181477,3228936.284439616,222158.36832365484,1018537.1145592503,1763065.6780046136
,,Q4,,,,,3179888.118562943,238037.14087940834,822228.312579474,1848898.4911040603,3394020.0445774393,239399.41520414868,1018230.7346144988,1808783.4848215838
,2017,Q1,,,,,3233980.2776387557,222810.02092546705,990471.9722466997,1702031.311466589,3574219.9193202434,238034.46028814363,1199342.9475282384,1808185.1750230715
,,Q2,,,,,3181503.2542614844,257744.84747203463,796610.5875186292,1834132.6572708206,3326933.44743348,263692.5049183303,963002.3898328374,1784049.2292841126
,,Q3,,,,,3408922.0138449757,256600.4484571659,904759.6910169479,1974771.6633708621,3693658.4040538915,258014.56769615872,1110875.9354643254,2009542.3592269174
,,Q4,,,,,3503697.875480614,306838.921458883,876717.2618255836,1966212.5711961475,3792507.6612673188,309333.93176072615,1205303.5812973708,1914091.7937442719
,2018,Q1,,,,,3579707.6762752393,262748.9092798414,1055766.3595896016,1946174.548405796,3982860.5721239615,278829.24069043045,1308462.2224370502,2070417.0009171506
,,Q2,,,,,3423547.063989583,284589.6141982678,845813.3815215282,1991656.5152697868,3620207.0570452344,291597.9511834518,1069393.7361140824,1930959.4829456601
,,Q3,,,,,3574508.6656795945,280606.33356083033,958208.6000684183,2053023.6390503454,3891882.154908668,281779.1372459287,1203641.0580216255,2083501.9899092233
,,Q4,,,,,3713143.596445322,318727.19449549593,892580.0384343507,2200235.7845154754,3856983.5796908345,313322.27161405794,1032805.9143431305,2149487.027882996
,2019,Q1,,,,,3754277.4636650286,256280.4576440151,1158086.3086255223,2056200.629395491,4079248.6923170523,276908.0799742525,1285837.4786960199,2222822.2753797597
,,Q2,,,,,3587505.227196493,266302.1346586441,920383.9765544871,2133993.565983362,3727654.588532911,272246.824969176,1047028.0631926549,2100606.1889041904
,,Q3,,,,,3825600.7052883524,275928.79125089257,1060901.3038107248,2238407.9102267353,4111657.854766176,274509.4866074036,1256729.621175352,2269581.862631391
,,Q4,,,,,3829773.8677712632,338103.7571764629,945464.0194880655,2303553.6171067343,3992414.445376908,330875.24144283973,1054979.3029541685,2276699.61778605
,2020,Q1,,,,,3851430.531070015,285302.55339309835,1084486.6877894974,2252318.7568874187,4165666.8808543026,305306.0426672511,1205711.2382731088,2405488.840248687
,,Q2,,,,,3019545.977199426,285966.08482461056,737329.0999355498,1866505.8617592654,3161021.581867172,294477.4797267489,837498.6154750164,1866975.481832435
,,Q3,,,,,4105538.9973292896,332958.53528498893,1122056.8152912043,2348948.776753096,4227546.724903022,326317.804809552,1278810.7580430412,2380888.853104193
,,Q4,,,,,4050858.6702945307,386657.4918978636,991824.1688623914,2475725.0235342756,4117299.66282912,364921.22744789254,1095829.4577151802,2395248.9336636537
,2021,Q1,,,,,4206817.858360037,329123.2866801357,1247567.1595560499,2402200.093123852,4592330.119339689,371137.21761236235,1391829.336940953,2579416.2706701066
,,Q2,,,,,3793834.6189718125,370274.6113135412,991323.6546764488,2124142.4269818226,3887479.699513867,394007.29966959526,1140472.8294774443,2114414.638843879
,,Q3,,,,,4234626.712466726,369529.9452412334,1266617.4476394323,2406756.3575860607,4395879.762316484,355113.0787628621,1432118.7458278828,2400672.512328194
,,Q4,,,,,4574030.221963422,445631.0044887018,1174551.4057811834,2735828.507693538,4724501.263568931,434653.1069951535,1311183.9287202037,2697494.2737654694
,2022,Q1,,,,,,,,,5543306.042664169,430665.41479594505,1699993.314569451,3134023.0180883794
,,Q2,,,,,,,,,5442362.246386774,549068.7284599125,1793716.247585164,2823584.529248158
,,Q3,,,,,,,,,6586601.695349676,529422.4761257278,2219087.0917592896,3569833.567361015
,,Q4,,,,,,,,,6575456.106815978,603588.815944943,1596155.713486447,4021612.7606304777
,2023,Q1,,,,,,,,,7328573.818231372,585054.498681366,2105796.408970596,4266899.545176941
,,Q2,,,,,,,,,6145451.893709768,637259.9531939112,1661672.396435122,3490632.4420807348
,,Q3,,,,,,,,,,,,
,,Q4,,,,,,,,,,,,

,"Source: Department of Census and Statisticis, Sri Lanka",,,,,,,,,,,,,
,"http://www.statistics.gov.lk/NationalAccounts/StaticalInformation/GDP     
",,,,,,,,,,,,,

