<new sheet>
sheet_name: Sheet1

,Economic Activity,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-15 00:00:00,2016-02-15 00:00:00,2016-03-15 00:00:00,2016-04-15 00:00:00,2016-05-15 00:00:00,2016-06-15 00:00:00,2016-07-15 00:00:00,2016-08-15 00:00:00,2016-09-15 00:00:00,2016-10-16 00:00:00,2016-11-16 00:00:00,2016-12-16 00:00:00,2017-01-16 00:00:00,2017-02-16 00:00:00,2017-03-16 00:00:00,2017-04-16 00:00:00,2017-05-16 00:00:00,2017-06-16 00:00:00,2017-07-16 00:00:00,2017-08-16 00:00:00,2017-09-16 00:00:00,2017-10-16 00:00:00,2017-11-16 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-22 00:00:00,2022-09-22 00:00:00,2022-10-22 00:00:00,2022-11-22 00:00:00,2022-12-22 00:00:00,2023-01-22 00:00:00,2023-02-22 00:00:00,2023-03-22 00:00:00,2023-04-23 00:00:00,2023-05-23 00:00:00,June-23*,July-23*,Aug-23**
,Producer Price Index (PPI),77.55511279378898,77.80518528564247,77.32361268227733,78.74994694852403,77.13112107638041,77.05404301313531,77.62247794447119,80.44164862827017,77.85171478573888,79.65593816187473,78.5156532276352,78.58699380011447,82.5294369091904,79.44562927089859,78.38816028408647,79.1508294683907,81.42012828036724,81.18635619195388,82.50974941124123,81.01639975801335,81.42772112463527,80.5792655567067,81.78185977114882,82.49527147999623,79.77157314536868,81.41653540509812,78.00839267505444,78.92933274644324,80.65835171698907,82.36894325464877,82.97767907437624,81.55855539098465,82.27951956380937,84.5234447645135,87.24749036166679,88.7423542140032,90.62696463167241,92.3871966112901,92.77514410773487,94.92928102958876,96.94756700677125,98.40745280208301,96.48663166401434,96.07983450732183,97.4511224919428,98.80551924169372,100.19324036733755,101.3778640162497,99.49114048968623,99.87587034463473,102.72287127125375,102.41508738729493,104.04476169125185,105.27643281502135,103.86190734797823,101.90562422649955,99.34179572792361,100.49995283158752,104.81032451102183,105.76577157695812,105.10977759208565,105.06419386936422,106.4308551792494,106.10937517585286,106.54091278174933,104.89392960983734,103.42246841440414,103.22084946251158,103.97359606666565,105.02064014474435,106.5498748055754,109.62976037223754,111.04189748530146,110.15213457444872,110.23622646035734,110.43769249678412,111.82434611442464,112.26127108204042,111.40302140760843,111.13893705122175,111.53488636963995,112.08948251706542,111.92113780482843,114.81874179789614,116.04742808619764,118.01317174564242,121.30535318557504,123.9579497943889,123.13346459023131,123.86068855581068,121.74242240249814,122.28039849303975,123.4,126.8,130.7,133.084676151463,137.4,142.56905045959866,163,189.8,216.5,232.9,243.8,250.9,250.8,251.1,252.7,251.4,253.2,252.5,247.4,245.6,235.2,228.56228618877972,233.9121660700422,234.73779489310368
,A: Agriculture,73.41021311659439,75.25388119619036,73.78675143783025,77.50935498775144,70.06314048304093,71.68691361921361,73.27474144478892,82.98955859891858,76.18551969197081,80.0105557468134,78.47913897163805,82.21477776487863,95.63111536548071,88.45711364591448,85.21858287331897,86.80373900928512,90.4560004230952,85.81156841811129,92.27880946538265,87.8962318962861,91.78472225105017,83.12042858530398,88.76505364024199,88.78336928412757,85.68079010827148,90.25023374703859,79.19887169276733,81.14010962164147,81.83605525673346,89.05093398701364,88.619045934845,85.79457753336355,86.7999356868722,90.3198664109246,95.18298278010882,98.94073435770787,105.08510482796589,108.31325999433466,109.34767787561005,112.63016060565805,119.71346521185899,123.89924590063274,121.58258031458395,118.73540692397879,121.26703329890826,125.63848891050432,128.1671107723685,128.5734961289934,120.72564922263145,120.82976526758044,120.6819849143551,119.59795148125548,120.3792297922849,123.58261905988654,120.11977124326724,112.28487243516831,105.74027202925028,103.9430807892919,113.53029441884715,116.86689044191735,113.05732215952754,110.87312831465594,110.6203252979132,111.68935886527339,111.75279201866883,107.76338897351351,103.64885501110442,101.16788464436095,102.28625833408118,104.33862999699768,109.0246041464609,118.61264437523181,123.73525275157184,122.64439141184745,119.00665702173009,116.78652374158575,128.0736921599178,134.55213209721802,129.20791739792114,126.37210217880816,129.26097318328607,128.11438385296069,128.37791243170713,134.8693542711716,134.03236455418937,132.97720967700312,130.84968695636917,131.62480887376879,130.02275728633018,131.39788872999114,125.2266710258625,125.35684019447477,126.5,131,144.4,161.69070284581682,164.1,167.6045235462773,172.5,178.2,203,240.6,229.7,245.8,245.8,247.8,248.7,238.6,245.6,233.3,236.4,234.9,227.3,223.66307614076163,231.99908763045568,239.2588027370903
,011 Growing of non peranial crops***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.33179984038918,75.82578666803788,76.8117175093995,85.95651949571939,92.88636671002672,96.38307803311478,96.74317998644804,92.9767259284903,99.7898645121561,111.08816494699329,120.95689170529882,144.23466829733383,138.2638085585625,122.46413607363635,103.78675966577578,101.5355021281447,105.97545666428061,118.25989840111603,110.22979754911917,112.23978754335553,117.75579857350928,121.76852661438761,123.71423207380073,138.69160891149136,142.0274286936211,140.96397299240664,124.3589798957513,128.55892368060475,127.48461076207415,140.57487708572808,123.44219589468439,122.43610309255884,121.3,136.2,165.4,203.77724853367772,199,195.15373182122775,190.6,210.7,241,303.7,271.8,261,253.7,257.6,257,244.4,253.3,205.5,199.9,199,213.2,214.67839335357874,227.35602329061263,215.3109496069519
,012 Growing of  peranial crops***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.43018312745969,110.06553619818806,102.41254583093354,102.22594932962934,98.07070543716705,94.47715516095366,95.82768290162244,101.0621030339435,102.3543707425571,96.83486954307698,95.32248454274563,101.88544751842355,112.66543093678179,122.89696931416091,117.1229704518433,113.00975129124787,116.23907583291833,117.79748645035835,119.3728040788525,127.1234538397013,136.76480198113867,132.8494738824231,128.07846458360615,132.14389522274408,137.94006917332686,146.06004250671072,141.628112547015,142.24300969323826,133.94494778943354,121.64582532167458,119.19851856082768,132.3369196510989,137.4,132.1,134.9,133.92043359607425,144.6,163.4887683495526,164.1,157.6,183.6,196.1,197,220.5,236.9,234.5,240.4,218.8,223.3,248.5,255.5,246.6,217.5,204.42350454159265,206.97378248678078,247.68759886025705
,014 Animal production,68.74283539506378,69.1445173241267,69.20466426647482,71.1652821772419,71.17076390362372,71.08003332079004,71.62800050426101,71.37784134903123,71.22749686803844,71.54008388812913,71.62516868568642,72.05830950221592,73.96370525935593,74.07579568485384,74.8362721820713,75.12080710705725,75.22734549062326,75.29411325468615,77.55972654337546,77.59058229774395,77.82971663753605,83.13937048090465,83.60025188383725,86.9038385349584,87.64656677805598,87.38891353512449,87.4028032812463,92.49934932765728,88.44532539459018,86.29619375665558,93.76771100828006,99.06966431297161,95.4818683700453,90.46022371063175,88.4453090770753,91.3898438717765,91.12941627699523,91.67723581472694,91.6723487234752,92.25422773092343,89.66289711616344,89.09830598335806,90.27574573694383,87.88980653944374,89.02486091771735,83.94781255037321,88.99279480849356,91.06598815866195,88.9185384369587,89.33427012039549,91.03781856397404,88.15118999743726,88.56079333456499,92.63028577261223,99.44751265049173,116.06188448345893,102.98312437817994,95.3050471985573,99.2371274967565,107.37799790993478,109.61836820687576,109.87799586488768,106.25764069404907,111.55562005941484,101.80099888585681,106.07230594608306,107.08130658971346,109.85205490833383,110.97842073123071,111.82607728496201,113.02546177543705,113.99448215696351,113.79589428909742,113.82348613644699,111.89669822062548,89.68134141543624,90.53411301278487,110.3227151949518,113.51606576815834,120.32606400448202,116.63716437602766,106.4408248292635,103.95633096343995,109.44517027826012,101.06204349366602,107.79918018464274,106.33704761189614,104.99287237364399,103.50640021071413,107.51996645977573,113.14592533339636,117.35272750874202,114.9,120.1,126.2,141.47530468926485,141,128.191878871115,157.4,161.2,174.4,215.7,218.7,266.9,249.1,255.8,249.9,265.6,273.8,252.7,263.2,274.4,269.8,274.834459866947,286.5230983959797,264.487913740391
,C : Manufacturing,80.65612622840584,80.2716760441926,80.12707681672786,80.62403410318872,81.4412261012252,80.5837975549349,80.76557154343509,80.91462645819628,80.13256521236652,81.55741278374423,80.75285879425206,79.60105514540234,79.78135586046528,78.18134031894628,77.90303990280401,78.32853873447677,80.20227501137632,80.75970082368052,79.93314317419956,79.62819340778779,79.59216369986389,82.18295089124992,82.77649224041438,82.72000514984467,79.81907758326062,80.31389971981403,79.83835927234034,80.30732132458351,82.68748089300233,82.30924046600937,83.42769295248252,82.46885562498521,83.13948978411972,85.0472544222854,87.19500014971582,87.88681447187786,84.30912936156422,85.73496663453372,85.89978328946847,87.5487796777856,87.50616497111109,87.88137349273468,86.09227440490429,86.80072636977678,87.73041004198579,87.87730930498023,88.87702111648412,90.49059796054799,95.79239382359643,96.31512618436362,98.25684425122073,96.91995759724028,97.69986908577908,98.38967846793854,97.70714547033391,98.1705904381305,97.32611003402,99.6675776837864,102.0351363061278,101.96788633288475,102.63248712626688,103.15757918697906,105.51385431449245,104.48254882817763,105.10471705842392,104.36577838541713,103.93088468824372,104.75888862024053,105.40711959450586,106.2375771671345,106.45427453682699,106.98837386274359,106.82862447701825,105.92791966645305,107.36664933342902,108.64566609365266,110.20877525174531,108.12163889091732,109.2331646356713,110.05807764800905,109.3032284904642,110.62703347777848,110.25925860465398,111.79112424293636,113.94432499329741,117.28806536949376,119.15281723006945,122.612637212382,122.06441799069859,122.62761755376418,122.06254287121236,122.82281977076295,124,127.4,130.2,130.60933263169255,135.3,140.99662246351633,164.6,195.8,223.9,238.2,252.6,257.3,255.2,255.3,257,257,258.2,258,248.9,244.6,234.7,227.28944041522215,233.5433132486453,233.64257315243157
,10 Manufacture of food products***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.24870297897006,100.8898504984575,101.8253744802996,101.53911940861799,101.16136607017852,100.12147193838004,99.00207919370246,99.8021698657235,99.57496512134061,101.07902240285269,102.34349996952083,101.93419306857629,102.02265960255548,103.02174843018233,104.73319905302594,107.64433647801755,106.6712270107208,105.20974215817647,106.00593512544143,106.28580148171525,108.79604037954877,112.42647571338608,112.6485437551745,108.37291770341793,108.2175091731949,109.3948778306705,112.36274454400133,113.52042527850452,113.43477993865613,113.1985547822664,115.22349513545774,115.74103075093444,116.4,126.1,129.3,134.41583233406843,137,141.94933521016853,170.9,208.8,229.9,236.9,259.4,263.7,263.6,263.6,267.4,264.1,264.5,267.6,264.5,262.9,236.4,230.58620202139116,232.99296843488625,234.64907868698782
,11 Manufacture of beverages,61.88236964228528,61.88236964228528,62.05256453717601,62.52378991992603,62.52378991992603,62.52378991992603,62.52378991992603,62.52378991992603,64.01994820207844,68.8289546412279,70.6272225259599,70.62907253325223,70.73555930325493,70.80676717551475,70.80676717551475,70.80676717551475,70.80676717551475,70.95692478793269,70.89758250733344,70.89758250733344,72.00925392446632,80.13452957062334,88.56757866505104,88.56757866505104,87.72508596710877,87.67888771307172,87.70862742632993,87.78063802187285,87.83793598748223,88.05456135361109,88.12028557203278,88.12028557203278,88.1816068516643,89.66490627803249,91.1660247477232,91.95335816918372,92.13219123276504,91.0164050723811,91.0171329659878,91.0171329659878,91.0171329659878,92.80982904616113,92.72479294501444,92.72479294501444,92.72479294501444,92.72479294501444,98.34759382360733,98.34759382360733,95.64675993449605,95.64675993449605,95.64675993449605,96.3176644384082,96.31096849837839,96.3441043209251,96.3441043209251,96.4921177165976,97.0874510020496,97.0874510020496,97.0874510020496,97.0874510020496,98.51706630243,98.51706630243,101.31141023819063,101.31141023819063,101.3982745950701,101.3982745950701,101.3982745950701,101.3982745950701,101.3982745950701,101.3982745950701,101.3982745950701,102.76652125554708,102.76652125554708,102.76889415301804,102.78159138499781,102.76889415301804,104.8525233716589,104.8525233716589,105.0824768373377,105.30625295690253,105.30713992753496,105.30458999472393,105.30458999472393,105.30458999472393,106.07761457492226,106.07761457492226,106.07761457492226,106.07761457492226,106.07761457492226,107.38322075662072,107.38322075662072,107.38322075662072,107.8,114.9,119.1,122.28181575601455,122.3,123.50911660165423,132.2,148.3,145,162.5,177.5,182,167.4,171.3,171.3,171.5,186.9,186.9,186.1,186,186,184.43161694648492,193.0675232419126,191.87194364988193
,12 Manufacture of tobacco products,49.74738589347573,49.74738589347573,49.74738589347573,49.74738589347573,49.74738589347573,49.74738589347573,49.74738589347573,49.74738589347573,49.74738589347573,53.21564999111453,53.21564999111453,53.21564999111453,53.30445164159545,53.30445164159545,53.30445164159545,53.30445164159545,53.653961365683344,53.653961365683344,53.441540532658436,53.44279407296092,53.474587776722224,62.065820450324445,62.073014516877166,62.08205670454585,62.140130792625776,62.140130792625776,62.140130792625776,62.140130792625776,62.140130792625776,62.140130792625776,61.715821887063576,61.715821887063576,61.715821887063576,75.68111934404536,90.47658639886623,90.47658639886623,90.60906909337491,90.60906909337491,90.60906909337491,90.60906909337491,90.60906909337491,90.60906909337491,90.60906909337491,90.60906909337491,90.60906909337491,90.60906909337491,90.55712929344422,90.55712929344422,90.83066410634957,90.82044274937986,90.86181571841198,90.82369680312397,90.82367979587443,90.78722192195752,90.78953419240182,90.78351197719077,90.85324973373024,90.78349733430969,90.8770584172911,90.9017374021506,99.89495881673672,99.83735097390493,117.42080782768333,117.41520237454571,117.40745058498037,117.40745058498037,117.39641353047895,117.42463153746034,117.4051018860576,117.4051018860576,117.4077422615477,117.4192263693793,117.419946663813,118.05039481556392,118.05039481556392,117.41228457331765,117.60834356350894,117.60834356350894,117.60834356350894,118.23899551555954,118.23899551555954,118.78401012882692,118.43746418493924,118.51520557884164,118.54415963680776,118.5608397296181,118.29879771816843,118.31091161247697,118.36038139099773,118.94144847564779,118.88320225220242,118.87619012939257,119,118.9,127.3,126.53431178599317,128.5,128.38198436336864,130.4,133.2,136.2,136.2,143.5,143.6,151.1,162.4,158.3,175.1,183,181.9,170,153.6,165.1,159.47408016681504,173.0224644590332,168.1463782292032
,13 Manufacture of textiles,81.18265908778754,78.69751479470385,76.91961468210393,80.15967755768347,80.12790317935385,80.29905703719392,76.60034322130085,77.07777838751694,78.18551378447563,75.59130427466856,73.46464538534292,74.2062948866662,75.27258703272012,75.7060430328734,75.18808783470828,76.66781059034248,77.37762876667621,76.71884047903691,77.52734623149514,77.93164468079901,77.7498300699835,76.8662599127929,77.49709829459195,79.4243388816146,75.25947629301966,75.11067029417376,76.70435003382742,78.0445893406179,76.72293389993855,76.89948619652057,78.6225086959855,77.87154989381138,78.91759922474075,78.41759751967768,79.76278287164973,81.6244564792308,82.56986988731278,82.32995832840534,82.36422450741854,82.71927678978366,83.08388955832751,84.34443133235047,85.86492390877471,86.27585111602653,85.79242531077374,86.78820102823013,86.14708303995619,85.49146203604992,85.19810728824858,87.10610344705556,86.44769235104124,86.49817219527525,86.75906929737513,88.21871468697367,87.95359944491898,89.5418174570128,90.73849780101135,93.12182342403902,98.391908781629,101.64139233827099,102.86009012828738,104.81655836181841,105.11225145224803,100.9320845499422,101.0640138326228,102.78148961544768,102.01621100844707,102.4153112531698,103.71569114345165,103.95947638451524,104.14479158892175,104.56343299179572,104.68512461355972,97.60611449423584,98.18996963003708,102.83093996434464,101.10126769322376,100.37622161911818,99.95278010394993,99.8803625822313,99.99636497886262,100.9480064347658,99.91389342942364,101.77640457831829,103.81400241008838,105.60918741728496,106.99727212404545,113.6901362784684,112.63416951981309,114.82359646977247,116.38798931864696,117.57113849242884,118.5,113.7,114,118.36680665909611,122.9,156.91696096040764,180,219.8,266.5,351.9,346.2,356.2,350,367.5,366.9,366.9,366.3,365.8,333.3,325.1,314,304.8794694581583,320.2284063011326,317.757232888785
