<new sheet>
sheet_name: HS codes Import Classification
No.,Major Category,Minor Category,HSCO
1,Consumer goods,Beverages,090111
2,Consumer goods,Beverages,090112
3,Consumer goods,Beverages,090121
4,Consumer goods,Beverages,090122
5,Consumer goods,Beverages,090130
6,Consumer goods,Beverages,090140
7,Consumer goods,Beverages,090190
8,Consumer goods,Beverages,090210
9,Consumer goods,Beverages,090220
10,Consumer goods,Beverages,090300
11,Consumer goods,Beverages,220110
12,Consumer goods,Beverages,220190
13,Consumer goods,Beverages,220210
14,Consumer goods,Beverages,220290
15,Consumer goods,Beverages,220291
16,Consumer goods,Beverages,220300
17,Consumer goods,Beverages,220410
18,Consumer goods,Beverages,220421
19,Consumer goods,Beverages,220422
20,Consumer goods,Beverages,220429
21,Consumer goods,Beverages,220430
22,Consumer goods,Beverages,220510
23,Consumer goods,Beverages,220590
24,Consumer goods,Beverages,220600
25,Consumer goods,Beverages,220710
26,Consumer goods,Beverages,220810
27,Consumer goods,Beverages,220820
28,Consumer goods,Beverages,220830
29,Consumer goods,Beverages,220840
30,Consumer goods,Beverages,220850
31,Consumer goods,Beverages,220860
32,Consumer goods,Beverages,220870
33,Consumer goods,Beverages,220890
34,Consumer goods,Beverages,220900
35,Consumer goods,Beverages,09011010
36,Consumer goods,Beverages,09011101
37,Consumer goods,Beverages,09011109
38,Consumer goods,Beverages,09011110
39,Consumer goods,Beverages,09011190
40,Consumer goods,Beverages,09011201
41,Consumer goods,Beverages,09011209
42,Consumer goods,Beverages,09011210
43,Consumer goods,Beverages,09011290
44,Consumer goods,Beverages,09021001
45,Consumer goods,Beverages,09021002
46,Consumer goods,Beverages,09021003
47,Consumer goods,Beverages,09021009
48,Consumer goods,Beverages,09021010
49,Consumer goods,Beverages,09021011
50,Consumer goods,Beverages,09021012
51,Consumer goods,Beverages,09021013
52,Consumer goods,Beverages,09021019
53,Consumer goods,Beverages,09021020
54,Consumer goods,Beverages,09021021
55,Consumer goods,Beverages,09021022
56,Consumer goods,Beverages,09021023
57,Consumer goods,Beverages,09021029
58,Consumer goods,Beverages,09021030
59,Consumer goods,Beverages,09021031
60,Consumer goods,Beverages,09021032
61,Consumer goods,Beverages,09021033
62,Consumer goods,Beverages,09021039
63,Consumer goods,Beverages,09021090
64,Consumer goods,Beverages,09022011
65,Consumer goods,Beverages,09022012
66,Consumer goods,Beverages,09022013
67,Consumer goods,Beverages,09022019
68,Consumer goods,Beverages,09022021
69,Consumer goods,Beverages,09022022
70,Consumer goods,Beverages,09022023
71,Consumer goods,Beverages,09022029
72,Consumer goods,Beverages,09022091
73,Consumer goods,Beverages,09022092
74,Consumer goods,Beverages,09022093
75,Consumer goods,Beverages,09022099
76,Consumer goods,Beverages,22011001
77,Consumer goods,Beverages,22011009
78,Consumer goods,Beverages,22011010
79,Consumer goods,Beverages,22011020
80,Consumer goods,Beverages,22011090
81,Consumer goods,Beverages,22019001
82,Consumer goods,Beverages,22019009
83,Consumer goods,Beverages,22019010
84,Consumer goods,Beverages,22019090
85,Consumer goods,Beverages,22021010
86,Consumer goods,Beverages,22021090
87,Consumer goods,Beverages,22029010
88,Consumer goods,Beverages,22029020
89,Consumer goods,Beverages,22029030
90,Consumer goods,Beverages,22029040
91,Consumer goods,Beverages,22029090
92,Consumer goods,Beverages,22029910
93,Consumer goods,Beverages,22029920
94,Consumer goods,Beverages,22029930
95,Consumer goods,Beverages,22029940
96,Consumer goods,Beverages,22029951
97,Consumer goods,Beverages,22029959
98,Consumer goods,Beverages,22029961
99,Consumer goods,Beverages,22029969
100,Consumer goods,Beverages,22029970
101,Consumer goods,Beverages,22029990
102,Consumer goods,Beverages,22029991
103,Consumer goods,Beverages,22029999
104,Consumer goods,Beverages,22030010
105,Consumer goods,Beverages,22030020
106,Consumer goods,Beverages,22030090
107,Consumer goods,Beverages,22051010
108,Consumer goods,Beverages,22051090
109,Consumer goods,Beverages,22059010
110,Consumer goods,Beverages,22059090
111,Consumer goods,Beverages,22060010
112,Consumer goods,Beverages,22060090
113,Consumer goods,Beverages,22060099
114,Consumer goods,Beverages,22072001
115,Consumer goods,Beverages,22072009
116,Consumer goods,Beverages,22072010
117,Consumer goods,Beverages,22072020
118,Consumer goods,Beverages,22072090
119,Consumer goods,Beverages,22084001
120,Consumer goods,Beverages,22084009
121,Consumer goods,Beverages,22084010
122,Consumer goods,Beverages,22084020
123,Consumer goods,Beverages,22084090
124,Consumer goods,Beverages,22089001
125,Consumer goods,Beverages,22089009
126,Consumer goods,Beverages,22089010
127,Consumer goods,Beverages,22089020
128,Consumer goods,Beverages,22089090
129,Consumer goods,Beverages,22100010
130,Consumer goods,Beverages,22100011
131,Consumer goods,Cereals and milling industry products,100200
132,Consumer goods,Cereals and milling industry products,100210
133,Consumer goods,Cereals and milling industry products,100290
134,Consumer goods,Cereals and milling industry products,100300
135,Consumer goods,Cereals and milling industry products,100310
136,Consumer goods,Cereals and milling industry products,100390
137,Consumer goods,Cereals and milling industry products,100400
138,Consumer goods,Cereals and milling industry products,100410
139,Consumer goods,Cereals and milling industry products,100490
140,Consumer goods,Cereals and milling industry products,100610
141,Consumer goods,Cereals and milling industry products,100620
142,Consumer goods,Cereals and milling industry products,100630
143,Consumer goods,Cereals and milling industry products,100640
144,Consumer goods,Cereals and milling industry products,100700
145,Consumer goods,Cereals and milling industry products,100710
146,Consumer goods,Cereals and milling industry products,100790
147,Consumer goods,Cereals and milling industry products,100810
148,Consumer goods,Cereals and milling industry products,100820
149,Consumer goods,Cereals and milling industry products,100830
150,Consumer goods,Cereals and milling industry products,100850
151,Consumer goods,Cereals and milling industry products,100860
152,Consumer goods,Cereals and milling industry products,100890
153,Consumer goods,Cereals and milling industry products,110100
154,Consumer goods,Cereals and milling industry products,110210
155,Consumer goods,Cereals and milling industry products,110220
156,Consumer goods,Cereals and milling industry products,110230
157,Consumer goods,Cereals and milling industry products,110290
158,Consumer goods,Cereals and milling industry products,110311
159,Consumer goods,Cereals and milling industry products,110312
160,Consumer goods,Cereals and milling industry products,110314
161,Consumer goods,Cereals and milling industry products,110319
162,Consumer goods,Cereals and milling industry products,110320
163,Consumer goods,Cereals and milling industry products,110321
164,Consumer goods,Cereals and milling industry products,110329
165,Consumer goods,Cereals and milling industry products,110411
166,Consumer goods,Cereals and milling industry products,110412
167,Consumer goods,Cereals and milling industry products,110419
168,Consumer goods,Cereals and milling industry products,110421
169,Consumer goods,Cereals and milling industry products,110422
170,Consumer goods,Cereals and milling industry products,110423
171,Consumer goods,Cereals and milling industry products,110429
172,Consumer goods,Cereals and milling industry products,110430
173,Consumer goods,Cereals and milling industry products,110510
174,Consumer goods,Cereals and milling industry products,110520
175,Consumer goods,Cereals and milling industry products,110610
176,Consumer goods,Cereals and milling industry products,110630
177,Consumer goods,Cereals and milling industry products,110710
178,Consumer goods,Cereals and milling industry products,110720
179,Consumer goods,Cereals and milling industry products,110811
180,Consumer goods,Cereals and milling industry products,110813
181,Consumer goods,Cereals and milling industry products,110814
182,Consumer goods,Cereals and milling industry products,110819
183,Consumer goods,Cereals and milling industry products,110820
184,Consumer goods,Cereals and milling industry products,110900
185,Consumer goods,Cereals and milling industry products,10063010
186,Consumer goods,Cereals and milling industry products,10063011
187,Consumer goods,Cereals and milling industry products,10063019
188,Consumer goods,Cereals and milling industry products,10063020
189,Consumer goods,Cereals and milling industry products,10063021
190,Consumer goods,Cereals and milling industry products,10063029
191,Consumer goods,Cereals and milling industry products,10063030
192,Consumer goods,Cereals and milling industry products,10063040
193,Consumer goods,Cereals and milling industry products,10063090
194,Consumer goods,Cereals and milling industry products,10082001
195,Consumer goods,Cereals and milling industry products,10082009
196,Consumer goods,Cereals and milling industry products,10082010
197,Consumer goods,Cereals and milling industry products,10082090
198,Consumer goods,Cereals and milling industry products,10082110
199,Consumer goods,Cereals and milling industry products,10082190
200,Consumer goods,Cereals and milling industry products,10082910
201,Consumer goods,Cereals and milling industry products,10082990
202,Consumer goods,Cereals and milling industry products,11010001
203,Consumer goods,Cereals and milling industry products,11010009
204,Consumer goods,Cereals and milling industry products,11010010
205,Consumer goods,Cereals and milling industry products,11010090
206,Consumer goods,Cereals and milling industry products,11029001
207,Consumer goods,Cereals and milling industry products,11029009
208,Consumer goods,Cereals and milling industry products,11029010
209,Consumer goods,Cereals and milling industry products,11029020
210,Consumer goods,Cereals and milling industry products,11029030
211,Consumer goods,Cereals and milling industry products,11029090
212,Consumer goods,Cereals and milling industry products,11061001
213,Consumer goods,Cereals and milling industry products,11061009
214,Consumer goods,Cereals and milling industry products,11061010
215,Consumer goods,Cereals and milling industry products,11061090
216,Consumer goods,Cereals and milling industry products,11062009
217,Consumer goods,Cereals and milling industry products,11062010
218,Consumer goods,Cereals and milling industry products,11062020
219,Consumer goods,Cereals and milling industry products,11062090
220,Consumer goods,Cereals and milling industry products,11063001
221,Consumer goods,Cereals and milling industry products,11063009
222,Consumer goods,Cereals and milling industry products,11063010
223,Consumer goods,Cereals and milling industry products,11063090
224,Consumer goods,Clothing and accessories,420100
225,Consumer goods,Clothing and accessories,420211
226,Consumer goods,Clothing and accessories,420212
227,Consumer goods,Clothing and accessories,420219
228,Consumer goods,Clothing and accessories,420221
229,Consumer goods,Clothing and accessories,420222
230,Consumer goods,Clothing and accessories,420229
231,Consumer goods,Clothing and accessories,420231
232,Consumer goods,Clothing and accessories,420232
233,Consumer goods,Clothing and accessories,420239
234,Consumer goods,Clothing and accessories,420291
235,Consumer goods,Clothing and accessories,420292
236,Consumer goods,Clothing and accessories,420299
237,Consumer goods,Clothing and accessories,420310
238,Consumer goods,Clothing and accessories,420321
239,Consumer goods,Clothing and accessories,420329
240,Consumer goods,Clothing and accessories,420330
241,Consumer goods,Clothing and accessories,420340
242,Consumer goods,Clothing and accessories,420400
243,Consumer goods,Clothing and accessories,420500
244,Consumer goods,Clothing and accessories,420600
245,Consumer goods,Clothing and accessories,420610
246,Consumer goods,Clothing and accessories,420690
247,Consumer goods,Clothing and accessories,430310
248,Consumer goods,Clothing and accessories,430390
249,Consumer goods,Clothing and accessories,430400
250,Consumer goods,Clothing and accessories,560110
251,Consumer goods,Clothing and accessories,610110
252,Consumer goods,Clothing and accessories,610120
253,Consumer goods,Clothing and accessories,610130
