<new sheet>
sheet_name: 2.06(Base period 1997-100)
,2.06 Trade Indices - Monthly (2006 -2010),,,,,,,,,,,,,,
,,Table 2.6.1 : Trade Indices (Exports) - Value,,,,,,,,,,,,,
,,Table 2.6.2 : Trade Indices (Exports) - Unit Value ,,,,,,,,,,,,,
,,Table 2.6.3 : Trade Indices (Exports) - Volume,,,,,,,,,,,,,
,,Table 2.6.4 : Trade Indices (Imports) - Value ,,,,,,,,,,,,,
,,Table 2.6.5 : Trade Indices (Imports) - Unit Value ,,,,,,,,,,,,,
,,Table 2.6.6 : Trade Indices (Imports) - Volume,,,,,,,,,,,,,


,Table 2.6.1 : Trade Indices (Exports) - Value (a),,,,,,,,,,,,,,

,,,,,,,,,,,,,Base Period 1997=100,,
,Period,Exports ,,,,,,,,,,,,,
,,Industrial ,,,,Agricultural ,,,,,Mineral ,,,Total,
,,  Textiles and ,Petroleum ,Other,Total ,Tea,Rubber,Coconut ,Other Agri. ,Total ,Gems,Other,Total ,Exports,
,, Garments, Products,,,,, Products, Products,,,,,,

,2006    January,157.5,259.4,273,196.2,192.2,169.7,147.9,170.2,182.6,476.3,258.1,460.9,196.8,
,            February,230.4,416.7,298.6,256.8,195,199.1,171.3,198.6,193.2,177.8,1051.4,239.5,240.4,
,            March,221,264.4,317.8,252.2,226.1,232.7,176.5,199,217.4,266,525.6,284.3,243.1,
,            April,213.1,311.3,315.2,247.5,158.9,162.4,123.7,189.2,159.4,184.7,519.9,208.4,225.4,
,            May,186.2,299.3,334.5,235.4,223.7,231.1,160.8,206.5,214.9,231,342.3,238.9,229.4,
,            June,256.6,462.3,412.2,310.6,232.7,232.2,161.8,234.4,225.1,152.9,399.1,170.3,286.2,
,            July,210.3,312.1,304.2,242.3,207.3,224.6,203.2,247.6,213.6,178.3,312.3,187.7,234.6,
,            August,319.9,284.9,441.4,356.6,249.9,299.4,230.2,361.9,266.7,252.6,526.8,272,333.4,
,            September,248.9,448.7,329.7,279.6,213.4,156.2,199.2,289.1,217.9,488.9,347.8,479,272.7,
,            October,228.3,322.2,304.6,254.6,225.7,233.4,230.3,249.7,230.1,183.4,242.2,187.5,248.3,
,            November,258.4,434.6,414.8,311.9,236.1,196.8,203.4,258.4,232.6,261.1,534.6,280.4,293.6,
,            December,332.7,275.2,456.6,369.4,225.2,164.2,222.1,235,221.7,185.9,534.4,210.6,332.1,

,2007    January,214.3,296.8,301.3,243.6,190.4,227.5,177.9,235.2,197.9,273.5,435.8,284.9,231.4,
,            February,256.5,251.8,383.9,295.8,234.4,291.3,267.1,236.2,242.5,179.6,654.1,213.1,278.7,
,            March,264.3,287.2,450.3,322.6,242.7,320.6,268.1,220.7,248.3,288.2,561.6,307.5,301.8,
,            April,234,262.3,346.7,269.7,198.2,290.5,185.1,232.4,208.3,272.2,935.4,319,254.6,
,            May,291.9,295.4,428.4,334.3,231.8,218.2,183.5,298.7,234.6,286.8,779,321.5,309.2,
,            June,285.6,283.6,496.3,350.8,259,238.7,129,343,254.6,250,731.8,284.1,324.1,
,            July,312.8,382.5,441.1,354.5,290,240,272.2,329.7,289.8,207.6,731.4,244.6,334.2,
,            August,269.7,347.2,436.4,323.5,297,269.4,289.4,318,297,249,769,285.7,320.3,
,            September,295,310.5,535.8,370,330.2,294.1,278.3,356.3,325.4,267.7,398.8,276.9,356.8,
,            October,254.4,404.4,433.3,314.2,303.1,210.2,264.4,357.8,299.4,203.4,598,231.2,308.8,
,            November,231,364.2,383.1,281.9,304.5,233.2,200.1,321.9,290,192.6,697,228.3,279.4,
,            December,387.9,420,555.6,440.8,322.7,292.7,188.8,348.8,309.2,186.7,675.6,221.3,401.7,

,2008   January,222.39424722601893,471.1215388849848,319.6305552946401,259.54696835330384,277.44563294260104,384.1369079493199,187.52318951724362,295.7397353961747,277.88556770640594,261.488942555018,784.2672951364518,298.4198818052036,261.5501023275691,
,            February,247.65261973660958,394.54898157645863,402.8331074926439,299.87470246662957,330.587587620185,410.9129943411056,179.47271471387788,368.322648169281,324.95299970423446,267.2054383606782,421.68822369232623,278.1186568061452,301.75318562266443,
,            March,281.7414675921828,477.3708893475932,415.32570479830673,328.6518896828321,323.7425276205997,374.03639692609096,136.59002943121718,390.91774649082606,315.9124284760937,172.33012606850173,669.906896260297,207.48073508189674,319.6461311375717,
,            April,242.95625494640922,493.28229479539203,374.39350834836733,290.7482168636095,318.40318530464646,281.6632041898508,177.79145412112416,322.35685195117867,300.65199537573284,106.71271846776477,713.5929201107385,149.58491420491666,286.9672962931506,
,            May,295.5302856961691,609.238745099074,541.4423206417792,380.5739729846264,293.14398946620713,188.53317935464037,179.45202675063504,390.1097901241565,286.04494026929706,155.38497557356058,603.374086055294,187.03253431858033,350.89102565160835,
,            June,252.88111086826598,633.4194408825064,399.3399824947719,309.0079939787938,356.42940726385325,180.59079065002103,238.51990360600382,375.39899306176807,332.9421552627337,121.82850007841175,692.2041515202342,162.1218833624905,308.11465246024727,
,            July,354.7142711560612,647.5720737485536,469.93557862114477,398.6858215980662,436.31779120648036,275.1728768329081,427.16957393997797,500.1342729796355,432.0839876001189,181.37835747067427,984.4515887081443,238.11033301983656,398.6651595410822,
,            August,287.281466195444,617.540162617863,494.77465187994466,360.8925565869945,357.82249756764907,315.1897152988958,360.93394814032183,506.9773663975211,375.37091604708553,211.5260648806777,562.4861311575225,236.31914367384036,357.6748541047437,
,            September,243.9782837745483,454.43322514507935,397.61072566733696,297.5180108394646,333.4086126088101,340.2650216571054,354.0159801450865,423.34495709116584,348.4751666122582,284.28635992114613,636.0671614851457,309.1374184008829,305.9798411770683,
,            October,273.9153323509685,393.46081052215493,402.9893554162562,317.2773485885491,329.16860632758574,300.1782620126425,373.84243395737667,289.5896778189808,326.5660711178494,100.97850509664138,468.5669916880675,126.94627518570789,312.1068049088372,
,            November,281.8317762063518,312.5270529132813,444.14497998774164,332.9776090109699,270.46730791579705,214.23944355353558,290.0964864292699,247.8014246177934,265.38340121307226,107.14463133831644,497.6535844277998,134.73158544991531,309.90341345773925,
,            December,371.12018851026806,250.28018248713565,365.4136108852631,365.93568883735094,255.22252015061738,236.1993218705826,299.2653845101441,247.5677075627066,257.64600987112567,52.90921764381372,415.97930073120415,78.55779149131553,331.47166396549125,

,2009(b)January,244.21363168726248,210.9917037104404,294.18519780264273,258.75337722626625,197.42803736861237,205.03279386758396,285.92479462748463,286.6512237482248,219.9702846642729,113.83242248264037,361.94272089411635,131.3598245120737,244.4773735528897,
,            February,279.73696839139853,211.15305688025518,268.7073953934359,274.3812042578523,232.4830369066739,236.50437740794672,260.21555952977485,240.56411358390238,236.95484554339922,201.20372267113677,271.35524056538276,206.1594776921084,261.3728967086989,
,            March,316.60871945795657,218.65458310682806,331.8197731299458,318.55074930298423,349.4214383254614,331.0092085980904,311.6717753926203,293.4463245012302,336.2369356963578,148.2105563833769,413.8113342149704,166.97354865814344,316.02990791207696,
,            April,237.75441575480838,235.32777952246775,247.7208400299339,240.7729859339401,192.68935562163878,196.04580742240728,181.26491047599626,208.17414198769777,193.78660013967925,94.86847990670033,330.99252436089614,111.54912993397485,224.791872897808,
,            May,247.8069392024298,251.34180109034327,319.1289451627597,269.99949069743855,330.3749558612562,255.14904195283816,287.8332228354778,314.9423630641872,317.9873038815247,107.83598527259315,675.5418826737515,147.9407675486121,275.5277411674481,
,            June,252.56709341638316,241.6569518535175,357.94814128609,284.90128123148077,338.8722652337205,137.4065636847507,237.29298429617822,251.77850121847757,300.81734202812277,197.6601747968689,661.1292247239014,230.40129202690994,284.2276600905649,
,            July,309.0353497139824,298.49359356125865,378.071235203705,330.12172931291434,363.66459269841425,147.26305127691472,298.9638402482774,356.0671560778332,339.4392167055708,187.30679316837384,1860.74969452033,305.52480625807345,327.9969966420373,
,            August,332.19806615602295,267.98943894493414,433.9884846706264,361.91297265165196,392.0697732350681,231.1812972300737,290.29552692943054,404.70761328918917,370.6119103810651,193.02871025415675,620.8554345783317,223.25192567155642,357.08978154642057,
,            September,247.06234090451525,308.14355354092646,339.31559210228,277.3656891020459,351.4768818498911,206.19768695408038,253.27961991051978,325.21370122349794,326.2606608381824,261.29628466688865,578.964404498587,283.7375008673962,285.48605069583874,
,            October,269.803780265355,353.67924161851766,390.42321896524766,309.5383212570298,377.6348858941145,256.8235388001478,308.9180584909902,402.04848745002994,364.4126235831926,145.85756429278857,494.664305154709,170.49852444964625,315.8611182537456,
,            November,269.70622851347616,305.200954567213,378.4759151768432,304.40220731423886,339.0943193203667,290.08599664927254,297.3637293387152,417.96692889045033,341.61111852972425,158.83861857251992,583.8751092000033,188.86472186651685,307.19824265375433,
,            December,350.5876455782375,332.7322616397085,415.87148233945294,370.30499791513694,376.6449751837373,436.61441122469904,288.40339450872347,372.36400756157394,370.729805329972,128.10812930543844,492.5851398317909,153.85609355715488,361.99919249960664,

,2010(c)January,177.26433349027036,321.05288046380144,289.69407854567874,216.1561326956698,293.1288785202082,522.3632694381723,166.97727016827182,409.64872317160194,312.03938848108345,212.5162846093275,629.5554090984988,241.97742525413076,236.09077511282726,
,            February,254.05302821237365,336.18275738914576,415.51249595803836,306.3887552988615,353.07654778614216,669.4874752851792,224.03786519962011,429.03601627619514,372.5856873879872,128.32003564055483,612.3070195082846,162.51061336979507,315.24250417206963,
,            March,286.3431665294876,363.93115896537375,434.83949308464423,334.5350289868007,339.95066224516444,482.30722316341763,230.89711942225003,368.93854830725326,342.37280045496516,236.1502946814257,634.1192613270038,264.26425092707484,331.14352271012126,
,            April,231.20300821425494,422.3920088521454,349.3423471936014,273.2036850021086,300.95760872890565,365.5245404787306,189.93649834281416,267.85216079609273,288.9256667533769,94.15686053022266,566.6691964706021,127.53682794358103,270.86698484562856,
,            May,267.02018040882285,380.5836807021828,387.19628021038494,307.45684414427274,339.44162796318113,295.7248945216585,284.9120903456506,365.77688675958706,333.761263670773,202.9308590423283,593.4709903816672,230.52001569740602,308.4677860300794,
,            June,309.2662523255325,386.02723061406436,438.23735185524686,351.3866244657296,386.6650945024526,135.54913964702212,341.2890247466596,403.9467007514845,365.4052977240594,125.11795321711794,562.8488117551732,156.04083222458854,346.8100340818843,
,            July,270.5364310243023,440.17107292140673,422.2790025379931,322.3365311254212,385.17508241936895,144.35750210955948,309.9338311916665,412.2304891448552,362.70495661836924,126.49464998751516,426.91914501993244,147.717714639148,324.51336961868697,
,            August,310.42257904823674,388.0373386806571,534.3021734035586,381.9658096422615,391.12445870992457,262.862698613172,275.9760535054883,478.7972112851497,380.84430188936005,185.4054170059015,627.8757814764007,216.6631117240891,374.1562448287952,
,            September,268.29747927026324,418.1166174384,390.0549224874358,310.2491320011156,400.1320587932309,465.8470546355851,298.81854134720027,473.91885390886347,403.8516164732163,170.15266460849512,768.369977131147,212.41288276422284,326.3278789415592,
