<new sheet>
sheet_name: IIP
,Monthly Average Ex rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,International Investment Position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD Mn

,Item,,,,,31st Dec - 2012,,31st Dec - 2013,,31st Mar - 2014,,30th Jun - 2014,,30th Sep - 2014,,31st Dec - 2014,,31st Mar - 2015,,30th Jun - 2015,,30th Sep - 2015,,31st Dec - 2015,,31st Mar - 2016,,30th Jun - 2016,,30th Sep - 2016,,31st Dec - 2016,,31st Mar - 2017,,30th June - 2017,,30th Sep - 2017,,31st Dec - 2017,,31st Mar - 2018,,30th June - 2018,,30th Sep - 2018,,31st Dec - 2018,,31st Mar - 2019,,30th June - 2019,,30th Sep - 2019,,31st Dec - 2019,,31st Mar - 2020,,30th June - 2020,,30th Sep - 2020,,31st Dec - 2020,,31st Mar - 2021,,30th June - 2021,,30th Sep - 2021,,31st Dec - 2021,,31st Mar - 2022,,30th June - 2022,,30th Sep - 2022,,31st Dec - 2022,,31st Mar - 2023,,30th Jun - 2023,
,,,,,,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities

,Direct Investments,,,,,475.0880399464882,8086.668041430239,540.1613697203289,8959.472278109079,557.0213688304558,9036.025045329054,574.089701273916,9249.0222895982,590.7163670507096,9994.11852487731,606.9846994941697,10571.849322932003,620.2308599422563,10121.610335664354,633.4776910558958,9976.439248777355,646.7245221695352,9920.589982840645,816.5821191975871,10021.513933510927,896.5716112759269,9776.377556487922,976.4764659813978,10016.161856704315,1056.3813206868688,9882.794789107455,1219.0981753923397,9844.623717886197,1330.6053507532386,9636.4865252078,1345.3055333076047,10186.908576605709,1360.0057158619709,9982.079193761776,1374.705898416337,10754.898286426826,1389.1966367978612,11374.08940074436,1403.6873751793853,12593.700163542439,1418.1781135609097,12473.779368640622,1432.6688519424338,12575.237573266606,1448.837047879531,12479.14597092803,1465.0052438166283,12562.725754003,1481.1734397537257,12635.474666455315,1497.3416356908228,13065.414116474849,1500.1673316279202,12231.280592824716,1502.9930275650177,12624.60526973287,1505.8187235021148,13070.227366183442,1508.6444194392122,13655.105820564488,1511.9945982602803,13408.466064162523,1515.3447770813484,13526.912795005872,1518.6949559024165,14773.400089443288,1522.0451347234846,16384.065053238308,1524.9685330362508,13518.591175759833,1527.891931349017,13077.49685472301,1530.8153296617834,13982.974517898681,1533.7387279745496,13876.751474317345,1536.662126287316,14301.773604567832,1539.5855246000822,14556.234727342988
,  Equity and investment fund shares,,,,,471.80012596053564,6311.040026292031,536.8734557343763,6859.265892555513,553.7334548445032,6876.576232775489,570.8017872879634,7022.493477044635,587.4284530647569,7625.042712323745,603.6967855082171,8027.837090924499,617.2308599422563,7625.653133353732,630.4776910558958,7432.861479822281,643.7245221695352,7347.138263885571,813.5821191975871,7408.375099166623,893.0333783814568,7116.971639051961,972.4000001924577,7326.7446670062845,1051.7666220034587,7159.087801147356,1213.9452438144594,7020.104659520806,1324.4524191753583,7074.652819061972,1338.1526017297244,7429.697843589401,1351.8527842840906,7170.705629942614,1365.5529668384568,7423.125377592717,1377.618705219981,7822.069143910252,1389.684443601505,8190.3758467083335,1401.7501819830293,8004.110945806516,1413.8159203645534,8165.618271480035,1426.8403416741507,7975.880418340143,1439.864762983748,7946.353174735176,1452.8891842933454,7965.48755014874,1465.9136056029427,8287.03633502519,1467.68802691254,7394.117161193977,1469.4624482221373,7722.299838102132,1471.2368695317346,8122.815934552703,1473.0112908413319,8665.444388933747,1475.1601950349,8355.149632531784,1477.309099228468,8430.497363375134,1479.4580034220362,9578.45465781255,1481.6069076156043,11049.966621607577,1483.3790313008706,8036.8597441291,1485.1511549861368,7458.315423092276,1486.923278671403,8180.318316586718,1488.6954023566693,7933.011643897264,1490.4675260419356,8278.43177414775,1492.2396497272018,8469.764896922907
,  Debt Instruments,,,,,3.28791398595259,1775.6280151382052,3.28791398595259,2100.2063855535644,3.28791398595259,2159.4488125535645,3.28791398595259,2226.528812553565,3.28791398595259,2369.075812553566,3.28791398595259,2544.0122320075047,3,2495.957202310623,3,2543.577768955074,3,2573.4517189550743,3,2613.1388343443036,3.5382328944700694,2659.4059174359613,4.076465788940139,2689.41718969803,4.614698683410208,2723.7069879600986,5.152931577880278,2824.5190583653907,6.152931577880278,2561.833706145828,7.152931577880278,2757.2107330163076,8.152931577880278,2811.3735638191615,9.152931577880278,3331.7729088341075,11.577931577880278,3552.0202568341074,14.002931577880279,4403.324316834104,16.42793157788028,4469.6684228341055,18.85293157788028,4409.619301786571,21.99670620538028,4503.265552587887,25.140480832880282,4616.372579267823,28.284255460380283,4669.9871163065745,31.428030087880284,4778.377781449659,32.47930471538029,4837.163431630739,33.53057934288029,4902.30543163074,34.58185397038029,4947.41143163074,35.63312859788029,4989.66143163074,36.834403225380285,5053.316431630738,38.03567785288028,5096.415431630739,39.23695248038028,5194.945431630738,40.43822710788028,5334.098431630733,41.58950173538028,5481.731431630734,42.74077636288028,5619.181431630734,43.892050990380284,5802.656201311963,45.043325617880285,5943.739830420081,46.194600245380286,6023.341830420081,47.34587487288029,6086.46983042008

,Portfolio Investment,,,,,0.2988351992123359,9242.362169579852,0.3110842886970089,9473.217733690117,0.3112129394490527,10820.1939736548,0.3112000831914832,12124.63105698818,0.3126593168557045,12504.944555025884,0.09085453030402461,12664.249629184993,0.09395767494356658,11771.685330998993,0.09764348541510845,12630.692712671444,0.10916913480158745,11492.039217625304,0.11353804569273156,12331.267408364623,0.10253871438498957,11536.093625728823,0.10024280895008607,11700.566111839325,0.10029639545019897,14460.426595601784,0.10852194259012014,13683.885599382289,0.1112175405343776,13461.423153920648,0.11325922741189501,15018.476873985604,0.11262541778713415,15714.086829583972,0.02766714555251127,15620.155281553882,0.02749727035214541,15492.437000615482,0.06813133582169245,16461.697467395268,0.0681453666220944,15326.214083882065,0.06817500857729608,13616.797896598555,0.06784527905524329,15896.606826936772,0.06807252535368274,17070.841094480384,0.06816397438096118,16929.973426114557,0.06801495314753846,15855.026837806647,0.0687708324939191,9284.767408911724,0.06809870310348753,10709.553281780347,0.06788760818100671,10890.105477231977,0.06854174869989625,8579.297149249209,0.06867227163497167,9010.032777132084,0.0676960903975925,9533.733108605938,0.06812717109273313,8398.526746441023,0.0679748625231872,7502.335715905135,0.0664553678929766,6246.252125652367,0.06811846063473698,4397.022696266111,0.06814468999724442,3930.269161502388,0.06837645066233372,5285.280227823498,0.06812226443135157,5627.696570843686,0.06779380889162323,7032.21232438057
,  Equity and investment fund shares,,,,,,2187.772505462874,,1043.8900095314311,,969.9800860121923,,1316.2078226935919,,1563.3058809805516,,1869.3046978186749,,1660.5439968303845,,1855.201086788652,,1609.696413585093,,1492.4651154433232,,1025.8493726666088,,994.6338186606581,,1453.7878998348142,,1419.3504898263036,,1313.989479062469,,1667.9971437760973,,1635.5316452897391,,1533.496191549756,,1761.6171135312725,,1441.3127590234035,,1238.1887266992085,,812.1867525221296,,738.5014591418421,,649.1154639007423,,984.6238947012844,,1049.2461745250594,,412.07010677995095,,611.3333060312257,,782.4368921609871,,867.4193525546266,,735.6978513882436,,741.5068233613074,,833.8947341528697,,1142.1090663255309,,725.4581764824266,,475.24283440140334,,563.7847304407132,,1250.7457586981714,,654.0552802019765,,636.6387783354921
