<new sheet>
sheet_name: Sheet1


YEAR,TOTAL,,
2017,562011,,
2018,604824,,
2019,570675,,
2020,207691,,
2021,382499,,
2022,911757,,

Month,2021,2022.0,2023.0
January,14878,52299.0,87810.0
February,18855,55420.0,101107.0
March,25984,74932.0,94708.0
April,17558,53221.0,61007.0
May,14054,58079.0,88308.0
June,14918,92888.0,88263.0
July,27403,100396.0,
August,28976,115403.0,
September,23109,107852.0,
October,59185,62287.0,
November,67603,69060.0,
December,69976,69920.0,
Total,382499,911757.0,521203.0

"Source: Department of Immigration and Emigration, Sri lanka",,,

