<new sheet>
sheet_name: Sheet1

Statistics on Sri Lanka Bureau of Foreign Employment (SLBFE) Registrations  by Month,,,,,,,,,


Month,2015.0,2016.0,2017.0,2018,2019.0,2020.0,2021.0,2022.0,2023.0
January,21833.0,22172.0,18553.0,17737,17118.0,18054.0,3716.0,23771.0,24185.0
February,18896.0,18825.0,15448.0,15621,14475.0,15772.0,4821.0,23734.0,23940.0
March,22437.0,18907.0,18756.0,16995,16171.0,5619.0,6594.0,27522.0,27893.0
April,20928.0,19099.0,16266.0,16716,14399.0,99.0,6491.0,22410.0,20027.0
May,24351.0,23385.0,20536.0,19256,17816.0,228.0,4702.0,25319.0,26753.0
June,24978.0,20749.0,15347.0,15894,15026.0,611.0,4275.0,28655.0,24087.0
July,21323.0,18174.0,17164.0,19571,19037.0,1007.0,6271.0,23296.0,
August,22292.0,21922.0,19462.0,19231,18905.0,1268.0,9795.0,29186.0,
September,25303.0,23089.0,20710.0,20786,20189.0,1976.0,13676.0,30104.0,
October,21407.0,20259.0,17510.0,18911,17972.0,2938.0,16550.0,28444.0,
November,19364.0,17704.0,16442.0,15721,15621.0,2459.0,20865.0,25421.0,
December,21397.0,18555.0,15795.0,14773,16358.0,3680.0,24508.0,23407.0,
Total,264509.0,242840.0,211989.0,211212,203087.0,53711.0,122264.0,311269.0,146885.0
,,,,Source: Sri Lanka Bureau of Foreign Employment,,,,,

