<new sheet>
sheet_name: Assets

Banking Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assets, Rs. Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Total Assets,2573678.013,2653005.3619999997,2703013.018,2697449.701,2775654.943,2843717.6153408596,2941202.40942515,3013256.4103213,3081768.3425829248,3179906.477,3361673.4560000002,3550515.442,3687701.3000000003,3864989.8629999994,4014786.8320000004,4252233.686000001,4586175.66,4819946.3610000005,4916214.648,5098219.340000001,5370074.448,5522043.493000001,5795331.034,5941472.709000001,6086503.617,6256997.343999999,6577256.095,6971832.4070000015,7170011.625999998,7347375.997,7706380.904999999,8077474.111,8354274.486,8451555.318,8703147.364999998,9046583.446,9492621.6,9765393.689999998,10041263.591000002,10292397.388,10675171.422000002,10847443.592999998,11273123.177999998,11793991.691,11741615.648,11901511.341,12154683.052,12522707.253,13166246.249,13368487.148,14027965.303999998,14666263.666,15329698.320000002,15857282.914,16494020.265,16923563.757
Cash and Due From Banks,340968.33499999996,370122.962,332217.02,300072.0846,316097.142,342341.39599999995,386048.62100000004,405034.76599999995,348856.942,311621.591,374340.818,402730.093,417902.143,397063.824,413439.577,465180.33999999997,478364.583,518113.566,528948.2150000001,544589.093,627165.256,565363.866,579582.028,590606.1719999999,678842.669,782414.051,880124.3690000001,936801.468,809856.0439999999,666765.325,695750.474,807916.9119999999,785028.213,798318.712,871822.025,988082.26,948131.2509999999,918935.107,989301.854,1022594.913,1029290.4920000001,973871.328,1066459.584,1062934.2270000002,1104113.338,1064836.592,1026861.1420000001,1043388.4509999999,1129090.3190000001,1009513.409,995818.356,1078028.8229999999,1047381.759,1109528.775,1323582.678,1222799.5590000001
Investments,592810.473,602252.442,683538.511,693182.5029999999,758994.43,820963.12,887352.9550000001,949462.469,1016141.065,1058588.6369999999,1108095.6739999999,1099852.641,1141040.734,1162310.908,1154038.2,1079820.9510000001,1169596.715,1208767.1309999998,1190783.2270000002,1241070.097,1331301.034,1497120.5269999998,1693572.657,1719196.674,1819279.888,1864568.87,1922981.329,1953237.4799999997,2105924.061,2284629.94,2325055.662,2367809.783,2454443.162,2417518.816,2413316.979,2291322.776,2471200.134,2546754.8830000004,2599555.991,2576672.0240000007,2634383.4530000007,2631622.443,2638937.771,2697353.8329999996,2657885.213,2875345.615,2943711.2640000004,3026890.926999999,3168490.8490000004,3391908.9100000006,3769141.7220000005,4227716.271,4359030.523999999,4467515.909,4531771.757999999,4921858.771
Investments - Held for Trading,100963.72899999999,99078.25,156098.563,139240.82,157598.477,181572.75900000002,208425.319,210107.225,223367.65499999997,267137.556,321571.97199999995,301492.51499999996,322362.229,321941.005,328068.233,269444.041,300626.39800000004,288526.84300000005,280516.924,305741.71200000006,291823.81899999996,373540.866,426093.35,465237.964,473410.857,417405.625,397483.938,397449.754,475848.86600000004,560684.772,515545.708,502882.718,515671.22400000005,515371.0029999999,548636.909,464434.213,567628.4419999999,660448.145,671718.7350000001,647072.782,632995.2509999999,647108.368,672105.895,621457.5059999999,653591.1749999999,630000.943,636715.0000000001,576320.3369999999,643753.183,668260.438,764909.597,763192.42,685752.5850000001,696775.678,640177.5329999999,601333.1869999999
Investments - Held to Maturity,472296.44,484564.042,507839.02300000004,533734.521,580535.787,618564.456,658259.7509999999,718742.873,769943.777,773084.9890000001,767918.4639999999,779366.1140000001,799159.637,818914.459,804740.2159999999,787699.6329999999,846324.5220000001,897674.747,887081.713,912323.088,1017265.609,1101523.971,1245393.738,1229712.448,1321503.159,1422885.878,1499782.528,1530099.063,1604334.858,1698265.1480000003,1783467.73,1844713.611,1918299.1259999997,1881642.8830000001,1843153.981,1806098.708,1882769.5020000003,1864669.176,1906660.745,1907310.974,1978804.35,1960706.5250000001,1942863.139,2050100.446,1978399.7770000002,2219452.1909999996,2280282.7290000003,2420354.0570000005,2494507.114,2693225.644,2974833.4990000003,3432569.6190000004,3641290.764,3739229.656,3858743.9930000002,4284309.430000001
"Investments in Subsidiaries, Associates and Joint ventures",18757.324,18138.821,19179.314,19723.709,20438.561,20449.109,20541.089,20245.922,21852.869,18238.541,18605.237999999998,18994.012,19518.868,21455.444,21229.751,22677.277000000002,22645.795000000002,22565.540999999997,23184.589999999997,23005.297,22211.606,22055.690000000002,22085.568999999996,24246.262,24365.872,24277.367,25714.862999999998,25688.663,25740.337,25680.019999999997,26042.223999999995,20213.453999999998,20472.811999999998,20504.93,21526.089,20789.855,20802.19,21637.561999999998,21176.511,22288.268000000004,22583.852,23807.550000000003,23968.737,25795.881,25894.261000000002,25892.481000000003,26713.535000000003,30216.533000000003,30230.552000000003,30422.828,29398.626,31954.231999999996,31987.174999999996,31510.574999999997,32850.231999999996,36216.154
Net Loans and Advances (a),1497980.4078107998,1552391.2145800001,1540662.6927453,1571960.2014838,1562036.3389972,1535090.8987260999,1523463.0170649502,1524609.4154499,1580737.3148835248,1664028.4013338,1730547.2784306002,1913143.380648,1989992.6320116997,2150054.9197655,2291186.1498640003,2544486.4705919,2736812.8984868,2874303.6412999993,2973716.599722,3087083.6110488,3176090.5979072005,3200827.2578797997,3238198.4223877,3349325.242781,3324477.8785472,3334204.1577626,3517100.3008320006,3810652.3517819997,3997036.2134,4119204.9030999998,4403100.742011108,4620045.500514,4834941.556899999,4946636.9025,5104961.5375933,5438603.9692,5740182.138561999,5947066.482719999,6087540.485352,6318683.9972648,6606838.796645001,6817701.223236399,7128123.3961907,7542263.290638799,7507198.466612609,7476249.218816,7668596.655193601,7922852.997583998,8319128.030867601,8348983.9979356015,8675606.353846401,8816727.4895988,9370603.2830847,9684940.2822096,10022070.3295359,10125010.735351866
Gross Loans and Advances(b),1554368.749,1610666.807,1599908.5299999998,1638277.6030000001,1630217.5350000001,1606419.7215500001,1593539.96942515,1599803.9273213001,1652054.972582925,1725273.117,1797259.6590000002,1975360.1016479998,2051023.6030116999,2209454.4487654995,2349701.3338639997,2601172.6985919,2795712.7384868,2935010.2652999996,3035302.923722,3149325.7670488,3238401.7919071997,3269539.1188798007,3312872.3853877,3426558.111781,3404195.8045472,3412359.7987626,3596623.488832,3894545.0907819998,4082085.3024000004,4207313.8691,4495331.438011108,4715290.439514,4928616.755899999,5043331.9485,5202005.3415933,5540751.4852,5844457.016562001,6056021.06272,6201265.746351999,6430920.113264799,6725467.930645,6946525.027236398,7265777.292190701,7693393.5906388,7665396.78661261,7653900.411816,7854661.983193599,8122439.182584,8537543.8078676,8599437.172935601,8938843.611846399,9091166.200598802,9663412.351084702,9996226.3022096,10355199.550535899,10479665.866351865
o/w Gross LKR Loans(c),1193423.6400000001,1231157.786,1273375.555,1311065.164,1329889.3730000001,1332604.1520000002,1321496.5999999999,1319056.4670000002,1350971.58,1428283.388,1497978.2680000002,1635392.6400000001,1698684.624,1822856.713,1965617.341,2150175.603,2293575.5960000004,2369504.8100000005,2476250.931,2590120.82,2644386.484,2671554.952,2705446.773,2803347.546,2788011.494,2761115.341,2892632.4829999995,3077644.7060000002,3239626.986,3350562.684,3601065.1370220003,3777830.628,3991377.6440000003,4119817.8920000005,4282399.771,4535698.683999999,4754898.0770000005,4903494.579,5060484.796,5253654.210000001,5455118.169,5631013.905,5865713.888,6156917.623,6186250.882999999,6153136.859,6271940.432,6487501.491,6668540.584,6762517.561,7117163.374,7291663.038999999,7778598.077,8064953.516999999,8444109.312,8571876.096
