<new sheet>
sheet_name: Assets

Banking Industry,,,,,,,,
"Assets, Rs. Mn",2022,,,,2023,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Total Assets,18645964.475,19372374.691000003,19287647.555,19416592.971,18931625.386,19219340.067386996,0,0
Cash and Due From Banks,1368944.921,1715922.073,1988662.373,2196295.8880000003,2089906.1870000002,2029027.780436525,0,0
Investments,5750114.0430000005,5831197.422000001,5852439.874999998,5931715.573000001,6118657.294,6609644.415037559,0,0
Financial Assets at Fair Value Through Profit or Loss,100579.585,115143.76900000001,121448.20999999999,113636.69699999999,159991.678,238779.60230506,0,0
Financial Investments at Amortised Cost ,4487592.107000001,5225400.074,5337212.710000001,5342626.711,5321103.29,5568352.4375653695,0,0
Financial Assets at Fair Value Through Other Comprehensive Income,1125622.2269999997,452597.3200000001,354705.382,435321.74,597433.057,762167.8271671301,0,0
"Investments in Subsidiaries, Associates and Joint Ventures ",36320.123999999996,38056.259,39073.573,40130.425,40129.269,40344.548,0,0
Net Loans and Receivables (a),10781800.081000002,10969279.353,10614664.976,10398816.103,9821010.220999999,9647769.879403219,0,0
Gross Loans and Receivables,11437605.735000001,11760085.390000002,11475465.656000001,11312515.292,10752045.849,10572438.881799117,0,0
o/w Gross LKR Loans,8577030.788999999,8551481.338,8388810.102,8357193.376999999,8259277.630000001,8285617.551494723,0,0
Gross FCY Loans,2860574.946,3208604.052,3086655.554,2955321.915,2492768.219,2286821.330304395,0,0
Stage 3 Loans,959957.995,1048097.96,1233714.8070000003,1313921.065,1383004.2310000001,1406436.256431535,0,0
Net Stage 3 Loans(b),875638.46,998275.873,1143086.015657,1151819.162657,1276217.6809999999,1333634.4086569997,0,0
Total Impairment on Loans,655805.654,790806.0369999999,860800.6800000002,913699.1890000001,931035.6280000001,924669.0023959009,0,0
o/w Individual Impairment,318820.349,381674.07499999995,418749.922,482750.85800000007,489491.67000000004,467369.901,0,0
Collective Impairment,336985.305,409131.962,442050.758,430948.331,441543.95800000004,457299.10139590106,0,0
Investment Properties (c) ,4182.895,4181.2970000000005,4179.963,4258.435,4256.101,4255.767,0,0
"Property, Plant and Equipment (c)",187656.19799999997,181055.455,181419.21,193517.102,194729.84399999998,195851.94269703998,0,0
Other Assets (c) ,553266.3369999978,670739.0910000022,646281.1580000021,691989.8699999996,703065.7390000022,732790.2828126547,0,0


Licensed Commercial Banks,,,,,,,,
