<new sheet>
sheet_name: Sheet1

,Banking Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,"Earnings/Profits, Rs. Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
A47,Total Income(a),90911.243,189407.932,289640.905,398237.858,99627.14799999999,208110.465,313575.92500441003,423394.40800000005,94980.48200000002,197304.72,297039.333,397385.35400000005,96877.027,197243.21900000004,304501.352,418328.532,127997.529,266755.79800000007,413620.471,574492.794,166924.90600000002,334859.75899999996,505052.83999999997,676935.9750000001,160794.535,316017.50399999996,485196.694,659850.2500000001,162280.48500000002,329080.36900000006,507711.38599999994,688808.9809999999,189639.78399999999,393303.45599999995,616574.072,860357.8509999999,248861.72699999998,521028.76100000006,802957.0260000001,1094520.877,294702.729,595520.162,915317.2280000001,1256449.872,325046.19,664856.2480000001,1005428.378,1341613.036,336102.11699999997,660723.38,975294.8199999998,1303048.424,334786.044,662773.267,996953.4850000001,1364820.642
,Interest Income,79495.288,162335.412,249548.74449999997,343784.646,86100.488,178887.47,269942.75000441,364249.50399999996,80949.234,160789.444,244180.11200000002,330090.718,82691.663,169176.324,260210.423,357690.741,104859.81599999999,223480.63600000003,352843.898,495618.152,142870.969,292640.766,443170.412,591155.588,137855.397,271720.484,413690.0950000001,561808.963,140695.96899999998,285261.864,435900.866,591331.2690000001,166273.34699999998,346405.68600000005,543996.5630000001,757486.152,221879.113,460357.561,711745.1359999999,972512.1540000001,259309.07499999998,530033.289,811733.8200000001,1108735.6269999999,296684.712,600529.936,906666.0829999999,1209490.867,298119.56700000004,587581.122,870026.8059999999,1161131.074,284065.386,573644.401,872238.1760000001,1198262.7829999998
,Interest Expenses,53310.511000000006,109119.136,167266.2975,228681.8569,58375.717000000004,119468.92499999999,177617.80250000002,233942.35900000003,46105.526,89787.64800000002,135611.07,180332.98700000002,44423.833,91004.901,139419.705,192673.731,59313.815,128398.66799999999,208330.344,298371.79000000004,95335.46800000002,196488.48100000003,295377.80100000004,394746.82499999995,92215.607,177820.619,260518.672,340461.334,77161.34700000001,157440.15899999999,241459.094,325235.199,96014.532,202781.911,322692.36799999996,453184.8,143487.91599999997,299024.79000000004,463288.36499999993,630636.432,166443.637,339958.66199999995,521353.172,711128.359,192117.037,389561.37200000003,585972.635,779698.9579999999,193755.217,383660.142,562023.74,734031.9890000001,160296.835,318154.94200000004,479730.471,649320.644
,Net Interest Income,26184.777,53216.276,82282.447,115102.78910000002,27724.771,59418.545,92324.94750441,130307.145,34843.708,71001.796,108569.042,149757.731,38267.83,78171.42300000001,120790.718,165017.00999999998,45546.001000000004,95081.968,144513.55399999997,197246.362,47535.501,96152.285,147792.61099999998,196408.76299999998,45639.79,93899.865,153171.423,221347.62900000002,63534.622,127821.705,194441.77199999997,266096.07,70258.81499999999,143623.775,221304.19499999998,304301.352,78391.19700000001,161332.77099999998,248456.77099999995,341875.722,92865.438,190074.627,290380.648,397607.268,104567.67499999999,210968.56399999998,320693.44800000003,429791.909,104364.35,203920.98,308003.066,427099.08499999996,123768.551,255489.459,392507.70499999996,548942.139
,Non-interest Income,11415.955000000002,27072.519999999997,40092.1605,54453.21200000001,13526.66,29222.995000000003,43633.174999999996,59144.903999999995,14031.248000000001,36515.276000000005,52859.221,67294.63600000001,14185.364,28066.895,44290.929,60637.791,23137.713,43275.162000000004,60776.57299999999,78874.64200000002,24053.936999999994,42218.993,61882.428,85780.38700000002,22939.138,44297.02,71506.599,98041.287,21584.516000000003,43818.505,71810.52,97477.712,23366.437,46897.77,72577.509,102871.69900000001,26982.614,60671.2,91211.89,122008.72299999998,35393.654,65486.873,103583.408,147714.24500000002,28361.478000000003,64326.312000000005,98762.295,132122.169,37982.549999999996,73142.258,105268.014,141917.35000000003,50720.658,89128.86600000001,124715.309,166557.85899999997
,Foreign Exchange  Income (net),2080.623,5444.002,8364.256000000001,13887.053999999998,4182.365,6436.688,9337.213000000002,12025.653,2997.451,6032.911,8391.594000000001,11881.867,3245.8959999999997,6058.276000000001,10077.212000000001,14891.421999999999,11631.268,19492.87,23193.804,26738.699,4315.053,8298.204,13895.962000000001,16404.477000000003,4073.0610000000006,7935.889999999999,11640.318000000001,19258.354,5365.7609999999995,10491.543000000001,19853.869000000002,27469.257999999998,7139.647999999999,12905.176,18947.517,25895.052000000003,7073.020000000001,13307.805000000002,17765.454,23412.049000000003,7329.926,15461.114000000001,29433.641,48550.761999999995,3304.454,11498.514000000001,20469.485000000004,26613.068,14201.280999999999,19252.732,24594.031999999996,31538.976000000006,18782.071,29717.367000000002,39158.701,46388.67399999999
,Operating Expenses,20314.557,41522.138000000006,63732.656,88952.456,22880.947,44109.641,67783.935,96506.83099999999,24359.316,48454.768,74319.12400000001,105849.36899999999,27200.828,55712.81300000001,85105.153,117441.917,32420.368,68578.13699999999,98829.43400000001,133506.06299999997,32858.14,68112.688,104406.368,141969.18300000002,37135.44299999999,76249.235,116483.05900000001,160184.01899999997,42471.015,85692.306,133204.52000000002,178491.90399999998,52623.984,96245.42,144722.40999999997,197229.762,49848.869000000006,98020.23800000001,150580.80700000003,204673.158,57589.068,117024.81700000001,181409.38400000002,254233.901,65490.44,130728.334,197645.48,264348.106,71607.369,122107.227,186903.16,252396.95,71490.75099999999,141809.546,219437.50699999998,299752.33
,Staff cost,8815.543000000001,18238.691,28023.7105,39595.981999999996,10238.743999999999,20769.759000000002,31777.154499999997,44860.049000000006,11141.083999999999,22510.345,34226.596999999994,47818.98300000001,12088.902,25173.741,37724.553,51860.407999999996,14436.563,29748.444000000003,45206.651000000005,61117.65699999999,15528.923999999999,31706.121,48153.53499999999,63727.344000000005,16740.105,33988.834,51496.14799999999,69629.93999999999,19364.103999999996,39902.038,60711.253000000004,81225.21100000001,21009.678,43099.702000000005,65707.927,88613.113,22464.595,45808.888999999996,69636.979,95088.22,25771.744000000006,52910.547,81585.209,112147.80999999998,28675.355000000003,58104.546,87813.60900000001,117814.574,28989.384000000005,56359.171,86614.238,117177.198,33377.856999999996,66054.832,99622.57900000001,135390.58815000003
,Provision for Bad and Doubtful Debts and Loan Write-offs (net),1898.628,5016.893,7364.7135,11799.421999999999,2646.655,6581.197,8722.859999999999,21545.586,2389.1690000000003,-4884.224,-3687.2310000000016,-6187.697999999999,-200.0829999999999,-897.2080000000004,-1899.019,-2935.384,1355.926,3351.4990000000003,4767.141,6297.180000000001,1189.1309999999999,7503.591999999999,13534.135,18455.612999999998,1609.6790000000003,1532.558,5110.522000000002,13009.835000000001,4232.31,8326.374999999998,12710.533,18955.946,3454.8880000000004,5113.102000000001,5605.42,10520.965,3265.1130000000007,9651.304000000002,15894.328,20247.492999999995,6254.808,17262.863999999998,27564.895000000004,41298.566,10183.429000000002,30381.094,41746.427,61166.68199999999,18563.472999999998,54909.369999999995,65494.384,83534.86300000003,15654.457000000002,37919.365999999995,61485.07400000001,91263.83956000002
,Provision for Decline in Value in Investments (net),-46.763999999999996,129.23000000000002,330.577,2423.336,-102.389,-1000.829,-798.944,-102.67899999999997,-45.724999999999994,-395.788,-345.817,193.72400000000005,122.91000000000001,542.035,1220.909,2897.3959999999997,908.656,229.99699999999999,-173.737,1620.775,-45.345,-68.648,10.883999999999999,-22.511000000000045,-1844.617,-2790.9320000000002,-2876.295,-2319.7330000000006,137.436,94.306,108.145,102.541,149.238,116.937,38.04899999999998,205.114,103.15,71.62799999999999,155.62,-133.28300000000002,308.37899999999996,418.482,495.201,1082.546,289.75899999999996,976.888,618.344,322.1889999999999,722.0400000000001,1139.638,522.302,747.757,540.865,459.763,-62.67200000000004,8327.87341
,Profit Before VAT & Taxes ,15434.310999999998,33620.148,50946.66100000001,66380.8581,15826.217999999997,38951.530999999995,60250.271504410004,71502.185,22172.196,64342.07699999999,91142.18699999999,117196.97200000001,25329.538999999997,50880.678,80654.60399999999,108250.872,33998.763999999996,66197.497,101867.289,134696.98599999998,37587.512,62823.64600000001,91723.652,121786.865,31678.423,63206.024,105960.736,148514.79500000004,38278.377,77527.22300000001,120229.09400000001,166023.39099999997,37397.142,89046.08600000001,143515.825,199217.21000000002,52156.679000000004,114260.801,173037.906,239097.077,64106.837,120855.337,184494.576,248706.5,56965.524999999994,113208.56,179445.492,236077.10100000002,51454.018,98907.00299999998,160351.234,232336.86500000005,86803.136,164429.65,236363.10499999998,316155.95593
,VAT on Financial Services,3772.8339999999994,8212.416,12848.867000000002,15957.266,4305.869999999999,9976.905,15601.024000000001,19292.668999999998,5711.301,15523.577,20656.727,27229.229,3675.1699999999996,7420.673999999999,11612.117999999999,14173.507,4762.671,9330.972,13992.029999999999,17918.834,4919.989,8902.840999999999,12985.332999999999,17299.046,4857.25,9327.833,15443.990999999998,22028.303,5610.972999999999,11839.489,18262.778,26165.672,6410.429,15211.034,22732.857,34248.244,10227.654999999999,21697.682,32403.401,44699.31700000001,12828.867999999999,24378.712999999996,37427.418999999994,53990.770000000004,15094.426,31817.688,49001.848,64337.352,10796.591,18166.086,29632.561999999998,42652.664000000004,15794.114000000001,30670.778000000002,43918.126,57433.71993000001
