<new sheet>
sheet_name: LCBs
Bank and Branch Network of Licensed Commercial Banks by District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

District,,No. of Banks,,,,,,,,,,,,,,,,,,,,Branches (a),,,,,,,,,,,,,,,,,,,,Other Banking Outlets,,,,,,,,,,,,,,,,,,,,Total Branch & Banking Outlets,,,,,,,,,,,,,,,,,,,
,,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2024,Q1 2023,Q2 2023*,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023*,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023*
1,AMPARA,6,8.0,9.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11,11,11,11,11,11,45,52.0,64.0,82.0,88.0,92.0,92.0,93.0,96.0,97.0,100.0,100.0,100.0,99.0,99,99,99,99,99,99,137,145.0,145.0,145.0,146.0,146.0,147.0,147.0,68.0,80.0,104.0,133.0,133.0,133.0,133,133,133,133,139,139,182,197.0,209.0,227.0,234.0,238.0,239.0,240.0,164.0,177.0,204.0,233.0,233.0,232.0,232,232,232,232,238,238
2,ANURADHAPURA,10,10.0,10.0,11.0,11.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,12.0,12,13,13,13,13,13,65,71.0,77.0,85.0,87.0,93.0,95.0,99.0,106.0,106.0,106.0,109.0,109.0,110.0,110,110,110,111,110,110,171,186.0,186.0,186.0,188.0,188.0,188.0,188.0,112.0,138.0,235.0,243.0,243.0,241.0,241,241,243,243,243,247,236,257.0,263.0,271.0,275.0,281.0,283.0,287.0,218.0,244.0,341.0,352.0,352.0,351.0,351,351,353,354,353,357
3,BADULLA,10,10.0,10.0,11.0,12.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12,13,13,13,13,13,70,70.0,75.0,80.0,83.0,88.0,92.0,94.0,94.0,95.0,95.0,95.0,97.0,97.0,97,98,98,99,99,101,128,137.0,137.0,137.0,138.0,138.0,138.0,138.0,131.0,131.0,156.0,163.0,163.0,159.0,159,159,163,163,184,174,198,207.0,212.0,217.0,221.0,226.0,230.0,232.0,225.0,226.0,251.0,258.0,260.0,256.0,256,257,261,262,283,275
4,BATTICOLOA,6,7.0,10.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13,13,13,13,13,13,27,41.0,52.0,63.0,67.0,70.0,73.0,74.0,74.0,74.0,74.0,74.0,75.0,74.0,74,74,74,74,74,74,43,43.0,43.0,43.0,43.0,48.0,52.0,52.0,51.0,47.0,51.0,91.0,91.0,82.0,82,82,91,91,91,91,70,84.0,95.0,106.0,110.0,118.0,125.0,126.0,125.0,121.0,125.0,165.0,166.0,156.0,156,156,165,165,165,165
5,COLOMBO,22,22.0,22.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,26.0,26.0,24.0,24.0,24,24,24,24,24,24,451,470.0,493.0,539.0,566.0,587.0,612.0,624.0,634.0,635.0,639.0,649.0,647.0,651.0,652,651,651,652,653,652,254,269.0,268.0,268.0,265.0,265.0,265.0,265.0,189.0,194.0,261.0,316.0,316.0,295.0,295,291,316,320,331,330,705,739.0,761.0,807.0,831.0,852.0,877.0,889.0,823.0,829.0,900.0,965.0,963.0,946.0,947,942,967,972,984,982
6,GALLE,11,11.0,11.0,12.0,12.0,12.0,13.0,14.0,15.0,17.0,17.0,17.0,17.0,16.0,16,15,15,15,15,15,80,84.0,92.0,105.0,109.0,115.0,120.0,123.0,127.0,128.0,130.0,130.0,131.0,130.0,129,129,129,129,129,129,173,185.0,185.0,185.0,202.0,202.0,202.0,202.0,155.0,158.0,167.0,210.0,210.0,206.0,206,207,211,210,211,211,253,269.0,277.0,290.0,311.0,317.0,322.0,325.0,282.0,286.0,297.0,340.0,341.0,336.0,335,336,340,339,340,340
7,GAMPAHA,13,13.0,13.0,13.0,13.0,14.0,14.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14,14,14,14,14,14,193,203.0,218.0,236.0,247.0,257.0,262.0,266.0,271.0,276.0,278.0,280.0,280.0,280.0,280,281,281,282,282,282,204,204.0,204.0,206.0,209.0,209.0,209.0,209.0,104.0,115.0,200.0,254.0,254.0,244.0,244,244,254,254,253,253,397,407.0,422.0,442.0,456.0,466.0,471.0,475.0,375.0,391.0,478.0,534.0,534.0,524.0,524,525,535,536,535,535
8,HAMBANTOTA,7,8.0,8.0,9.0,10.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11,11,11,11,11,11,43,51.0,54.0,62.0,68.0,76.0,79.0,80.0,80.0,80.0,80.0,81.0,81.0,81.0,81,81,81,81,81,81,98,98.0,98.0,98.0,98.0,98.0,98.0,98.0,103.0,100.0,101.0,119.0,120.0,120.0,120,120,120,120,120,120,141,149.0,152.0,160.0,166.0,174.0,177.0,178.0,183.0,180.0,181.0,200.0,201.0,201.0,201,201,201,201,201,201
9,JAFFNA,5,7.0,12.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,15.0,14.0,14.0,14.0,14,14,14,14,14,14,49,68.0,87.0,99.0,112.0,120.0,120.0,124.0,127.0,128.0,127.0,128.0,128.0,128.0,128,128,128,129,129,129,131,141.0,141.0,141.0,141.0,141.0,141.0,141.0,221.0,221.0,341.0,344.0,346.0,346.0,346,346,346,346,346,363,180,209.0,228.0,240.0,253.0,261.0,261.0,265.0,348.0,349.0,468.0,472.0,474.0,474.0,474,474,474,475,475,492
10,KALUTARA,10,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,12,12,12,12,12,12,84,87.0,97.0,108.0,115.0,122.0,122.0,122.0,122.0,122.0,123.0,126.0,126.0,126.0,126,126,127,127,127,127,81,81.0,81.0,81.0,81.0,81.0,81.0,80.0,62.0,63.0,82.0,92.0,92.0,90.0,90,88,92,94,108,108,165,168.0,178.0,189.0,196.0,203.0,203.0,202.0,184.0,185.0,205.0,218.0,218.0,216.0,216,214,219,221,235,235
