<new sheet>
sheet_name: Earnings
Table 5.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Licensed Finance Companies and Specialised Leasing Companies Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earnings & Profit (Rs. Mn),9 Months ending 31st Dec 2013,12 Months ending 31st Mar 2014,3 Months ending 30th Jun 2014,6 Months ending 30th Sep 2014,9 Months ending 31st Dec 2014,12 Months ending 31st Mar 2015,3 Months ending 30th Jun 2015,6 Months ending 30th Sep 2015,9 Months ending 31st Dec 2015,12 Months ending 31st Mar 2016,3 Months ending 30th Jun 2016,6 Months ending 30th Sep 2016,9 Months ending 31st Dec 2016,"12 Months ending 
31st Mar 2017",3 Months ending 30th Jun 2017,6 Months ending 30th Sep 2017,9 Months ending 31st Dec 2017,12 Months ending 31st Mar 2018,3 Months ending 30th Jun 2018,6 Months ending 30th Sep 2018,9 Months ending 31st Dec 2018,12 Months ending 31st Mar 2019,3 Months ending 30th Jun 2019,6 Months ending 30th Sep 2019,9 Months ending 31st Dec 2019,12 Months ending 31st Mar 2020,3 Months ending 30th Jun 2020,6 Months ending 30th Sep 2020,9 Months ending 31st Dec 2020,12 Months ending 31st Mar 2021,3 Months ending 30th Jun 2021,6 Months ending 30th Sep 2021,9 Months ending 31st Dec 2021,12 Months ending 31st Mar 2022,3 Months ending 30th Jun 2022,6 Months ending 30th Sep 2022,9 Months ending 31st Dec 2022,12 Months ending 31st Mar 2023,3 Months ending 30th Jun 20231

Total Interest Income,90011.235,122042.622,31803.456,65242.14,99205.923,133547.612,36355.962,75250.193,116069.599,160219.254,44882.746999999996,93358.447,144787.354,199671.459,55993.436,115159.331,176661.911,223805.764,63401.884,128909.465,194314.931,260917.22900000002,64178.16499999999,128981.082,193179.923,256124.34709090908,53101.392,109960.105,165590.27399999998,221180.30599999998,50847.809,104078.792,161425.459,210320.144,63762.397000000004,140670.751,222762.14988839,306690.11588839,84129.01199999999
Total Interest Expenses,54861.754,73375.2,17561.699,34296.081,50591.552,65807.113,16521.113999999998,33969.459,52954.873999999996,74220.763,22557.571,47736.674,75548.37,105120.33,31498.347999999998,64819.78,99302.324,126404.82100000001,34474.990999999995,69489.929,105541.557,141915.09,36929.648,72151.691,106024.433,139198.41390909092,30230.665999999997,58449.473,84191.151,106197.39300000001,21432.245,42142.333,63588.527,82069.89,33395.472,82999.85500000001,137970.26554343998,191818.14254344,54816.766
Net Interest Income,35149.481,48667.422,14241.757,30946.059,48614.371,67740.499,19834.848,41280.734,63114.725,85998.49100000001,22325.176,45621.773,69238.984,94551.12899999999,24495.088,50339.551,77359.587,97400.943,28926.893,59419.536,88773.374,119002.139,27248.517,56829.391,87155.49,116925.93318181818,22870.726000000002,51510.632,81399.12299999999,114982.913,29415.564,61936.459,97836.932,128250.254,30366.925000000003,57670.896,84791.88434495001,114871.97334494999,29312.246
Non Interest Income,12342.208999999999,17337.039,4063.3469999999998,9447.173999999999,15357.029999999999,20773.328999999998,5304.852,11250.611,17350.504,24102.964,6416.204,13643.948999999999,21544.917999999998,30181.144,7554.164,16551.347,25409.350000000002,35463.296,8644.363000000001,18440.157,28036.455,38680.752,8602.789999999999,18489.415,28755.854,37682.72781818182,4590.656,14112.412999999999,23115.78,40093.376000000004,8060.218,18705.959,32517.979,43474.509,9515.172,20379.842,32557.434477413088,46524.51447741309,10027.337
Non Interest Expenses (Opearating Cost),30272.262000000002,42122.700000000004,11129.151,23281.763,35710.712,49307.443,13420.776,28314.193,53438.934,66926.838,16411.339,34315.386,52124.475,72115.05799999999,18947.188000000002,39319.415,60001.993,73914.932,21276.004,44273.984000000004,67315.533,91281.094,22352.368000000002,45477.996999999996,69812.71,91191.03109090909,16543.034,37393.35,57018.542,79727.834,19653.383,40311.871,64345.615,80389.51699999999,23175.807,46562.388000000006,71638.87273816,96266.11973815999,25402.817
Loan Loss Provision,7862.159000000001,9480.455,3956.5080000000003,7202.938,9384.792,11785.221,2955.298,4911.196,7055.105,7794.742,2349.576,4050.263,6839.8589999999995,7638.312,3852.806,7827.479,12733.107,18286.682,6718.891,12820.403,20392.777000000002,25265.843,7907.766,16829.023999999998,25288.107,35012.1480909091,19744.576999999997,19952.618,28477.147,26683.13,10889.404,16453.670000000002,12920.57,6213.084,6385.751,9693.264000000001,13334.397369876235,13535.464369876236,4538.527
Total Income,102353.44399999999,139379.661,35866.803,74689.314,114562.95300000001,154320.94100000002,41660.814000000006,86500.804,133420.103,184322.218,51298.951,107002.39600000001,166332.272,229852.603,63547.6,131710.678,202071.261,259269.06,72046.247,147349.622,222351.386,299597.981,72780.95499999999,147470.497,221935.777,293807.0749090909,57692.048,124072.518,188706.05399999997,261273.68199999997,58908.027,122784.751,193943.438,253794.653,73277.569,161050.593,255319.5843658031,353214.6303658031,94156.34899999999
Total Expenses,92996.175,124978.35500000001,32647.358000000004,64780.78200000001,95687.05600000001,126899.77699999999,32897.188,67194.848,113448.91300000002,148942.343,41318.486,86102.32299999999,134512.704,184873.69999999998,54298.342,111966.67400000001,172037.42399999997,218606.43500000003,62469.886,126584.316,193249.867,258462.027,67189.782,134458.712,201125.25,265401.5930909091,66518.277,115795.441,169686.84,212608.35700000002,51975.032,98907.874,140854.712,168672.491,62957.03,139255.507,222943.5356514762,301619.72665147623,84758.11
Profit  for the period (Before Taxation),9357.269,14401.306,3219.4449999999997,9908.532,18875.897,27421.164,8763.626,19305.956,19971.190000000002,35380.460999999996,9980.465,20900.073,31819.568,44978.903000000006,9249.258,19744.004,30033.837,40662.625,9576.361,20765.306,29101.519,41135.954,5591.173,13011.785,20810.527,28405.48181818182,-8826.229,8277.077,19019.214,48666.340000000004,6932.995,23876.877,53088.726,85122.162,10320.538999999999,21795.086,32376.047714326858,51594.902714326854,9398.239
