<new sheet>
sheet_name: Table 3.1
,3.1 Summary of Government Fiscal Operations - (1990-2021),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Rs. million
,Year ,Revenue,,Grants,Revenue and Grants,Expenditure,,,Current A/C Surplus(+)/ Deficit(-),Primary A/C Surplus(+)/ Deficit(-),Overall Budget Surplus(+)/ Deficit ,Financing,,,,As a % of GDP (a),,
,,Tax,Total,,,Current,Capital and Net Lending,Total,,,,Foreign,Domestic ,Privatisation Proceeds,Total,Revenue and Grants,Expenditure,Overall Budget Surplus (+)/ Deficit (-)

,1990,61206,67964,6698,74662,71771,28043,99814,-3807,-4484,-25152,11644,13508.4,0,25152.4,23.20252094572757,31.018944385053327,-7.816423439325759
,1991,68157,76179,7870,84049,83756,36613,120369,-7577,-14247,-36320,19329.2,16149.2,841.2,36319.6,22.57288267601284,32.32727712202393,-9.75439444601109
,1992,76353,85781.3,8280.3,94061,89639,30186,119824,-3858,177,-25763,7361.2,15551.2,2850.2,25762.600000000002,22.117272498548026,28.17535617459433,-6.057848538502597
,1993,85891,98339,8025,106364,102288,39371,141659,-3949,-5092,-35295,9854.8,24240.5,1200,35295.3,21.29132345140272,28.35647012901224,-7.06514667760952
,1994,99417,110038,8256.5,118294.5,127084,43680,170764,-17046,-14438.5,-52469.5,11778.2,37695.9,2995.4,52469.50000000001,20.427865387404935,29.48864068079933,-9.060775293394395
,1995,118543,136258,9028,145286,154159,49325,203484,-17901,-19972,-58198,21224.2,33972.2,3001.2,58197.59999999999,21.756827180534675,30.47207729584349,-8.715250115308818
,1996,130202,146279,7739,154018,175148,43512,218660,-28869,-15719,-64642,10160,49754,4728,64642,20.051085235794034,28.466609731711383,-8.415524495917346
,1997,142512,165036,7329,172365,184749,50348,235097,-19713,-7486,-62732,9958,30275,22499,62732,19.36093688221128,26.407322705869667,-7.0463858236583885
,1998,147368,175032,7200,182232,199648,68531,268179,-24616,-31049,-85947,10196.8,71361.8,4388.8,85947.40000000001,17.90122850412481,26.34407545879806,-8.442846954673247
,1999,166029,195905,6761,202666,207271,71888,279159,-11366,-14370,-76493,1483.8,74875.8,133.8,76493.40000000001,18.32484450203126,25.24126033149391,-6.916415829462649
,2000,182392,211282,5145,216427,254279,81544,335823,-42997,-48196,-119396,495,118500,401,119396,17.209033456421412,26.702718433632626,-9.493684977211213
,2001,205840,234296,5500,239796,303361,83157,386518,-69065,-52415,-146722,14538,123595,8589,146722,17.038250729360136,27.463304623141426,-10.42505389378129
,2002,221839,261888.4,7079,268967.4,330847,72142,402990,-68959,-17507,-134022,1978,126351,5693,134022,17.002942691788594,25.4,-8.4722972908903
,2003,231597,276465,7956.2,284421.2,334694,82978.5,417672.5,-58229,-8125,-133251.3,43117,79911,10223,133251,15.606364556195226,22.917988134771093,-7.311568707927931
,2004,281552,311473,8681,320154,389679,87227,476907,-78206,-36970,-156752,37071.2,117243.2,2437.2,156751.6,15.312211688980653,22.809338443238868,-7.49707892661374
,2005,336828,379746,32640,412387,443350,141433,584783,-63603,-52237,-172396,47773,123604,1020,172396,16.813006618606956,23.84162147308648,-7.02859039246048
,2006,428378,477833.2,30068.2,507901.4,547960,165686.8,713646,-70127,-54968.09999999998,-205744.59999999998,41941.5,163804.5,0,205745,17.283458832881426,24.284792095434106,-7.001333262552676
,2007,508947,565051,30508,595559,622758,218846,841604,-57707,-63364,-246045,100907.3,145137.3,0,246044.59999999998,16.64182516050575,23.517110181161364,-6.875285020655615
,2008,585621,655259.2,31222.2,686482,743710,252415.8,996125.8,-88450,-97169,-309643.80000000005,-4643,314287,0,309643,15.56405562677155,22.584398512520288,-7.020320213518
,2009,618933,699644,25922,725566,879575,322352,1201927,-179931,-166686,-476361,230807.4,245554,0,476361.4,15.005626339500006,24.85737679185108,-9.851750452351078
,2010,724747,817279,16909,834188,937094,343111,1280205,-119815,-93424.5,-446017,243788,202229,0,446017,12.582652978079198,19.310250244067014,-6.727597265987815
,2011,845697,967862,15141,983003,1024906,408276,1433182,-57043,-93481,-450180,218956,231224,0,450180,13.122176854483806,19.131662127926813,-6.009485273443008
