<new sheet>
sheet_name: 3.04
,,,,,,,,,,,,,,Rs. million
,Year,Recurrent Expenditure,,,,,,Capital Expenditure,,,,Lending Minus Repayments,Adjustment for arrears on capital expenditure as per the Ministry of Finance,Total
,,Salaries and Wages,Other  Goods and Services,Interest Payments,Current Transfers and Subsidies,Adjustment for arrears as per the Ministry of Finance,Total,Acquisition of Real Assets,Capital Transfers,Other,Total,,,
,1990,15748,14419,20668,20936,-,71771,12025,7504,-,19529,8514,-,99814
,1991,17985,17863,22073,25835,-,83756,14072,11233,-,25305,11308,-,120369
,1992,20793,18898,25940,24007,-,89638,12604,12345,-,24949,5236,-,119823
,1993,26332,18563,30203,27190,-,102288,19719,13942,-,33661,5710,-,141659
,1994,29309,25391,38031,34353,-,127084,16747,13644,-,30391,13289,-,170764
,1995,34909,40538,38226,40487,-,154160,22589,19134,-,41723,7602,-,203485
,1996,38332,41671,48923,46222,-,175148,20938,16700,-,37638,5872,-,218658
,1997,44676,39158,55246,45670,-,184750,25467,18515,-,43982,6366,-,235098
,1998,53879.4,43887.3,54898,46983,-,199647.7,32246,21914.9,-,54160.9,14371.1,-,268178.7
,1999,58532.8,39690,62123,46925,-,207270.8,32933,27407.2,-,60340.2,11548,-,279159
,2000,68544,62221,71200,52314,-,254279,32934,34834.6,-,67768.6,13775,-,335822.6
,2001,78055.8,65691.2,94307,65307.4,-,303361.4,36114.9,31787.2,-,67902.1,15254.4,-,386517.9
,2002,88804.2,51087.5,116514.5,74440.9,-,330847.1,26501.4,32093.6,-,58595,13547.4,-,402989.5
,2003,91783.5,46877.5,125126,70907,-,334694,36580,38509,-,75089,7890,-,417673
,2004,106187,58343,119782,105367,-,389679,40448.5,43358.5,-,83807,3420,-,476906
,2005,138603,56257,120159,128331,-,443350,88141,52013,-,140154,1279,-,584783
,2006,175031,77994,150777,144157,-,547960,88209,74005,-,162214,3473,-,713647
,2007,214160,78472,182681,147445,-,622758,111510.4,94651.4,-,206161.8,12684,-,841603.8
,2008,239077.5,121249.5,212475,170908,-,743710,128605,104002,-,232607,19809,-,996126
,2009,271229.45,108502.45,309675.45,190168,-,879575.3500000001,143590.2,133826.2,-,277416.4,44936.4,-,1201927.15
,2010,300558,87727.80000000005,352592,196216,-,937093.8,158488,143598.8,-,302086.8,41024.8,-,1280205.4000000001
,2011,319601,113731,356699,216602,-,1006633,202627,160374,-,363001,30464,-,1400097
,2012,347747,140086,408498,234692,-,1131023,197350,202732,-,400082,25394,-,1556498
,2013,393228,119396,444007,248549,-,1205180,252535,201768,-,454303,9913,-,1669396
,2014,440982,127847.21281427494,436395,317673.78718572506,-,1322898,252303,207551,-,459855,13112,-,1795865
,2015,561729.669827329,210833.6876331825,509674.35546684,419419.90664083994,-,1701657.6195681915,313259.72853448056,274915.61963153,-,588175.3481660106,561.1962464999979,-,2290394.163980702
,2016,576471,169778.8525401603,610894.5708787099,400637.38908957003,-,1757781.81250844,328201.6220481995,248834.24958594007,-,577035.8716341396,-934.4435496699989,-,2333883.24059291
,2017,588518.469676,168073,735565.67671092,435536.4230327846,-,1927692.9370113902,360332.7236110913,278010.03784204996,-,638342.7614531412,7020.645816910001,-,2573056.3442814415
,2018,626045,179956.8810279495,852190.04648655,431521.36836777034,-,2089713.2958822697,355762.8583770401,256798.25095397,-,612561.1093310101,-9046.14680241,-,2693228.25841087
,      2019 (a),686452.2,161824.80000000005,901353,551524,123428,2424582,385366,239688,-5985,619069,-4933.4,299178,3337895.6
,2020,794158,180194,980302,717133,-123428,2548359,483543,307917,3907,795368,-3552,-299178,3040997
,      2021 (b),845679.90639636,168931.95988347963,1048382.44051515,684517.8330859101,-,2747512.1398809,438753.09040712996,326578.24225205,2274.7060692699997,767606.03872845,6616.95387856,-,3521735.13248791
,,,,,,,,,,,,,,"Sources: Ministry of Finance, Economic Stabilisation & National Policies"
,"(a) According to the Ministry of Finance, the fiscal sector statistics of 2019 have been restated as announced in the Budget Speech for 2020.",,,,,,,,,,,,,
,(b) Provisional,,,,,,,,,,,,,

