<new sheet>
sheet_name: 4.06
,4.06 Assets and Liabilities of the Central Bank - Monthly,,,,,,,,,,,,,,

,ASSETS,,,,,,,,,,,,,,
,,,,,,,,,,,,,Rs. Million,,
,End of period,A S S E T S,,,,,,,,,,,,,

,,International Reserves,,,,,,Domestic Assets,,,,Total Assets and Liabilities,International Reserve as a Percentage of Currency and Deposit Liabilities,,
,,Cash and Bank Balances Abroad Including Treasury Bills,Foreign Government and non Governmental securities            (a) (b),Special Drawing Rights,IMF Related Assets                    (c),Receivables              (d),Total,Loans and Advances to,,Government and Government Guaranteed Securities                    (f) ,Other Assets and Accounts ,,,,
,,,,,,,,Government ,Others                         (e),,,,percentage of Curresncy and Deposit Liabilities,,
,2003 Jan,60695.2,93377.1,1029.5,55106.6,762.6,210971,32831.9,29.8,30395.7,28962.4,303190.8,99.9,,
,Feb,58923.1,101618.8,78.2,54908.2,622,216150.3,32826.2,27.2,25913.5,27893.4,302810.6,98.3,,
,Mar,59765.1,96183.4,78,55058.2,796.9,211881.6,32839.7,22.3,30274.3,22364.1,297382,96.26225587630113,,
,Apr,67787,108225.7,387.6,55532.8,1009.7,232942.8,32807,16.5,21993.4,32214.7,319974.4,100.54888134563122,,
,May,50536.9,122046.2,194.6,57093.1,574.5,230445.3,32726.5,16,25934.3,28821.87,317943.97,100.53656953241362,,
,June,60055.4,121039.3,203.4,56252.1,605.5,238155.7,32186.6,15.9,20703.2,30040,321101.4,102.5546543153311,,
,July,43121.8,133785.1,391.3,55892.5,999.2,234189.9,32673.2,13.6,10369.9,32978.9,310225.5,104.8,,
,Aug,50975.3,137181.7,199.1,55107.1,1339.9,244803.1,32747.6,13.1,10001.8,29251.4,316817,104.3,,
,Sep,54379.7,146325.1,201.7,55816,1420.5,258143,32766.6,13,2099.5,26036.1,319058.2,111.4,,
,Oct,64829.1,142805.2,256.9,56092.6,1604.1,265587.9,32808.4,10.8,3405.7,22216.1,324028.9,109.5,,
,Nov,61488,136216.6,75.1,57795,1119.1,256693.8,32807.7,10.2,10785.4,23793.9,324091,107.5,,
,Dec,84594.8,134261.8,59.8,59426.3,83.1,278425.8,31203.9,29.9,11513.9,33409,354582.5,108.5,,
,2004 Jan,74127.1,132210.2,233.4,59707.8,107.1,266385.6,35299.2,29.8,14147.4,24835.4,340697.4,107.1,,
,Feb,90551.8,128277.6,32,60561.9,85.1,279508.4,35283.6,29.4,17187.8,22195.3,354204.5,107.3,,
,Mar,111573,106936.9,31.5,59623.9,102.7,278268,35428.2,27,32448.9,23003.8,369175.9,100.4,,
,Apr,100473.1,108031.8,200.9,59024.8,5675.9,273406.5,35320.8,24.9,32119.2,22559.8,363431.2,99.216196169054,,
,May,83358,105632.1,3,60160.9,2315.8,251469.8,35459.5,24.3,34443.8,18373.2,339770.6,99.1488341614471,,
,June,100951.3,101669.2,287.6,62012.9,10369.8,275290.8,34722.5,24.2,36731.2,21285.7,368054.4,99.84784754142298,,
,July,105078,84361.6,289,62300.2,6086.6,258115.4,35497.2,22,44845.4,19913.9,358393.9,97.56432586732949,,
,Aug,122676.4,78412.3,25.2,62268.8,4533.5,267916.2,35182.3,21.4,47009.4,21519.5,371648.8,97.20294486433772,,
,Sep,112352.2,76290.3,25.5,62945.9,9512.8,261126.7,35392.4,21.3,49537.9,24016,370094.3,97.07857206854361,,
,Oct,115539.9,72720.7,299,64467.3,4722.7,257749.6,35257.8,19.1,71836.8,13383.6,378246.9,93.56789173334109,,
,Nov,117639.3,66306.95,35,66611.9,7704.1,258297.25,35296.1,18.6,72491.43,24013.5,390116.88,92.21137585621298,,
,Dec,146646,66145.8,19.5,67157.7,4639.3,284608.3,34791.1,29.9,73875.6,20707.6,414012.5,93.35481371731241,,
,2005 Jan,110040.6,70863.8,259.9,62454.8,121.5,243740.6,40779.4,25.3,65509.9,28846.1,378901.3,88.1259169968277,,
,Feb,113900.3,78338.3,41.6,62988.5,108.9,255377.6,40985.7,24.8,65571.5,29628.2,391587.8,89.16074711668514,,
,Mar,121764.2,93918.4,41,62089.8,111.8,277925.2,40877.7,24.6,61527.9,36124.9,416480.3,90.18596938692728,,
,Apr,152316.5,81706.5,373.4,62645.4,125.5,297167.3,40994.8,22.5,52972,33000.3,424156.9,93.97907944762557,,
,May,137654.9,69539.5,76.9,60940.5,146.3,268358.1,41008.5,21.9,52092.6,17943.9,379425,92.3194655918691,,
,June,140288.3,87721.7,88.2,60219.5,100.9,288418.6,40233.1,18.9,50728.1,24865.9,404264.6,93.1212260730367,,
,July,127563.8,97441.4,234.8,60454.3,134,285828.3,40922.9,16.6,56541.4,25658.1,408967.3,90.99659099012825,,
,Aug,147703.3,86563.4,58.8,61053.4,111.7,295490.6,41023.7,16.1,54974.3,29131.1,420635.8,92.3896057605423,,
,Sep,138161.4,102165.6,58.5,60705.7,132.8,301224,40768.5,15.9,48012.5,34031.3,424052.2,94.70362203060833,,
,Oct,147324.8,140628.7,426.7,60873.2,91.2,349344.6,40807.5,13.8,44588.8,24454.4,459209.1,96.47469098486897,,
,Nov,124055.25,127389.7,167.7,60048.8,73.8,311735.25,41029,8.9,39030.9,27040.15,418844.2,97.4768849247421,,
,Dec,154872.6,118930.7,154.5,60182.4,163.6,334303.8,39746.3,2469,35388.7,28689.1,440596.9,99.32206848290191,,
,2006 Jan,137409.89,135857.2,452.1,61107.6,118.3,334945.09,49318.2,2466.8,18484.7,30136.11,435350.8,102.74704438786463,,
,Feb,152010.5,146085.7,1940.9,60822.4,147.7,361007.2,49232.9,2466.2,13683.3,27591.59999999992,453981.1,103.71522951636342,,
,Mar,135064,159649.9,165.6,61232,79.9,356191.4,49401.9,2466.2,31752.8,17396.7,457209.8,98.99130372916082,,
,Apr,130957,167596.1,471,62994,108.5,362126.6,49385,2466.2,34471.8,15609.3,464058.9,99.3916721331273,,
,May,99912.7,163552.7,228.2,63838.4,77.1,327609.1,49145.6,2463.9,34157.6,15560.8,428937,100.52683065136263,,
,Jun,146437.7,162121.4,213.4,63802.1,67,372641.6,48956.3,2443.9,34604.4,15253.5,473899.7,101.3255689885922,,
,Jul,115343,164710.8,522.6,64311.1,108.5,344996,49365.2,2274.4,33568.9,14836.9,445041.4,101.53938434633044,,
,Aug,146842.1,165073.47,315.2,63450.9,141.8,375823.47,49422.9,2274.4,38517.57,15009.700999999943,481048,101.65816619796291,,
,Sep,101439.9,159112.3,316.3,63681,79.8,324629.3,49319.8,2580.8,50826.3,19939.4,447295.6,95.53169211790478,,
,Oct,125908,167085.1,486.5,66126.1,148.5,359754.2,49426,2573.1,56457.3,20664.600000000093,488875.2,96.82803407338065,,
,Nov,111020.28,183087.77,308.9,67340.8,87.55,361845.3,49396.1,2573.12,54427.12,21026.85,489268.49,100.06881981280513,,
,Dec,117506.92,175625.46,291.7,66984.44,155.84,360564.32,49015.4,2487.44,65275.1,15507.999999999942,492850.3,96.94583934016963,,
,2007 Jan,113321.2,177564.9,453.6,66960.46,103.2,358403.36,61875.6,2487.1,47509.7,27028.84,497304.5,98.57,,
,Feb,135768.8,179722.12,302.45,67646.25,118.51,383558.13,61908.5,2486.8,43609.25,22185.64,513748.32,98.76400198857638,,
,Mar,146211.94,180517.96,305.3,68302.9,133.6,395471.7,61616.5,2486.34,40156.95,14978.83,514710.32,101.53380939109884,,
,Apr,174084.08,185814.59,309.88,69437.52,256.19,429902.26,61886.6,2492.23,30325.07,30788.990000000107,555395.15,104.56634625605072,,
,May,129490.1,188496.23,153.19,69265.58,152.9,387558,61917.6,2551.52,28443.6,20232.15,500702.87,105.67237490208706,,
,Jun,165750,191097,138.2,69805.5,227.7,427018.4,61098.5,2551,40173.72,13707.09,544548.7,102.98674745496226,,
,Jul,126757,193876,140.08,70744.32,155.83,391673.23000000004,61921.9,2310.3,47568.4,21892.769999999902,525366.6,102.52126898962011,,
,Aug,155491.3,180651.66,57.6,71631.474,113.72,407945.7539999999,61941.9,2310.3,66501.16,14593.08600000001,553292.15,98.63595273046111,,
,Sep,130229,179456,58.7,73020.49,59.565,382824.68200000003,61838.5,2318,75151.11,15498.407999999938,537630.74,98.2053770441877,,
,Oct,217288.62,174083.49,933.9,72401.63,185.57,464893.21,61931.6,2350.49,12353.800000000003,41329.89999999991,582859.04,114.22736491753409,,
,Nov,169843.7,190251.7,773.8,72641.4,79,433589.6,61618.3,2350.4,33106.2,20788,551452.5,110.04261969642634,,
,Dec,174043.865,194106.515,740.172,71159.29000000001,277.145,440326.9870000001,60679.2,2093.651,41813.235,17022.29799999995,561935.371,106.55419629294127,,
,2008 Jan,186898.412,194568.394,742.1,71342.4,160.304,453711.61,76957.2,2092.919,13496.6,30792.605000000098,577050.934,110.18520695200593,,
,Feb,197685.05500000002,240962.077,612.144,71949.147,149.387,511357.81,76829.2,2092.858,10389.8,20781.32500000007,621450.993,111.0302583176618,,
,Mar,189794.964,217065,624.8,73437.327,200.536,481122.62700000004,76946.2,2092.858,5014,24263.671999999904,589439.357,111.86908567548477,,
,Apr,170485.182,232448.015,616.464,72560.49,183.126,476293.277,76922.2,2092.858,9952.5,19837.10400000005,585097.939,109.58656863023835,,
,May,169882.69499999998,213297.805,504.751,72402.68400000001,145.158,456233.093,76640.7,2092.858,9634.5,19914.298000000068,564515.449,110.0939973102189,,
,Jun,210332.633,215203.371,490.909,72865.748,106.541,498999.20200000005,75913,2091.847,143.2,21091.63,598238.878,112.70598333171155,,
,Jul,221167.25,226868.06,486.366,72191.448,142.471,520855.595,76588.5,1847.145,1447.6,16500.363000000012,617239.203,111.26739565919928,,
,Aug,289208.76,177730.005,367.345,70118.433,129.268,537553.811,76717.8,1847.084,389.1,15526.133999999962,632033.929,108.88184595702927,,
,Sep,202782.989,187244.762,364.619,69598.212,98.569,460089.151,76859.8,1845.244,15640.4,16361.087999999989,570795.683,106.54382797602658,,
,Oct,178807.493,159292.436,379.357,67409.638,72.451,405961.375,76418.1,1845.244,76691,20600.66200000001,581516.381,89.05666574666327,,
,Nov,165546.55599999998,118933.012,292.472,68078.968,107.192,352958.2,76769.8,1845.153,91958.2,23403.198000000033,546934.551,84.83659102360545,,
,Dec,177766.238,94720.574,220.853,72179.022,125.2,345011.88700000005,76307.7,1577.301,142274.5,33198.669999999925,598370.058,77.19122139900337,,
,2009 Jan,110783.364,69927.706,215.263,70352.035,49.832,251328.2,87435,1577.301,158258.8,30947.344999999972,529546.646,65.2484554258811,,
,Feb,141541.25100000002,57620.991,168.998,69471.05600000001,20.727,268823.02300000004,87291.6,1577.301,178819,37241.56999999995,573752.494,67.12518019401166,,
,Mar,117729.71399999999,37426.939,173.455,71303.01299999999,40.982,226674.10299999997,87572.5,1577.301,197992.6,48703.6540000001,562520.158,60.339717400520456,,
,Apr,140817.582,30855.954,209.215,74491.439,70.189,246444.37900000002,87571,1576.752,193074.4,32698.80500000005,561365.336,64.620248918576,,
,May,139474.754,31466.131,177.476,73691.225,81.782,244891.368,87525.9,1572.832,192381.5,36746.523999999976,563118.124,64.93738235286256,,
