<new sheet>
sheet_name: DBUs
,4.08 Assets and Liabilities of the Commercial Banks (a) - Monthly,,,,,,,,,,,,,,,,,,,

,Assets and Liabilities of Domestic Banking Units (DBUs),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Rs. Million
,End of Period,A S S E T S,,,,,,,,,,,,,,,,,,
,,Cash on Hand,Due from Central Bank,Due from Domestic Banks,Cash Items in Process of Collection,Foreign Currency on Hand and Balances Due from Banks Abroad,Investments,,,,Loans and Advances,,,,,,Fixed and Other Assets  (b)(d),Total Assets or Liabilities ,Percentage of Liquid Assets to Demand Deposits (e),Percentage of Loans & Advances to Total Deposits
,,,,,,,Govt. of Sri Lanka Obligations,,,Other Investments (c),Bills Purchased and Discounted,,,Overdrafts,Loans,Total Loans and Advances,,,,
,,,,,,,Treasury Bills ,Treasury Bonds (b), Other Govt. Securities ,,Local,Imports,Exports,,,,,,,
,,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-14,-15,-16,-17,-18,-19,-20
,1995-12-01 00:00:00,4485.994742,30962.845475,6049.143434,8310.739411,21834.527403,11551.804656,0,752.531031,6962.320944,217.671026,8970.114563,5610.733118,64525.614639,107668.216861,186992.35020699998,57611.330171,335513.58747399994,196.56479005240664,81.94100393496525
,1996-01-01 00:00:00,5321.885264,28540.250316,2566.946471,8566.321166,20271.248845,15163.488061,0,896.039281,7311.374896,157.80518,11732.115055,5545.114999,63545.408192,110364.21197,191344.65539600002,56752.356275,336734.565971,205.31428835633645,83.58231840318454
,1996-02-01 00:00:00,5233.078876,31181.86592,6562.955123,7595.766277,19990.897988,18088.356537,0,759.053253,7632.867467,155.881856,12873.676457,6107.589001,60824.734614,111973.740906,191935.622834,58239.449111,347219.91338600003,215.83705733602147,82.51504051682919
,1996-03-01 00:00:00,4641.400617,29368.574536,5027.76551,7565.878078,18965.13864,19242.785918,0,759.053253,8099.129313,124.672808,12054.457977,5810.352719,60997.787489,115939.943813,194927.214806,63218.209269,351815.14994000003,196.9889571800196,82.62174323819782
,1996-04-01 00:00:00,6626.125783,30124.069395,5158.832911,8017.791223,19631.999307,22017.640439,0,847.232456,8320.494425,122.58395,11744.706956,5619.248844,60193.051007,117167.043799,194846.634556,61626.328338,357217.148833,206.40786373244458,80.4605723923316
,1996-05-01 00:00:00,5366.342086,33452.456203,4678.433377,7898.94062,22585.653148,19079.140026,0,847.232456,8965.036085,126.659298,10975.925749,5540.253496,62662.313385,118541.01723,197846.169158,57669.070038,358388.473197,220.23266717715518,81.35695737805314
,1996-06-01 00:00:00,5022.446631,30335.136372,5176.605914,7620.611306,26049.314887,16435.970924,0,840.399031,9144.91321,120.769853,9472.931924,5492.800987,62759.524011,120021.081065,197867.10784,57997.162142,356489.668257,223.0037862167618,82.2696241295702
,1996-07-01 00:00:00,5661.473162,31466.552487,5028.450041,9562.970283,24838.39384,14769.749974,0,840.399031,11036.603594,168.31016,11788.714414,5644.529073,64275.504052,119678.725843,201555.783542,61102.912211,365863.288165,212.55736069142782,82.96579728363947
,1996-08-01 00:00:00,5099.046763,31190.827733,5170.545382,7700.464039,25686.563415,15556.180894,0,840.399031,10160.343335,148.199882,11693.574734,6412.254364,64873.31196,122221.780118,205349.121058,58690.72655,365444.2182,222.09181382018082,84.60778415361298
,1996-09-01 00:00:00,5938.929553,32907.754181,4926.410816,9601.972189,23913.049605,14633.322388,0,840.399031,10547.22655,179.925235,11510.16137,6075.293935,65902.413592,125527.922351,209195.716483,60640.019966,373144.80076199997,205.69610514820843,84.49654706944345
,1996-10-01 00:00:00,5497.835167,27683.159401,5918.1175,5581.909929,21938.527213,17601.944935,0,840.399031,10690.423783,122.461632,10430.728372,6186.196309,64542.477038,121331.330777,202613.194128,77357.037112,375722.548199,204.20814902067463,81.45157413198852
,1996-11-01 00:00:00,5048.814965,32562.360805,7817.903763,5195.429808,22564.716786,13727.886516,0,840.399031,10617.915322,128.005938,10155.234737,6647.717673,66863.503181,117715.284614,201509.746143,78812.250878,378697.42401699995,200.47359991457947,80.02105358716533
,1996-12-01 00:00:00,6914.981796,34272.890262,7054.089912,7863.746782,22245.640496,15530.047989,0,840.399031,10582.167842,138.115575,12386.346162,6204.990274,65949.581255,117743.058141,202422.091407,82070.317542,389796.373059,199.93128819722068,77.28889095656076
,1997-01-01 00:00:00,5839.95391,30082.513801,6800.574212,5265.429289,24199.201428,17770.142405,0,840.399031,10887.782616,117.699812,12463.624422,6409.772585,64469.175282,120042.115405,203502.387506,82797.009036,387985.39323399996,203.70662412713128,77.79530054822735
,1997-02-01 00:00:00,5332.95616,32188.480654,7285.507589,5274.29425,25015.151175,16457.63687,0,840.399031,11080.887517,81.236137,12147.593998,6344.675697,67687.037857,121167.920141,207428.46383,80492.299545,391396.076621,214.5261486012702,79.11503873203058
,1997-03-01 00:00:00,6353.694319,19906.361488,8548.532785,5571.183558,26267.344612,26308.31603,85,840.399031,11462.79915,80.772123,13571.848868,6671.344498,67386.211122,124967.275342,212677.45195299998,84473.385467,402494.468393,213.1057979597448,79.7407050408896
,1997-04-01 00:00:00,7946.585686,24868.420334,8021.69913,4855.395161,28983.132192,23688.359664,456.2012,840.399031,11525.966883,81.497371,14011.652262,6937.652629,65769.040052,125847.543065,212647.38537899998,78795.467463,402629.012123,230.2123065013261,79.21315787466693
,1997-05-01 00:00:00,6268.33313,31192.804779,8605.847273,6518.723409,28010.032084,20409.425986,859.976089,840.389442,11349.407556,79.361754,13351.037426,6730.790437,67103.124876,125259.678042,212523.992535,83818.27645,410397.208733,222.37716219319307,78.3840117437934
,1997-06-01 00:00:00,6746.864011,29054.032987,8084.208818,7276.284144,30302.523504,21307.316336,779.941458,840.389442,11608.168418,93.615358,12431.123534,6762.566785,68428.222722,127566.944754,215282.473153,83518.511203,414800.713474,228.16348383582002,78.70398692522782
,1997-07-01 00:00:00,6343.27229,25936.05342,8395.742449,6769.611109,31698.827096,24323.655185,946.086154,840.389442,11902.926223,109.658615,12891.092962,6424.05314,67432.860681,128846.896208,215704.561606,86765.286084,419626.41105800006,221.7992976024019,77.1618725925896
,1997-08-01 00:00:00,5735.410222,29582.479875,7606.655793,5286.545207,31681.12045,29052.798591,1136.579148,840.389442,11878.730546,80.868206,11195.932539,7097.640506,67174.171991,130173.154601,215721.767843,83296.773346,421819.25046300003,241.34715496270402,76.59018292956509
,1997-09-01 00:00:00,6679.261008,29671.669459,5768.749824,6734.616478,32307.273223,32676.889634,1256.446282,840.389442,12833.661025,83.337837,10279.346598,7057.22233,65489.459274,132171.346321,215080.71236,85492.123674,429341.79240900005,244.21007870592305,74.83408411515569
