<new sheet>
sheet_name: 4.09
,4.09 Assets and Liabilities of Finance Companies - Annual (1990- 2009) ,,,,,,,,,,,

,Year,Liabilities,,,,,,Assets,,,,
,,No. of Reported Companies,Capital Account,Deposits,Borrowings,Other Liabilities,Total,Hire purchase,Loans Outstanding,Investments,Other Assets,Total
,1990,36,960.5,5382.8,1434.7,822.1,8600.1,3342.4,2451.1,755.7,2050.9,8600.1
,1991,33,1152.9,5659.8,2109.1,940.3,9862.1,3440.8,2883.8,1023.8,2513.7,9862.1
,1992,27,574,5641.8,3273.8,810.8,10300.4,2819,3054.7,1293.6,3133.1,10300.4
,1993,24,1335.1,5492.6,1157.7,1035.7,9021.1,2140.7,3138.8,1383.4,2358.2,9021.1
,1994,24,2183.6,6788.4,1335.1,1566.4,11873.5,2218.6,4273.3,1864.8,3516.8,11873.5
,1995,24,2326,8227,1812,2720,15085,2639,7025,988,4433,15085
,New Format,,,,,,,,,,,
,,No. of Reported Companies,Capital Account,Deposits,Borrowings,Other Liabilities,Total,Loans & Advances,"Equity & Debt
Investment","Investments in 
Government 
Securities
",Other Assets,Total
,1996,24,2605,10202,1454,3724,17985,12086,1036,1126,3737,17985
,1997,25,3124,14037,558,4576,22295,14544,1697,1534,4520,22295
,1998,25,3769,16076,1910,4334,26089,17175,1875,1949,5090,26089
,1999,25,4700,19110,2443,4460,30703,20041,2043,2243,6436,30763
,2000,25,4947,20813,2433,5373,33566,22307,1867,2776,6616,33566
,2001,25,5549,24421,1258,1258,36944,24049,1856,3186,7853,36944
,2002,26,6173,28627,2780,7330,44910,30479,1998,4267,8166,44910
,2003,26,7205,33893,4067,8815,53980,37125,2115,4264,10476,53980
,2004,27,8956,38431,5731,13113,66231,46555,2160,4960,12556,66231
,2005,28,12763,47136,12242,15353,87494,62273,2490,5543,17188,87494
,2006,29,16430,58808,19255,18605,113099,80053,2742,6361,23944,113099
,2007,32,21627,78202,26224,16465,142518,106211,2954,8826,24527,142518
,2008,34,25301.176999999996,103477.189,26236.995,20619.463,175634.824,128378.382,3199.3280000000004,11441.562,32615.552,175634.824
,2009,35,20635,119797,19201,25776,185407,133446,4458,10779,36725,185407
,2010,36,21623.774,146120.089,34219.997,31602,233565,174120,7844,12856,38744,233565

