<new sheet>
sheet_name: Sheet1
,,Monetary Aggregates,,,Broad Money (M2b) - Use Side,,,,,,Broad Money (M2b) - Source Side,,,,,,,,,,,
,,,Rs. Million,,,,,,Rs. Million,,,,,,,,,,,,,Rs.mn
,,Reserve Money (M0) (a),Broad Money (M2) (b),,Currency held by the Public,Demand Deposits held by the Public,Narrow Money (M1) (c)                   (1) + (2),Time and Savings Deposits held by the Public,Broad Money (M2b)(d)              (3) + (4),,Net Foreign Assets of Monetary Authorities  (e),Net Foreign Assets of Commercial Banks ,Net Foreign Assets (NFA)    (5) + (6),Net Credit granted to the Government by Monetary Authorities ,Net Credit granted to the Government by Commercial Banks ,Net Credit granted to the Government (NCG)            (8) + (9),Credit granted to Public Corporations by Ccommercial Banks ,Credit granted to the Private Sector by Commercial Banks ,"Domestic Credit     
  (10) + (11) + (12)",Other Items (net) ,Net Domestic Assets (NDA) (13) + (14),Broad Money (M2b)                (7) + (15)
,,,,,-1,-2,-3,-4,,,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,
,1995-12-01 00:00:00,78587,228536,,42199,33019,75218,184223.65449355,259441.65449355,,73662,-8917,64745,24418,14243.65449355,38661.65449355,13305,210703,262669.65449355,-67974,194695.65449355,259440.65449355
,1996-12-01 00:00:00,85509,253201,,42565,35638,78203,210453.67171033,288656.67171033,,73541,-10467.23507,63073.76493,34291,12839.67171033,47130.67171033,15491,229773,292394.67171033,-66813.25818399999,225581.41352633003,288655.17845633003
,1997-12-01 00:00:00,83736,288258,,45679.862665,40171.563248,85851.425913,247816.53669813002,333667.96261113003,,89930,565,90495,20300,24950,45250,14598,263198,323046,-79874,243172,333667
,1998-12-01 00:00:00,92866,316174,,51767,44501,96268,281472.32183268,377740.32183268,,101744,3904,105648,25909,38709,64618,10031,294868,369517,-97426,272091,377739
,1999-12-01 00:00:00,100444,358076,,58481,50073,108554,319764.587450785,428318.587450785,,89287,12805,102092,46716,47199,93915,13045.9,325927,432887.9,-106660,326227.9,428319.9
,2000-12-01 00:00:00,105163,404669,,62647,55830,118477,364943.9014357832,483420.9014357832,,57947,11582,69529,91556,55748,147304,38254,364369,549927,-136035,413892,483421
,2001-12-01 00:00:00,112522,450726,,65535.80523965,56674.24017774,122210.04541739,426927.8127472301,549137.8581646201,,84345.70000000001,-10215.90709118,74129.79290882,84535,116776.0716373701,201311.0716373701,40810.921558,396753.91921587003,638875.9124112402,-163867.14715532,475008.7652559201,549138.5581647401
,2002-12-01 00:00:00,126411,510395,,75291.80990000001,64069.20205924,139361.01195924002,483134.334088725,622495.346047965,,117376.20000000001,-6733.47953135,110642.72046865002,70934.3,122059.6170948,192993.9170948,43031.123786,444371.32709477504,680396.367975575,-168543.95137507503,511852.4166005,622495.13706915
,2003-12-01 00:00:00,141447,580747,,85601.302916,76034.07956124001,161635.38247724,556219.449014263,717854.8314915029,,164596,2497.493809025793,167093.4938090258,42149,134086.84590650076,176235.84590650076,36192.174575,519444.11548877705,731872.1359702778,-181111.79829104056,550760.3376792372,717853.8314882631
,2004-12-01 00:00:00,170967,687964,,99669.395664,88783.944578,188453.340242,670191.1300374862,858644.4702794862,,151694.3,18523.476247629987,170217.77624762998,108144,112317.79914213621,220461.7991421362,41170.691337,634309.79918966,895942.2896687962,-207515.29563693996,688426.9940318563,858644.7702794863
,2005-12-01 00:00:00,197932,822932,,114069.751651,116631.543838,230701.29548899998,791575.9642972256,1022277.2597862256,,196925.1,4404.524729477576,201329.62472947757,74423.32999999999,175141.38419766753,249564.71419766752,16671.883897,801148.623462682,1067385.2215573494,-246437.57431227525,820947.6472450742,1022277.2719745517
,2006-12-01 00:00:00,239863,993264.8,,135019.548658,124665.021934,259684.57059200003,944865.7760204787,1204550.3466124786,,229859.51600000006,-58668.716907648006,171190.79909235204,112942.02,244347.20778860035,357289.2277886004,31554.622604521603,993159.4271347552,1382003.2775278771,-348643.7040067504,1033359.5735211268,1204550.372613479
,2007-12-01 00:00:00,264419.4,1147742.4,,147182.720975,119409.30360099999,266592.024576,1137426.4885356408,1404018.5131116407,,292926.5,-64934.97612100006,227991.52387899993,101079,273021.55455464084,374100.55455464084,49166.914397,1184518.961457,1607786.430408641,-431759.442176,1176026.988232641,1404018.512111641
,2008-12-01 00:00:00,268425.2,1282193.7,,155022.91095,122299.73583399999,277322.646784,1245453.1001455775,1522775.7469295776,,148157.1746,-70457.06759441516,77700.10700558484,217351.68,365555.7044945792,582907.3844945792,46990.643056999994,1267600.5255246274,1897498.5530762067,-452422.93415221386,1445075.6189239928,1522775.7259295776
,2009-12-01 00:00:00,303537.302256,1536755.0233558,,181839.76261404,154870.27929953998,336710.04191358,1469458.88849948,1806168.93041306,,412202.41777780006,-10322.77178444597,401879.6459933541,109004.951771,531321.405492881,640326.357263881,73232.887391,1194188.6630913317,1907747.9077462128,-503459.6243265069,1404288.283419706,1806167.92941306
