<new sheet>
sheet_name: 4.02
,,Monetary Aggregates,,,Broad Money (M2b) - Use Side,,,,,,Broad Money (M2b) - Source Side,,,,,,,,,,,
,,,Rs. Million,,,,,,Rs. Million,,,,,,,,,,,,,Rs. Million
,,Reserve Money (M0)  (a),Broad Money (M2) (b),,Currency held by the Public,Demand Deposits held by the Public,"Narrow Money (M1) 
(c)    
 (1) + (2)",Time and Savings Deposits held by the Public,"Broad Money (M2b) 
(d)            
 (3) + (4)",,Net Foreign Assets of Monetary Authorities (e),Net Foreign Assets of Commercial Banks ,"Net Foreign Assets (NFA) 
(5) + (6)",Net Credit granted to the Government by Central Bank,Net Credit granted to the Government by Commercial Banks,"Net Credit granted to the Government (NCG)
(8) + (9)",Credit granted to Public Corporations by Commercial Banks,Credit granted to the Private Sector by Commercial Banks ,"Domestic Credit 
(10) + (11) + (12)",Other Items (net) ,"Net Domestic Assets  (NDA)       
 (13) + (14)","Broad Money (M2b)
 (7) + (15)"
,,,,,-1,-2,-3,-4,,,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,
,1995-12-01 00:00:00,78587,228536,,42199,33019,75218,184223.65449355,259441.65449355,,73662,-8917,64745,24418,14243.65449355,38661.65449355,13305,210703,262669.65449355,-67974,194695.65449355,259440.65449355
,1996-01-01 00:00:00,77071,228090,,41074,32709,73783,186698,260481,,76259,-9030,67229,20977,19818,40795,12214,214979,267988,-74735,193253,260482
,1996-02-01 00:00:00,79586,234199,,42317,35123,77440,192056,269496,,79977,-9413,70564,17116,23122,40238,13277,213145,266660,-67727,198933,269497
,1996-03-01 00:00:00,82915,239178,,45066,36730,81796,190756,272552,,80825,-11637,69188,20036,23581,43617,12455,219279,275351,-71988,203363,272551
,1996-04-01 00:00:00,80873,241893,,43480,35998,79478,198947,278425,,79963,-8751,71212,18526,24564,43090,13039,220249,276378,-69166,207212,278424
,1996-05-01 00:00:00,83410,242072,,42809,33811,76620,200745,277365,,76144,-8947,67197,25607,21473,47080,13843,223651,284574,-74409,210165,277362
,1996-06-01 00:00:00,79834,240407,,42710,33246,75956,196357,272313,,72268,-6661,65607,27259,14506,41765,14518,226767,283050,-76344,206706,272313
,1996-07-01 00:00:00,80732,240083,,41999,34201,76200,195715,271915,,73000,-6308,66692,27695,12405,40100,15469,230514,286083,-80863,205220,271912
,1996-08-01 00:00:00,81756,240097,,42617,33568,76185,196747,272932,,74930,-4428,70502,28558,13485,42043,15689,230727,288459,-86031,202428,272930
,1996-09-01 00:00:00,81614,241700,,42196,34438,76634,198440,275074,,73974,-9574,64400,29202,12485,41687,15307,236550,293544,-82870,210674,275074
,1996-10-01 00:00:00,77209,242845,,41394,32610,74004,201747,275751,,73142,-9539,63603,26827,15457,42284,14043,228219,284546,-72398,212148,275751
,1996-11-01 00:00:00,81826,245227,,41562,33714,75276,203984,279260,,72502,-8089,64413,32601,11135,43736,13821,226894,284451,-69606,214845,279258
