<new sheet>
sheet_name: 4.10
,"4.10 Reserve Money, Money Multiplier and Velocity - Annual ",,,,,,,,,,,,,,

,End of the Year,Reserve Money (Rs. Mn),,,,Money Multiplier,,,Velocity of Money (a),,,,,,
,,Currency Issues of the CBSL,Government Agencies Deposit with CBSL,Commercial Bank Deposit with CBSL,Total,M1,M2,M2b,M2,M2b,,,,,
,1990,23900.5,220.7,7457.5,31578.7,1.25,2.87,,3.85,,,,,,
,1991,27522.6,107.1,12426.2,40055.9,1.16,2.76,,3.7,,,,,,
,1992,30496.3,35.9,14325.7,44857.9,1.12,2.89,,3.54,,,,,,
,1993,35949.3,52.5,20466.2,56468,1.05,2.84,,3.45,,,,,,
,1994,43081.1,141.6,24832.1,68054.8,1.04,2.82,3.15,3.29,2.98,,,,,
,1995,46684.5,48.9,31852.7,78586.1,0.96,2.91,3.3,3.18,2.89,,,,,
,1996,49480,122,35907,85509,0.91,2.96,3.38,3.19,2.8,,,,,
,1997,53135,64,30537,83736,1.03,3.44,3.98,3.29,2.89,,,,,
,1998,60087,31,32748,92866,1.04,3.4,4.07,3.399496413448566,2.8917020089955123,,,,,
,1999,70210,15,30220,100444,1.08,3.56,4.26,3.324903715614017,2.7572459404431053,,,,,
,2000,73316,12.4,31805,105163,1.13,3.85,4.6,3.348613548769312,2.798226056833275,,,,,
,2001,76561.2,9.3,35951.9,112522.4,1.09,4.01,4.88,3.3911891336938944,2.771979536015887,,,,,
,2002,88307.8,16.8,38085.7,126410.3,1.1,4.04,4.92,3.3010993136507456,2.6944124730955767,,,,,
,2003,98785,20,42642,141447,1.14,4.11,5.08,3.364920781035994,2.7418655795161135,,,,,
,2004,115909,7,55051,170967,1.1,4.02,5.02,3.3249914145255177,2.6860349696020958,,,,,
,2005,132436.5,12,65483.6,197932.1,1.17,4.16,5.16,3.2546973993611887,2.6262593419795115,,,,,
,2006,157239.6,8.3,82615.4,239863.3,1.082638839670979,4.140967135406461,5.021829127460259,3.2581733268648145,2.6587934047052966,,,,,
,2007,173363.7,2.7,91053,264419.4,1.00821649243588,4.34061343456645,5.309816526321442,3.344476251202157,2.734163741484169,,,,,
,2008,186098.91,15.12,82311.21,268425.24,1.0331466643221277,4.776726253719844,5.67299828779116,3.6369691294490307,3.0102194490646075,,,,,
,2009,217429.833543,21.603,86085.865713,303537.302256,1.1092871927470793,5.0628209842219585,5.950401868201876,3.4525617491211786,2.903269165607256,,,,,
,2010,255652.216808,5.709,104853.445193,360511.371001,1.1294836883686272,5.028967115023097,5.801225697596787,3.98782905422173,3.452626309793076,,,,,
,2011,293233.360505,1.754,146269.185101,439504.299606,0.998186919545874,4.988809175416944,5.6694322511754,3.7291588587941114,3.268564704554875,,,,,
,2012,318060.141497,13.92,166288.377889,484362.439386,0.9291571207760299,5.353810796663197,6.047269438090185,3.7473589403022878,3.2659460638656035,,,,,
,2013,339770.98047,4.7393,148809.893158,488585.61292800005,0.9917975473837979,6.26050533101505,6.9954021123524965,3.4818679667892245,3.099684321565699,,,,,
,2014,416895.361756,7.302,161009.323174,577911.98693,1.0592536145095528,5.9880360373095405,6.706649670083809,3.3183384922508097,2.967909703835395,,,,,
,2015,491699.948669,5.143688,181726.731701,673431.824058,1.0617079926496331,6.024681311142743,6.780073689299794,3.1090967406805152,2.7630837555520227,,,,, 
,2016,552777.865468,117.58178892,303251.290266,856146.7375229199,0.9071160607163195,5.634033118211571,6.313866339483312,2.9138924520867078,2.5922293245323234,,,,,
,2017,598053.901017,27.1906512,341712.198338,939793.2900062,0.844120923863977,6.0282545980125315,6.7121797987750265,2.7147129094522873,2.434511864925109,,,,,
,2018,640942.509796,47.61990935,320106.182918,961096.3126233498,0.864422478653224,6.687497913087621,7.416839078286582,2.5040179866913173,2.2659586937466694,,,,,
,2019,677967.150306,55.68853959,254581.619737,932604.45858259,0.9280107812565702,7.412263419601066,8.175084944902798,2.3882252196845246,2.1640257680567743,,,,,
,2020,834807.85929,30.35301794,129601.52093,964439.73323794,1.2205532382158935,8.809040104808028,9.752536780266746,2.03 (b),1.84 (b),,,,,
,2021,1005099.066205,5.46067262,300704.162128,1305808.68900562,1.1180010340460653,7.381560131751532,8.153804648683524,1.92 (b),1.73 (b),,,,,
,2022,1026567.252517,11.62803066,322809.70148391,1349388.58203157,1.0772265534166585,7.779117569262992,9.107559571157648,2.374056238267268,2.0517882192783596,,,,,

,(a)  Data from 2010 are based on rebased GDP estimates (base year 2015) by Department of Census and Statistics            ,,,,,,,,,,,,,,
,(b) Based on revised GDP estimates (base year 2015) by Department of Census and Statistics      ,,,,,,,,,,,,,,

