<new sheet>
sheet_name: Aggregate Demand
,,,,,,,,,,,,,,,,Rs. Million
Item,"2020
Quarter 1  
(b)","2020
Quarter 2  
(b)","2020
Quarter 3  
(b)","2020
Quarter 4
(b) ","2020
Annual  
(b) ","2021
Quarter 1  
(b)(c) ","2021
Quarter 2  
(b)(c) ","2021
Quarter 3  
(b)(c) ","2021
Quarter 4  
(b)(c) ","2021
Annual  
(b)(c) ","2022
Quarter 1  
(b)(c) ","2022
Quarter 2  
(b)(c) ","2022
Quarter 3 
(b)(c) ","2022
Quarter 4  
(c) ","2022
Annual  
(c) ","2023
Quarter 1  
(c) "
A. Domestic demand,,,,,,,,,,,,,,,,
    Consumption,2477512.7808807422,1971677.7065351838,2401416.86216655,2276996.4282606742,9127603.777843151,2535264.7611306775,2178740.7153538,2297168.6248194873,2282551.993838596,9293726.09514256,2573794.193414933,2081539.3306867457,1983206.4517362134,1957615.6922824734,8596155.668120366,2163101.2338157557
Private Consumption,2167894.619706989,1613198.5041071337,2065699.3315506713,1903631.2618298766,7750423.717194671,2210216.648238244,1835534.5970266403,1981093.4628119962,1928450.0044707004,7955294.712547581,2241385.188462981,1727026.3981002723,1671821.4835378812,1598915.82634989,7239148.896451024,1852920.3958157557
Government Consumption ,309618.16117375327,358479.20242805,335717.5306158785,373365.16643079766,1377180.0606484795,325048.11289243354,343206.1183271595,316075.1620074911,354101.989367896,1338431.38259498,332409.0049519522,354512.93258647335,311384.9681983322,358699.8659325833,1357006.7716693413,310180.838
    Gross domestic capital formation,1112046.4790439294,790359.3777271915,1178752.939061703,1268427.9509294818,4349586.809101826,1287994.187652722,922076.2581830157,1103695.8760198092,1230322.3836428341,4544088.753498384,1076133.6061138413,532741.1655680826,858541.9189796732,945149.2642862741,3412565.939847872,919477.5197221078
Gross Fixed Capital Formation,922566.0230938313,702791.4611740427,896037.2392287132,895359.8535441926,3416754.5770407803,954103.1322290512,852260.440190252,898098.8262737311,941509.076265062,3645971.4749580966,1009040.4587439836,700294.8682124179,540367.5798616915,569942.9309683363,2819645.837786429,771911.5658150862
Changes in Inventories and Acquisitions less disposals of valuables,189480.45595009817,87567.91655314887,282715.69983298966,373068.09738528915,932832.232061045,333891.0554236709,69815.81799276374,205597.0497460782,288813.3073777723,898117.2785402869,67093.14736985767,-167553.70264433534,318174.3391179818,375206.33331793785,592920.1020614429,147565.95390702153
    Total Domestic Demand,3589559.2599246716,2762037.0842623753,3580169.801228253,3545424.3791901562,13477190.586944977,3823258.9487833995,3100816.9735368155,3400864.5008392967,3512874.3774814303,13837814.848640945,3649927.7995287743,2614280.4962548283,2841748.3707158864,2902764.9565687478,12008721.607968237,3082578.7535378635

B. External demand,,,,,,,,,,,,,,,,
      Net external demand,-202952.3200960554,-220816.3333650385,-197403.27098905132,-260468.55952447088,-881640.4839746163,-285259.7150793292,-207765.58180980064,-125053.97480130289,-181801.5271563176,-799880.7988467505,-130527.7349848767,65793.60742348386,58905.53244412219,14955.794037122861,9127.198919852264,31608.24646213639
      Exports of goods and services ,606497.3994499276,338071.9054499358,527437.1673847907,489334.12275989,1961340.5950445442,487637.9408943403,505754.3398599,553839.3379705367,612528.656366426,2159760.275091203,615312.1629738167,622298.1401512824,559903.743829937,583024.8950952372,2380538.9420502735,635467.8714621364
      Imports of goods and services,809449.719545983,558888.2388149743,724840.438373842,749802.6822843609,2842981.0790191605,772897.6559736695,713519.9216697006,678893.3127718396,794330.1835227436,2959641.0739379534,745839.8979586934,556504.5327277986,500998.21138581476,568069.1010581143,2371411.7431304213,603859.625

C. Total demand,3386606.939828616,2541220.7508973368,3382766.530239202,3284955.8196656853,12595550.10297036,3537999.2337040706,2893051.391727015,3275810.526037994,3331072.8503251127,13037934.049794193,3519400.0645438978,2680074.103678312,2900653.9031600086,2917720.7506058705,12017848.806888089,3114187
(a)  Based on the GDP estimates (base year 2015),,,,,,,,,,,,,,,,Sources: Department of Census and Statistics
(b)  Revised,,,,,,,,,,,,,,,,                            Central Bank of Sri Lanka
(c) Provisional,,,,,,,,,,,,,,,,

