<new sheet>
sheet_name: GDP (Constant 2015)
,,,,,,,,,,,,,,,,,,,,,Rs. Million
Economic Activity,"2019
Quarter 1  ","2019
Quarter 2   ","2019
Quarter 3  ","2019
Quarter 4   ","2019 
Annual  ","2020
Quarter 1  
(b)","2020
Quarter 2  
(b)","2020
Quarter 3  
(b)","2020
Quarter 4
(b)","2020
Annual  
(b)","2021
Quarter 1  
(b)(c)","2021
Quarter 2  
(b)(c)","2021
Quarter 3  
(b)(c)","2021
Quarter 4  
(b)(c) ","2021
Annual  
(b)(c) ","2022
Quarter 1  
(b)(c)","2022
Quarter 2  
(b)(c)","2022
Quarter 3  
(b)(c)","2022
Quarter 4  
(c) ","2022
Annual 
(c)","2023
Quarter 1 
(c)"
"Agriculture, Forestry and Fishing",233807.0246845195,223726.54069150958,234333.85532896954,257714.09402506557,949581.7841321846,224001.34618793256,215263.7490672192,244218.8793954993,257562.065275154,941046.055100573,233575.26433802076,240190.4420411109,236244.35752865308,239919.33015231465,949929.0440600995,223222.07358957877,221249.0153491556,220361.54162732075,241672.5643662853,906505.1898323405,224946.4721632997
1. Growing of Cereals (except rice),4359.377322512957,2746.241819525227,1744.4412139512053,4504.898162711491,13354.958518700882,4581.80608842347,4613.706161224536,4281.999387820355,7864.017322835463,21341.529960303822,6724.919859734824,5458.3351178318035,4405.141938404709,5361.029168638437,21949.42708460977,4498.373927720588,3767.6169249659833,3116.190419918415,5817.712985031323,17199.893257636308,5082.88416057786
2. Growing of Rice ,23805.34696714865,21972.051426533995,18604.18351448712,48537.39698480023,112918.97789297,26402.10767003333,28532.472896800715,21935.02911477255,44793.716811156955,121663.32749276356,26845.834297059584,31732.66276177541,21593.047740350514,27187.236637223352,107358.78043640888,17918.104639445948,22746.254816182656,16000.401002539164,36712.6490485706,93377.40850673834,25454.33728685615
3. Growing of Vegetables,23495.67465393742,26682.59287544959,28924.96430357407,22933.43977247842,102036.6706054395,25722.90327603812,30026.322553993028,31936.258278320296,23402.093624892874,111087.57973324432,24337.580547598845,30484.188316394102,33151.924012906115,21172.99477043421,109146.68764733327,21855.120404362526,27354.32301266834,30153.548301825005,20597.036444858655,99960.02916371453,22184.142431488406
"4. Growing of Suger cane, tobacco and other non-perennial crops ",711.8223822624375,896.5960976883509,880.7302087815692,785.4772213376192,3274.622928831532,942.4363129936338,1106.7139963371365,1084.8161052092626,887.1501175834068,4021.1153664733392,861.3620452838318,1009.1740222312,1002.8990066224674,855.4050493719133,3728.839123509412,902.8630726518966,1031.0992314254208,973.3533570831876,889.2713645619849,3796.5850257224893,926.0863801193616
5. Growing of fruits,14149.973157759621,15833.744515279697,27570.344708096385,19645.80712782126,77200.14531231325,15022.412994253767,16535.545391791842,29504.099556604928,20760.694239969886,81822.7504973218,16124.767806184052,19768.311507031565,20149.30906446559,16906.54361276216,72948.92999044337,15491.325457290219,20303.59032665835,20169.53575722959,17345.3046975308,73309.75623870897,16171.850016903045
"6. Growing of Oleaginous Fruits (Coconut, king coconut, Oil palm)",26010.56182653019,26606.585390698692,26104.714722098026,24077.942450103386,102799.80091321778,22131.361857583724,22558.085572937944,24759.469999414905,22748.39732571042,92197.315755647,23349.955663795703,25654.227755787637,26835.18328642663,26650.947691662044,102490.31639767201,27325.542101738996,28429.905727381396,28522.53622223009,27037.015737944304,111314.99978929476,26021.91109389404
7. Growing of Tea (Green leaves),17917.440239891715,20692.799597007743,17893.24474926313,16229.833598143858,72733.32018430645,13013.04533151667,18677.09362545004,17322.54005021363,18957.87623594285,67970.5562431232,18302.560295066232,21470.994070081702,17996.409747459584,15970.759619267705,73740.72173187524,15611.233422567731,17228.01474239237,14662.520189894398,14503.30679502442,62005.07414987892,14423.543083460596
"8. Growing of Coffee, cocoa & Other beverage crops",325.5169014941182,325.5168561152664,325.5168738304517,325.5168758326689,1302.0679436955986,398.7488904483522,399.5078399535638,403.6488573145686,411.16985928777865,1613.0767007895236,338.05884775871874,338.05884408269196,338.0588415936868,338.0588484106138,1352.2363818457113,307.24185212289456,307.24187744129347,307.2418974789759,307.24189867156247,1228.9695257147264,306.85890115237834
"9. Growing of spices, aromatic, drug and pharmaceutical crops",25696.124757835805,18101.228556927683,19155.68384790961,27926.737733805465,90879.77454836428,24259.412878286876,19215.864006724154,20416.703397415535,29883.64798108828,93775.62774370733,25492.357404939135,19689.53937641106,21000.52263705752,31838.74167058025,98021.16208898797,26270.610326665417,20668.854950074376,21823.349505334314,32471.967044337503,101234.77982641161,28585.209416045633
10. Growing of rubber,6805.668968767956,6379.523999936441,5367.892368490586,5475.905044074282,24028.991381269265,5937.339174661856,5505.728259079874,6004.746800550541,6633.2574083966565,24081.071642688927,7170.616485701145,6761.047901432301,6143.044089099957,5495.9010080084345,25570.60748424184,6237.701676937719,5814.727800539146,5949.10659259554,5861.821377527349,23863.357447599756,6187.057170735926
11. Growing of other perennial crops (except rubber),6881.699169274258,7499.665786582589,7463.139935979359,6906.8919528645765,28751.395440514185,7231.794076122437,7507.204650286744,7749.894796696616,7291.689813337211,29780.58762818181,6540.821716109647,6954.010685108756,6953.981664118328,6514.588721607246,26963.05778694398,6580.611752913879,7050.854966430526,7269.242135413518,6612.5732454709105,27513.277000228834,6489.702166392277
