<new sheet>
sheet_name: GDP Current
,,,,,,,,,,,,,,,,,,,,,Rs. Million
Economic Activity,"2019
Quarter 1  ","2019
Quarter 2   ","2019
Quarter 3  ","2019
Quarter 4   ","2019 
Annual  ","2020
Quarter 1  
(b)","2020
Quarter 2  
(b)","2020
Quarter 3  
(b)","2020
Quarter 4
(b)","2020
Annual  
(b)","2021
Quarter 1  
(b)(c)","2021
Quarter 2  
(b)(c)","2021
Quarter 3  
(b)(c)","2021
Quarter 4  
(b)(c) ","2021
Annual  
(b)(c) ","2022
Quarter 1  
(b)(c)","2022
Quarter 2  
(b)(c)","2022
Quarter 3  
(b)(c)","2022
Quarter 4  
(c) ","2022
Annual 
(c)","2023
Quarter 1 
(c)"
"Agriculture, Forestry and Fishing",276908.0799742525,272246.824969176,274509.4866074036,330875.24144283973,1154539.6439174828,305306.0426672511,294477.4797267489,326317.804809552,364921.22744789254,1291022.97813376,371137.21761236235,394007.29966959526,355113.0787628621,434653.1069951535,1554910.6200399736,430665.41479594505,549068.7284599125,529422.4761257278,603588.815944943,2112745.440326528,585054.498681366
1. Growing of Cereals (except rice),5257.301759591926,3621.8700071229778,2630.1265226474784,6676.557585153187,18185.855874515575,7139.413852535643,6517.060338423494,7028.108449967665,14423.343045103662,35107.92568603046,14764.858452356286,12153.638276915728,9762.186246019619,10847.273700259288,47527.95667555093,11770.304650229553,12029.294436424752,10839.918312648335,25229.840789532806,59869.356188835445,24273.585010118994
2. Growing of Rice ,22099.806497139303,21932.26034110294,20141.007103299486,67858.42380504266,132031.49874658437,31177.211466292898,40253.15314594,30897.316546248425,77125.25886335559,179452.94102183692,44128.29505143715,65454.61375613153,32752.202898847056,42252.47612727954,184587.5898336953,36096.1088096491,75474.4958272848,52725.65728099688,103432.86474778471,267729.12666571554,59469.75621823962
3. Growing of Vegetables,24183.960773263247,28833.774457169868,29713.440231950208,35385.73230770594,118116.90877008924,41595.108265303556,33677.50024492983,40386.3938251313,31843.493322561924,147502.49665792662,34326.02657586645,43133.231778348054,46445.90595005721,47675.54592922787,171580.71123349958,46344.921788783446,68664.70212256306,84396.40797418247,56908.94821929658,256314.98210482555,55544.086119374806
"4. Growing of Suger cane, tobacco and other non-perennial crops ",847.348295407658,980.3971663418754,1056.438842310288,1045.8751872257874,3930.0608484284658,1179.4930716568865,1429.3361045555362,1442.491973690081,1211.966756585405,5263.289906487909,1093.1607619750532,1257.5518919948934,1463.9168651176794,1319.7153417625645,5134.33886085019,1760.171076417164,2831.38127210011,2771.4263101645274,2021.1513900841492,9384.13104876595,2435.569816496701
5. Growing of fruits,25707.32180863421,30025.445202840223,34905.978908852776,28281.42529962071,118920.17285131152,28314.785070438764,30829.07598843236,38802.96406554435,28640.939270146653,126587.76404276404,23107.79719895198,35032.193093359645,31215.515619716476,24108.17218413508,113463.67609616317,28034.5606678429,43655.43507633099,46126.37538607935,30599.648277346627,148416.01940759987,36274.21516500943
"6. Growing of Oleaginous Fruits (Coconut, king coconut, Oil palm)",25811.13202180118,23786.958000900337,19719.274429561483,20733.10411964159,90050.4687306776,24712.512904420455,26895.897555766343,30274.245560579322,35560.54312002527,117443.19914079139,42242.95302219188,43343.57714997426,39853.79179599506,44341.896050891744,169782.21801905296,49828.603078501954,46181.421212631016,42458.88527173856,44217.44242307334,182686.34998594486,50772.69008621007
7. Growing of Tea (Green leaves),27137.950191937543,28842.790115126,23648.34589234993,23430.90166727012,103059.9868666836,20291.95538544185,32155.568885728164,27783.978567802307,31507.831597806948,111739.33543677928,31391.94613246223,34395.91242171377,28406.961178771413,27018.32105588878,121213.1387888362,33576.834632841426,64353.218220324816,44226.90074683764,60866.60652404851,203023.5621240524,58865.62645509715
"8. Growing of Coffee, cocoa & Other beverage crops",510.89888764405123,515.8388670629186,544.292815392081,549.8248703931163,2120.854440492167,851.0718519642279,887.7078572103239,1102.5298363422112,966.38780172219,3807.6984076642175,958.632802581636,1151.2078233149048,1221.7978190290012,1203.1597355735662,4534.799180499108,1056.0016932609656,1070.0617244650275,1078.5947305348686,956.9155838166919,4161.573732077554,947.7996518134386
"9. Growing of spices, aromatic, drug and pharmaceutical crops",27801.467984301366,18056.007031832516,17899.079363684585,24059.101534990754,87815.65566344102,30789.333203616246,20580.001717538897,20188.053881623546,26878.891678818527,98436.28158437935,57223.49326208096,32764.864044429283,27630.277636590235,72670.47505681864,190289.11199991914,60158.88050968145,49897.25535921303,43358.78185368523,57772.43620833738,211187.35293091706,62022.37179843668
10. Growing of rubber,6036.901626049746,6428.959564926707,5909.7839030311825,6538.50134161428,24914.148435621915,7140.220306418938,6052.175557117968,6752.261825838262,9417.880981060249,29362.539670435413,12598.837988041112,12739.958404433159,12377.96039597803,11524.379510594368,49241.13729904666,14100.00970208229,20498.108569901757,16360.13074421353,11533.246127484697,62491.49614368227,11605.168913692098
11. Growing of other perennial crops (except rubber),7900.928052473037,9548.211878906988,8927.752443153366,9027.145906991413,35404.04305771667,9598.6617515758,9411.534795817493,11997.849619831266,9992.087327871615,41000.134973283195,8814.572335119548,10048.1985099686,12178.97847382446,11180.571770023053,42222.236088935664,14189.88841318988,15736.777676341855,17976.93272753041,15772.15649021783,63675.75630727998,15184.715063652095
12. Animal Production,32808.762755911564,32723.834175504016,32989.12912104737,34456.1121302667,132977.84018272965,33303.304233176525,28185.60789878069,37265.99742505523,39519.92369094652,138274.83224795896,37294.18413716532,39261.05051679077,43130.933057508766,50668.80682443718,170354.9745359021,41717.8247125756,54835.31907591176,76378.52260296367,76744.64395228002,249676.31034373105,95754.88592724064
13. Plant propagation ,245.105,220.72899999999998,196.823,204.92100000000002,867.5781024544998,96.576,241.772,244.849,196.26700000000002,779.465,139.23399999999998,221.48099999999997,328.153,380.85900000000004,1069.7269999999999,255.32399999999998,228.85799999999995,491.45400000000006,219.332,1194.9699999999998,206.74300000000005
14. Agricultural supporting activities,7960.861000000001,5277.858,5067.3150000000005,7832.709999999999,26138.744033429935,7701.528999999999,6112.277999999999,5784.831999999999,7249.869000000001,26848.508,9122.576000000001,7977.4529999999995,7243.028,13025.71,37368.769,10181.565999999999,10031.778,10395,13572.940999999999,44181.284,15069.079000000002
15. Forestry and Logging,13198.299970844357,11874.42357271635,16291.116238522896,14050.952024979826,55414.79097997601,13192.328844767095,12251.577063436285,16858.825902832858,14507.915285483246,56810.628096519475,14789.316563733273,12462.466896199363,14427.985574509134,16853.440036596723,58533.209071038495,18702.25117560788,16640.4518139923,18900.502091657916,19788.572028378287,74031.77810963638,18717.28962742924
16. Marine fishing and Marine Aquaculture,43327.66927586647,42404.497704562666,47468.72904526263,43219.64932096337,176420.54528956613,42355.25172048087,30704.80296192153,39765.20612005396,27762.824049410534,140588.0860445862,32494.75903707349,34200.23451208078,36067.376820256584,51918.12983701985,154680.5022064307,55636.320280319094,56121.02343666661,46564.03797676295,73108.98135589056,231430.3640496392,69191.17381479028
17. Fresh water fishing and Fresh water Aquaculture,6072.36407338682,7172.969883059595,7400.853746337845,7524.303340980292,28170.491043764552,5867.2857391612315,8292.429611149968,9741.900209011234,8115.804656994245,32017.852216316678,6646.57429132599,8409.666593940487,10606.107430641365,7664.17483464523,33326.524150553065,7255.84360496236,10819.146635760471,14372.9481157314,10843.088827370784,43291.02718382502,8719.743013764619
Industries,1285837.4786960199,1047028.0631926549,1256729.621175352,1054979.3029541685,4644574.466018196,1205711.2382731088,837498.6154750164,1278810.7580430412,1095829.4577151802,4417850.070506347,1391829.336940953,1140472.8294774443,1432118.7458278828,1311183.9287202037,5275604.839966484,1699993.314569451,1793716.247585164,2219087.0917592896,1596155.713486447,7308952.36640035,2105796.408970596
18. Mining and quarrying,99243.63543720526,86325.55997545146,99166.58301631437,81902.6823141516,366638.4597431227,85625.52299216717,61978.734270379595,86995.09185365727,83350.01151206356,317949.3616282676,89471.81005960985,80100.93783531694,91541.90950330539,94098.92945057941,355213.5848488116,121181.21419426505,105897.79098125262,121836.14122415581,102223.85607540648,451139.00247507996,118854.70068075586
