<new sheet>
sheet_name: sheet

,,Western,Central,Southern,Northern,Eastern,North Western,North Central,Uva,Sabaragamuwa,Island,
2013,,,,,,,,,,,,
Agriculture,,87427,95261,120275,47918,68055,113526,60451,70030,72438,735381,
Industry,,1420948,234143,229387,61274,166192,301476,104018,124486,155403,2797327,
Services,,2265326,606246,552334,193073,273071,559760,291827,271017,393891,5406545,
"Gross Domestic Product (GDP), at Current Market Prices",,4049310,1003984,967872,324340,544370,1045953,489622,499534,667140,9592125,

2014,,,,,,,,,,,,
Agriculture,,88570,117727,157776,47280,76944,123592,71682,79647,66359,829577,
Industry,,1517626,240849,185879,104305,148383,314744,104514,145778,169920,2931998,
Services,,2397206,656272,619574,227831,304286,598554,346932,299025,445940,5895618,
"Gross Domestic Product (GDP), at Current Market Prices",,4295228,1088825,1033443,407074,568219,1112474,561261,562679,731950,10361151,

2015,,,,,,,,,,,,
Agriculture,,93211,125544,160933,55400,82356,134415,82107,90253,72009,896229,
Industry,,1502682,246585,186268,103067,153312,308940,121752,154180,198444,2975232,
Services,,2449353,704954,678833,260968,343835,635061,393420,322324,494631,6283379,
"Gross Domestic Product (GDP), at Current Market Prices",,4364660,1160951,1105559,452154,624801,1162892,643673,611097,824836,10950621,

2016,,,,,,,,,,,,
Agriculture,,95414.68592245551,128376.49697233121,162235.05855499007,62609.537671360646,83622.70024277233,129257.20052516415,73605.21314061378,87390.34968812884,68413.83513084572,890925.0778486624,
Industry,,1544807.7148240248,434167.96330803644,208247.27790415447,118942.67392871584,124025.3910895175,342160.6166689617,135023.25827132136,137961.4290106862,292091.1774135825,3337427.502419001,
Services,,2617495.974204061,766013.2257523054,732882.7517900079,273659.2394256671,374901.73285839445,718148.7639451519,430293.072704759,340425.13519274385,517416.1529276277,6771236.04880072,
"Gross Domestic Product (GDP), at Current Market Prices",,4643441.314376794,1448916.7917144373,1203323.1379885774,496450.7917917188,635325.2336379302,1297333.9527483992,696803.8825797951,617032.8014508906,957455.3907798387,11996083.297068382,

2017,,,,,,,,,,,,
Agriculture,,101464.44157399013,148837.72659987144,185017.89724920155,77184.74325932766,107166.95743609902,144208.18553034207,83699.6764735262,102681.61801465834,93732.9541765341,1043994.2003135504,1043994.2003135504
Industry,,1653090.2327840945,457550.5527882435,212134.29044635556,122546.06939574302,137517.48806222595,377653.8633512792,117034.46124007908,214658.138670573,276374.4188692678,3568559.5156078613,3568559.5156078613
Services,,2836491.6964475824,856853.2889363542,811586.3937449742,298938.14418482035,433498.43635215505,798026.808766931,478488.57712431846,383113.5140781984,580151.3496690849,7477148.209304418,7477148.209304418
"Gross Domestic Product (GDP), at Current Market Prices",,5061327.490327437,1613127.8529105394,1332555.0030963325,549749.8164854588,747652.144227191,1455090.892105535,748798.4918916721,772203.787256145,1047597.912925519,13328103.391225832,13328103.391225832

2018,,,,,,,,,,,,0.0
Agriculture,,107257.36221380708,144970.91466478273,187688.59064966033,90923.02002861713,133469.69468969843,191510.5555978613,108798.12679824725,89987.4343264931,92066.33156526813,1146672.0305344355,1146672.0305344355
Industry,,1838385.3454710657,448019.3564556218,255883.61097197945,141073.33967014143,133884.045982381,353807.84183078073,129374.95578103277,205983.63661272803,245956.24583816784,3752368.3786138985,3752368.3786138985
Services,,3173075.1260139463,942268.6848969999,882753.8926044157,316567.6630107277,462846.49594796315,857645.9716516169,510367.33805001125,415959.41742712597,623251.9549330376,8184736.544535844,8184736.5445358455
"Gross Domestic Product (GDP), at Current Market Prices",,5588493.0356398625,1676158.808192633,1448050.934117158,598909.0080980875,797215.0584485203,1531722.7596017604,817238.4303041198,777268.586656991,1049496.4176250463,14284553.038684178,14284553.038684178
,,,,,,,,,,,,0.0
2019,,,,,,,,,,,,0.0
Agriculture,,108294.1945909747,122256.44134523648,180046.4068381113,111251.48247161203,118626.19638418467,194467.71013658826,102273.22689069423,107908.42934828803,86940.88272437139,1132064.9707300612,1132064.9707300612
Industry,,1876429.7763355363,466356.3551032632,283808.2326622356,215352.8388592435,194200.28924989025,406385.7036262471,142376.5597564027,214735.72125047148,314456.06872848305,4114101.545571774,4114101.5455717742
Services,,3465926.132298641,988228.6139457102,923838.3295382792,341133.7246850292,481876.3161165494,924751.2575428772,521430.7326949673,424975.1531433754,651075.842364823,8723236.10233025,8723236.102330253
"Gross Domestic Product (GDP), at Current Market Prices",,5857827.875451401,1694635.5744808952,1491357.2514574965,717619.8188059928,854069.1727835608,1639571.3174114053,823308.7312625212,803468.414730004,1131095.2552488102,15012953.41163209,15012953.41163209

2020,,,,,,,,,,,,
Agriculture,,100832.7419660171,150601.74207748185,178519.49297048512,109800.87667708832,127289.0944953311,220205.5413143298,148857.94165546377,119572.78592972689,96241.02135980061,1251921.2384457244,
Industry,,1754190.55232391,449139.55251939,301251.00963840424,190380.99729088208,171792.0089583195,403480.6712369974,132353.31893278932,194625.62795733658,332828.6969976156,3930042.435855645,
Services,,3513249.117312639,995481.8914238515,951316.1966048309,349743.4156916789,501717.8917717531,934796.8355030536,544934.1227915037,451442.4760860878,691055.2183774273,8933737.165562825,
"Gross Domestic Product (GDP), at Current Market Prices",,5694305.776659771,1692106.4928796517,1518001.4413242033,689397.4536961716,849434.2303866212,1653135.0019015018,876319.9905378476,812140.8543273857,1188153.9178310412,14972995.159544194,

(a)  The data is based on the base year 2010 GDP estimates of Department of Census and Statistics.,,,,,,,,,,,,

