<new sheet>
sheet_name: Wage Rate Indices

Year,Month,Public Sector (2016=100),,Informal Private Sector (2018=100),
,,Nominal,Real,Nominal,Real
2017,May,100.00060162655522,93.43241761167474,,
,June,100.00060162655522,92.22097621638561,,
,July,100.00060162655522,92.9744155645587,,
,August,100.00060162655522,93.05043716354852,,
,September,100.00060162655522,92.29577019547433,,
,October,100.00060162655522,91.18644603447103,,
,November,100.00060162655522,90.0321872239081,,
,December,100.00060162655522,89.88995628042642,,
2018,January,100.2058737963333,90.64728488094379,,
,February,100.2058737963333,92.1861636056809,,
,March,100.2058737963333,92.86179509790495,,
,April,100.2058737963333,92.78623627357793,,
,May,100.2058737963333,91.74117810155052,,
,June,100.2058737963333,90.14567935195832,,
,July,100.2058737963333,90.0744742339868,,
,August,100.2058737963333,90.93643092522112,,
,September,100.2058737963333,91.66743117381614,,
,October,100.2058737963333,91.30046787848461,,
,November,100.2058737963333,89.29857821474337,,
,December,100.2058737963333,89.72012933141409,,
2019,January,101.3902999221614,90.63799003253706,102.76097806707989,101.04560431694208
,February,101.3902999221614,91.06721492614022,103.76414060798776,102.51520363539754
,March,101.3902999221614,91.28335546789532,102.67353721867222,101.67848118154505
,April,101.3902999221614,90.63799003253706,103.6650062169661,101.93454165914167
,May,101.3902999221614,89.65202899100208,104.27381978295209,101.4178352084773
,June,101.3902999221614,89.30507841441153,105.07270964630607,101.79935317319168
,July,108.44545365197,95.37165862128427,106.67587723603786,103.19283564931253
,August,108.44545365197,95.15106110712557,107.50765046713295,103.75690167481395
,September,108.44545365197,94.4953493537074,107.77498878870288,103.29811808289345
,October,108.44545365197,93.56400777554347,108.7434145998262,103.19906688804583
,November,108.44545365197,92.85998965834601,108.73405007929162,102.41373001260594
,December,108.44545365197,91.4155009303273,109.81174163845296,101.81988710809888
2020,January,114.60883866888834,95.20062657313498,111.28938069598624,101.68356371255533
,February,114.60883866888834,95.20062657313498,111.11729590218704,101.52633222303842
,March,114.60883866888834,96.4680905363868,111.29631324666363,103.0437574752302
,April,114.60883866888834,96.75434599791907,111.54780493127447,103.5830599575095
,May,114.60883866888834,96.32559704962698,111.12525850998485,102.73341384037927
,June,114.60883866888834,95,111.9452932023541,102.05937419231371
,July,114.60883866888834,95,113.17263838940474,103.17833219514739
,August,114.6,94.6,113.13042154573787,102.76560607393134
,September,114.6,93.89838618084588,113.92873277581097,102.67119600584692
,October,114.6,93.76337771760959,113.87564702008008,102.47580241364864
,November,114.6,93.29389013247133,114.35030244565871,102.38769033358605
,December,114.6,92.36887989036468,115.77577463105322,102.63620814052472
2021,January,114.60883866888834,91.78385531681558,116.97928822902024,103.04632233685862
,February,114.60883866888834,91.33393445741942,116.7879302129881,102.37345353228841
,March,114.60883866888834,91.78385531681558,117.37387629520335,103.39391249297735
,April,114.60883866888834,91.71930970829462,119.36689578012513,105.07560604273675
,May,114.60883866888834,90.82511031002433,118.72571652525474,103.49228110061813
,June,114.60883866888834,89.51603184982494,119.96118048947397,103.06205056808447
,July,114.60883866888834,88.96647913041947,120.54209949574958,102.9253567829499
,August,114.60883866888834,88.6640777737559,121.34862572335439,103.26182341890474
,September,114.60883866888834,88.4236328170813,128.186164148215,108.78442777798517
,October,114.60883866888834,86.60349163691563,130.92944725364444,108.82532244339274
,November,114.60883866888834,83.9825231198937,133.2212328292813,107.37905872121884
,December,114.60883866888834,81.00922882310245,134.18212784406043,104.32452082534327
2022,January,133.11647799957106,91.25695901416377,136.85880263562547,103.20060614406276
,February,133.11647799957106,90.27804050268882,136.86368553059015,102.09720998981896
,March,133.11647799957106,87.71659059844347,143.53187732066166,104.03360013673321
,April,133.11647799957106,79.60407354887643,147.48555084543767,97.01263177655103
,May,133.11647799957106,72.58579394514224,150.08179497379018,90.01671627141442
,June,133.11647799957106,65.43695549179779,152.07334977902946,82.2279980932614
,July,133.11647799957106,61.983040901600596,156.0333840462775,79.91603456625526
,August,133.11647799957106,60.49782426657821,160.30931398026001,80.13865166724861
,September,133.11647799957106,59.1,160.98164739578291,78.65291847293962
,October,133.11647799957106,58.96712805119185,165.32103224589414,80.55297863518803
,November,133.11647799957106,59.10517048907993,164.7757530699679,80.47524342775354
,December,133.1,59.1,165.6,80.9
2023,January,133.1,58.7,166.3,80.7
,February,133.1,58,167.3,80.2
,March,133.1,57.8,168,80.3
,April,133.1,58.4,169,81.6
,May,133.1,58.3,170.1,82
,June,133.1,58.3,170.5,82.1
,July,133.1,58.7,171,82.9
"Notes: 
          ",1. Real Wage Rate Indices are based on  National Consumer Price Index (2013=100) ,,,,Source: Central Bank of Sri Lanka
,2. Informal private sector wage rate index was rebased to 2018 (from 2012) in order to capture the recent changes occurred in the informal private sector wages and the employment structure.,,,,

