<new sheet>
sheet_name: 1.06
,1.06 Greater Colombo Housing Approval Index - Quarterly (2003 - 2020) (a),,,,,,,,,,,,
,,Base Period : 1995 Q1 = 100,,,,,,,,,,,
,Period,Number of Housing Approvals,,,,Housing Approval Index  ,,,,Other Building Approvals,,All Buildings,
,,<1000 sq. ft.,1000-2000 sq.ft,>2000 sq. ft.,Total,<1000 sq. ft.,1000-2000 sq.ft,>2000 sq. ft.,All,No.,Index,No.,Index

,2003 Q1,801,964,806,2571,102.29885057471265,98.77049180327869,107.61014686248332,102.51196172248804,266,53.3066132264529,2837,94.34652477552378
,         Q2,851,1139,949,2939,108.68454661558108,116.70081967213115,126.7022696929239,117.18500797448166,253,50.70140280561122,3192,106.1523112736947
,         Q3,1046,1164,975,3185,133.58876117496808,119.26229508196722,130.173564753004,126.99362041467303,299,59.919839679358724,3484,115.86298636514798
,         Q4,1074,1175,1028,3277,137.1647509578544,120.38934426229508,137.24966622162884,130.66188197767147,261,52.30460921843687,3538,117.65879614233454

,2004 Q1,1110,1198,869,3177,141.7624521072797,122.74590163934427,116.02136181575433,126.67464114832536,303,60.72144288577155,3480,115.72996341868974
,         Q2,1167,1277,955,3399,149.04214559386972,130.84016393442624,127.50333778371161,135.5263157894737,248,49.69939879759519,3647,121.28367143332224
,         Q3,1114,1267,1005,3386,142.27330779054915,129.8155737704918,134.1789052069426,135.0079744816587,257,51.503006012024045,3643,121.15064848686399
,         Q4,1155,1271,1034,3460,147.5095785440613,130.22540983606555,138.05073431241655,137.9585326953748,179,35.87174348697395,3639,121.01762554040572

,2005 Q1,1044,1321,1196,3561,133.33333333333331,135.3483606557377,159.67957276368492,141.98564593301435,304,60.92184368737475,3865,128.53342201529765
,         Q2 ,982,1402,1372,3756,125.41507024265645,143.64754098360655,183.17757009345794,149.76076555023923,278,55.71142284569138,4034,134.1536415031593
,         Q3,597,1554,1570,3721,76.24521072796935,159.22131147540983,209.6128170894526,148.3652312599681,499,100,4220,140.33920851346858
,         Q4,501,1326,1387,3214,63.984674329501914,135.86065573770492,185.18024032042723,128.14992025518342,413,82.76553106212425,3627,120.61855670103093

,2006 Q1,412,1644,1507,3563,52.61813537675607,168.44262295081967,201.20160213618158,142.06539074960128,665,133.26653306613227,4228,140.6052544063851
,         Q2,565,1914,2026,4505,72.2,196.1,270.5,179.6,663,132.9,5168,171.9
,         Q3,569,1637,1816,4022,72.7,167.7,242.5,160.4,466,93.4,4488,149.3
,         Q4,565,1507,1652,3724,72.2,154.4,220.6,148.5,407,81.6,4131,137.4

,2007 Q1,532,1567,1780,3879,67.94380587484035,160.55327868852459,237.6502002670227,154.66507177033492,419,83.96793587174348,4298,142.93315596940474
,         Q2,413,1326,1474,3213,52.745849297573436,135.86065573770492,196.79572763684914,128.11004784688996,399,79.95991983967936,3612,120.11972065181244
,         Q3,534,1527,1681,3742,68.19923371647509,156.45491803278688,224.43257676902536,149.2025518341308,445,89.17835671342685,4187,139.2417692051879
,         Q4,482,1337,1492,3311,61.558109833971905,136.9877049180328,199.19893190921226,132.01754385964912,405,81.1623246492986,3716,123.5783172597273

,2008 Q1,452,1248,1342,3042,57.726692209450825,127.86885245901641,179.17222963951934,121.29186602870814,393,78.75751503006012,3435,114.23345527103426
,         Q2,302,997,1029,2328,38.569604086845466,102.1516393442623,137.38317757009347,92.82296650717703,328,65.7314629258517,2656,88.32723644828732
,         Q3,481,1219,1428,3128,61.430395913154534,124.89754098360655,190.65420560747663,124.72089314194577,442,88.57715430861724,3570,118.72297971400067
,         Q4,352,944,1180,2476,44.95530012771392,96.72131147540983,157.543391188251,98.72408293460924,380,76.15230460921843,2856,94.97838377120054

,2009 Q1,254,735,969,1958,32.43933588761175,75.30737704918032,129.3724966622163,78.0701754385965,342,68.5370741482966,2300,76.48819421350183
,         Q2,224,616,798,1638,28.607918263090674,63.114754098360656,106.54205607476635,65.311004784689,227,45.49098196392786,1865,62.021948786165616
,         Q3,322,881,965,2168,41.123882503192846,90.26639344262296,128.8384512683578,86.44338118022328,315,63.126252505010015,2483,82.57399401396741
,         Q4,300,880,946,2126,38.31417624521073,90.1639344262295,126.30173564753005,84.76874003189792,276,55.31062124248497,2402,79.88027934818757

,2010 Q1,342,892,1019,2253,43.67816091954023,91.39344262295081,136.04806408544727,89.83253588516746,235,47.09418837675351,2488,82.74027269704024
,         Q2,260,714,869,1843,33.205619412515965,73.15573770491804,116.02136181575433,73.48484848484848,189,37.87575150300601,2032,67.57565680079813
,         Q3,382,1237,1337,2956,48.78671775223499,126.74180327868851,178.50467289719626,117.86283891547049,342,68.5370741482966,3298,109.6774193548387
,         Q4,313,1047,1202,2562,39.97445721583653,107.27459016393443,160.48064085447263,102.15311004784688,341,68.33667334669339,2903,96.54140339208513

,2011 Q1,322,1016,1249,2587,41.123882503192846,104.0983606557377,166.75567423230976,103.14992025518342,355,71.14228456913828,2942,97.83837712005321
