<new sheet>
sheet_name: 1.07
,1.07 Greater Colombo Housing Approval Index - Annual (1995 - 2020) (a),,,,,,,,,,,,
,,Base Period : 1995 = 100,,,,,,,,,,,
,,Number of Housing Approvals,,,,Housing Approval Index  ,,,,Other Building Approvals,,All Buildings,
,Period,<1000 sq. ft.,1000-2000 sq.ft,>2000 sq. ft.,Total,<1000 sq. ft.,1000-2000 sq.ft,>2000 sq. ft.,All,No.,Index ,No.,Index 

,1995,3462,4093,3101,10656,100,100,100,100,1973,100,12629,100
,1996,2895,3906,3144,9945,83.62,95.43,101.39,93.33,1812,91.8,11757,93.1
,1997,2986,4223,3066,10275,86.25,103.18,98.87,96.42,2286,115.9,12561,99.46
,1998,2908,4213,3186,10307,84,102.93,102.74,96.72,1313,66.5,11620,92.01
,1999,2568,3949,3147,9664,74.2,96.5,101.5,90.7,1069,54.2,10733,85
,2000,2548,4340,3602,10490,73.59907567879839,106.03469337893965,116.15607868429538,98.4421921921922,1084,54.94171312721744,11574,91.64621110143321
,2001,2546,4755,3616,10917,73.54130560369728,116.17395553383827,116.60754595291843,102.44932432432432,1215,61.581348200709584,12132,96.06461319186
,2002,3142,4253,3450,10845,90.75678798382438,103.90911311996092,111.25443405353113,101.77364864864865,1005,50.93765838824126,11850,93.83165729669808
,2003,3772,4442,3758,11972,108.95436164067014,108.52675299291474,121.18671396323765,112.34984984984986,1079,54.68829194120628,13051,103.34151555942672
,2004,4546,5013,3863,13422,131.3113807047949,122.47740043977522,124.57271847791036,125.9572072072072,987,50.02534211860111,14409,114.09454430279516
,2005,3124,5603,5525,14252,90.23685730791449,136.89225506963106,178.1683327958723,133.74624624624624,1494,75.72225038013178,15746,124.68128909652387
,2006,2111,6702,7001,15814,60.97631426920855,163.74297581236257,225.76588197355693,148.40465465465465,2201,111.55600608210847,18015,142.64787394092963
,2007,1961,5757,6427,14145,56.643558636626224,140.65477644759346,207.2557239600129,132.74211711711712,1668,84.54130765331982,15813,125.21181407870773
,2008,1587,4408,4979,10974,45.84055459272097,107.69606645492304,160.5611093195743,102.98423423423424,1543,78.20577800304105,12517,99.11315226858817
,2009,1100,3112,3678,7890,31.773541305603697,76.03225018323968,118.60690099967752,74.0427927927928,1203,60.97313735428281,9093,72.00095019399794
,2010,1297,3890,4427,9614,37.463893703061814,95.04031272904959,142.76039987100935,90.22147147147147,1107,56.10745058286872,10721,84.8919154327342
,2011,1284,4228,5157,10669,37.088388214904676,103.29831419496702,166.30119316349564,100.121996996997,1515,76.78661936137861,12184,96.47636392430121
,2012,1358,4296,5616,11270,39.22588099364529,104.9596872709504,181.10287004192196,105.76201201201201,1425,72.2250380131779,12695,100.52260669886768
,2013,1190,4083,5562,10835,34.37319468515309,99.75568043000244,179.36149629151888,101.6798048048048,1422,72.07298530157121,12257,97.05439860638214
,2014,1101,4458,6233,11792,31.802426343154245,108.91766430491083,200.99967752337955,110.66066066066067,1685,85.40293968575773,13477,106.71470425211812
,2015,1236,4781,7332,13349,35.70190641247834,116.80918641583192,236.439858110287,125.27214714714714,1677,84.99746578813989,15026,118.9801251088764
,2016,923,4297,7505,12725,26.660889659156556,104.98411922795017,242.01870364398582,119.4162912912913,1464,74.20172326406488,14189,112.3525219732362
,2017,758,3848,7237,11843,21.894858463316,94.01417053505986,233.37633021605933,111.13926426426426,1082,54.84034465281298,12925,102.3438118615884
,2018,783,3640,7128,11551,22.616984402079723,88.93232347911068,229.86133505320865,108.39902402402402,880,44.602128737962495,12431,98.43217990339694
,2019,763,3714,6543,11020,22.039283651068747,90.7402882970926,210.9964527571751,103.41591591591592,892,45.21033958438925,11912,94.32259086230104
,2020,553,2423,5053,8029,15.973425765453495,59.19863181040801,162.94743631086746,75.34722222222221,940,47.6431829700963,8969,71.01908306279199
,2021,471,3081,6386,9938,13.604852686308492,75.27485951624725,205.93356981618834,93.26201201201201,866,43.89254941713127,10804,85.54913294797689
,2022,376,2000,4221,6597,10.860774119006354,48.86391399951136,136.117381489842,61.90878378378378,718,36.391282311201216,7315,57.92224245783514
,,,,,,,,,,,Source : Central Bank of Sri Lanka,,
,"(a) Includes 5 Municipal Councils (Colombo, Dehiwala-Mount Lavinia, Sri Jayawardanapura, Moratuwa and Kaduwela), 7 Urban Councils ( Wattala-Mabole, Peliyagoda, Panadura, ",,,,,,,,,,,,
,"     Maharagama, Kesbewa, Horana and Boralesgamuwa) and 8 Pradesheeya Sabha (Homagama, Kotikawatta-Mulleriyawa, Kelaniya, Attanagalla, Wattala-Mabole, Horana, Panadura",,,,,,,,,,,,
,     and Mahara).,,,,,,,,,,,,
,"* From 2005, Mahara Pradeshiya Sabha is included.   ",,,,,,,,,,,,
,"**In 2007, all data included except Oyabadaperuwa sub office",,,,,,,,,,,,
,"*** From 2011 3rd quarter, Kaduwela Pradesheeya Sabha is re categorised as Kaduwela Municipal Council",,,,,,,,,,,,

