<new sheet>
sheet_name: Aggregate Demand
,,,,,,,,,,,,,,,,Rs. Million

Item,"2020
Quarter 1  
(b)","2020
Quarter 2  
(b)","2020
Quarter 3  
(b)","2020
Quarter 4
(b) ","2020
Annual  
(b) ","2021
Quarter 1  
(b)(c) ","2021
Quarter 2  
(b)(c) ","2021
Quarter 3  
(b)(c) ","2021
Quarter 4  
(b)(c) ","2021
Annual  
(b)(c) ","2022
Quarter 1  
(b)(c) ","2022
Quarter 2  
(b)(c) ","2022
Quarter 3 
(b)(c) ","2022
Quarter 4  
(c) ","2022
Annual  
(c) ","2023
Quarter 1  
(c) "

A. Domestic demand,,,,,,,,,,,,,,,,

    Consumption,3112879.0862186695,2440991.717341891,3033820.4520980534,2881437.702907202,11469128.958565822,3310685.8338632383,2866213.0322177387,3081535.1522066873,3175848.7979778037,12434282.816265468,3986857.4259140906,3794999.822260849,4447491.574542523,4471207.679106696,16700556.501824157,5141604.568715588

Private Consumption,2742014.662034085,2022607.4071340812,2627536.1580091836,2450087.6043996774,9842245.831577033,2908408.4337796844,2437218.9528478943,2678827.1126394966,2745200.982942408,10769655.482209481,3516488.5582980094,3419672.9225963373,4025696.9722797247,4011436.831872422,14973295.285046492,4706165.586715588

Government Consumption ,370864.42418458464,418384.3102078096,406284.2940888698,431350.09850752447,1626883.1269887886,402277.4000835541,428994.0793698444,402708.0395671908,430647.8150353957,1664627.3340559853,470368.86761608114,375326.8996645117,421794.60226279893,459770.847234274,1727261.216777666,435438.982

    Gross domestic capital formation,1268662.702924647,977873.8720956215,1381595.35224685,1540248.4864955898,5168380.829888164,1625267.2919073394,1408766.4816337891,1585376.3095294153,1847547.012656365,6466956.803726918,1911422.9697708702,1867741.7622020745,2197193.690904461,2328268.745799724,8304627.237677134,2246539.715348336

Gross Fixed Capital Formation,1050347.5301093748,863685.2599319326,1058555.7242030678,1027229.4667211634,3999817.980965539,1125102.7600287094,1060947.6189250357,1163778.300425869,1280558.8274239039,4630387.506803518,1467819.2541149498,1523635.2018442405,1399064.0667520608,1253501.9770178667,5644020.499729118,1315919.59

Changes in Inventories and Acquisitions less disposals of valuables,218315.17281527206,114188.612163689,323039.6280437822,513019.01977442636,1168562.848922625,500164.5318786298,347818.86270875356,421598.0091035465,566988.1852324613,1836569.2969233997,443603.71565592027,344106.56035783404,798129.6241524002,1074766.7687818573,2660606.737948015,930620.1253483363

    Total Domestic Demand,4381541.789143316,3418865.5894375127,4415415.804344904,4421686.189402792,16637509.788453985,4935953.125770578,4274979.513851528,4666911.461736103,5023395.810634169,18901239.619992387,5898280.395684961,5662741.584462924,6644685.265446984,6799476.42490642,25005183.73950129,7388144.284063924


B. External demand,,,,,,,,,,,,,,,,

      Net external demand,-215874.90828901425,-257844.00757034088,-187869.0794418814,-304386.526573671,-965974.5218749079,-343623.0064308895,-387499.81433766044,-271031.69941961823,-298894.547065238,-1301049.0672534066,-354974.35302079143,-220379.33807615028,-58083.57009730837,-224020.31809044164,-857457.5792846922,-59570.28406392364

      Exports of goods and services ,768810.0941501248,419705.6174569541,652880.3496461464,577145.5096903794,2418541.570943604,673451.7541480295,639207.384487654,760403.1558693636,907201.1591578687,2980263.4536629156,934696.5490359443,1358512.3711890064,1485092.9862096284,1409639.5782867523,5187941.484721331,1419489.847052702

      Imports of goods and services,984685.0024391391,677549.625027295,840749.4290880278,881532.0362640504,3384516.092818512,1017074.760578919,1026707.1988253144,1031434.8552889818,1206095.7062231067,4281312.520916322,1289670.9020567357,1578891.7092651566,1543176.5563069368,1633659.896377194,6045399.064006023,1479060.1311166256


C. Total demand,4165666.880854302,3161021.581867172,4227546.724903022,4117299.6628291206,15671535.266579077,4592330.119339689,3887479.6995138675,4395879.762316484,4724501.26356893,17600190.55273898,5543306.04266417,5442362.246386774,6586601.695349676,6575456.106815978,24147726.1602166,7328574

(a)  Based on the GDP estimates (base year 2015),,,,,,,,,,,,,,,,Sources: Department of Census and Statistics

(b)  Revised,,,,,,,,,,,,,,,,                            Central Bank of Sri Lanka

(c) Provisional,,,,,,,,,,,,,,,,


