<new sheet>
sheet_name: Employed Population

Industry Group,2018 Annual,2019 Q1,2019 Q2,2019 Q3,2019 Q4 ,2019 Annual,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2020 Annual,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2021 Annual,"2022 Q1 
(b)","2022 Q2 
(b)","2022 Q3 
(b)","2022 Q4 
(b)","2022 Annual 
(b)"


By Status of Employment,,,,,,,,,,,,,,,,,,,,,

"Public
 Sector",1158473.6794918925,1228972.9737379826,1227316,1208848,1201058,1216548.848817614,1198722.0697111138,1180450,1153555,1202137,1183716.0323017396,1285174.0132137795,1257395.3036282167,1195549.3927810802,1202537.4662515665,1235164,1253145,1234407,1213037.1514782913,1226563.6035732855,1231788.1675242414

"Private
 Sector ",3474548.1949494085,3511849.094774073,3569078,3526358,3479494,3521694.714268977,3423602.213074452,3445171,3463589,3315624,3411996.4270300018,3456892.7538330723,3346639.959425205,3396037.378577726,3442061.227371773,3410408,3631369,3494877,3379826.453148957,3480473.3560154624,3496636.359380315

Employers,221194.07155624792,217320.82165489893,206332,210022,202962,209159.2685627741,202932.6236173241,181637,241361,185220,202787.6580298081,223674.61699140046,215256.877686554,217827.60614142133,234572.935080772,222833,226907,253639,238342.81604686062,227435.41769056095,236581.15123458928

Own Account Workers,2586135.3574859044,2658082.044981474,2659549,2605346,2711964,2658735.2336189016,2663080.1503580287,2612729,2608658,2746711,2657794.7569715385,2717066.920655336,2675164.7833253313,2668384.0358196516,2765404.0344341467,2706505,2804934,2664571,2701255.286575172,2631841.8063171986,2700650.41446618

"Contributing
 Family Workers",574814.4130630483,566744.5734498185,540744,604766,585963,574554.5363172288,532108.6275601232,557012,500532,581541,542798.4311468021,498682.62731222174,587845.9105236958,566069.5858660776,501791.3039798007,538597,472176,529552,477878.48187006306,448692.004015277,482074.50101402134


By Sector (c),,,,,,,,,,,,,,,,,,,,,

Agriculture,2043697.8420988708,2018951.094016832,1990892,2062790,2215127.743684033,2071940.113067088,2127211.600742532,2159609,2061630.2849482452,2330265.8476065663,2169679,2083101.9328907419,2250273.2543427227,2390849.104141433,2127834.6368640307,2213015,2098142.8822552054,2125240,2152376.931023994,2258475.830733549,2158558.7924452457

Industry,2239262.2016686704,2312670.5700926753,2319047,2205072,2196894.5735456385,2258420.9296725853,2174147.8230270064,2146862,2188330.035404631,2101644.6983811003,2152746,2228028.179538957,2041674.291555672,1969427.3830317259,2198797.328840628,2109482,2342510.9064653683,2267064,2076868.170456206,1946351.9671637649,2158198.7176954728

Services,3732205.672778959,3851347.8444887176,3893079,3887479,3769419.642267454,3850331.5588458576,3719086.260551536,3670528,3717734.9088846985,3599321.9750551307,3676668,3870360.8195761126,3790355.2886906224,3683591.5120128095,3819735.0014133807,3791011,3947877.2607743065,3784742,3781095.087639147,3810178.38971448,3830973.0958523527


Total,8015165.716546464,8182969.508598206,8203018,8155341,8181442,8180692.6015858045,8020445.684321041,7976999,7967695,8031233,7999093,8181490.93200584,8082302.834588996,8043867.999186001,8146366.967118116,8113507,8388531,8177045,8010340.189119248,8015006.187611811,8147730.593619342

(a) Household population aged 15 years and above,,,,,,,,,,,,,,,,,,,,,Source: Department of Census and Statistics

(b) Provisional,,,,,,,,,,,,,,,,,,,,,

(c) Based on the International Standard Industrial Classification (ISIC) - Revision 4,,,,,,,,,,,,,,,,,,,,,


