<new sheet>
sheet_name: 1.04 (II)
ISIC 2dig.,Description (c) ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul

10,Manufacture of food products (35.2%),101.09460465247955,100.95522652120445,102.55124809208773,102.13,102.78572899256784,102.4217744246767,101.81377528521661,103.31959834110019,100.45985550614121,100.23722249911155,101.58978855325635,101.06924122776717,103.6981554065541,102.86223539243619,109.32567639893102,102.23520902037728,100.2434561153122,101.86400371550903,103.5428335760497,109.66612377908676,107.59347769016894,104.61947354236676,105.25270161259176,109.5535016818142,107.2935926845776,106.60865903233201,114.28225236617106,103.6991203353373,103.118577084271,102.66627232379962,104.44297621143095,109.07968351803031,105.0678907110897,104.37493509086737,102.39402552035621,109.66745169364359,104.1,96.5,114.5,93.4,108.9,102.5,103.3,110.5,107.1,108.5,105,112.8,112.8,105.4,105,97.1,114.4,106.2,117.8,107,106.6,114.6,109.5,113,100.5,100.4,126.3,103.3,92.8,112.3,116.2,106.5,107.3,120.1,110.9,114.7,104.8,94,102.9,90.5,89.8,98,88.4,93.7,89.1,92.5,83.3,90.1,84.4,87.3,101.4,89.8,91.1,87.3,95.1

11,Manufacture of beverages (3.8%),91.2902043810755,94.82215911223864,114.11061143073906,101.14398735679929,93.40967404159254,105.98449234209295,102.75741893036816,104.5592710525271,105.6375358829362,117.24464871027136,111.40094082263461,101.39735341715974,101.8641092844141,93.13215151182422,99.13087806244954,91.89601316002242,88.07762044282903,96.24845211539336,91.80455474487863,87.36392901602011,90.99168529105246,84.66033864042325,85.13267537704098,88.15266243646184,98.12624230596147,100.68327871398049,115.57625040294856,94.89041982733227,91.25942716107664,104.624609536586,83.67605344764709,102.64907468295523,101.00278576286496,107.83358396207537,97.19134793545582,100.50479128743581,105.3,99.3,115.7,111.3,103.4,102.8,93.6,102.1,101.2,102.1,98.8,105.7,108.4,106.2,78.8,26.3,53.6,112,123.9,109.9,115.2,94.4,108.7,120.9,104.1,115.3,145.6,126.1,91.8,52.1,119.3,95.2,68.2,110.9,125.8,117.1,124.2,139.1,163.1,126.4,127.6,123,130,129.6,115.1,97.9,134.7,119.6,100.8,108.8,141.7,118.1,115,121.3,99.7

12,Manufacture of tobacco products (1.7%),97.46061359093014,101.63081245820342,111.78644079567361,86.69276601531651,105.81797527262435,114.6324805374507,114.84544453333916,113.11147310456593,115.45916334240611,108.0407594245838,103.30809111681405,88.68680635408627,106.45213564413328,95.56534022329468,100.54126508541536,79.15059601239726,99.40683600434893,112.64672297856944,111.34762875202733,122.59073203075317,117.18157173097099,119.6054242362313,120.4575462199681,91.13717102811299,108.6005447557079,73.55618322125991,101.26235566959487,75.96877492357311,97.27775919035138,93.06639495874181,94.06034064466174,92.47709089182217,90.22858383018672,109.69509212903614,103.76352502287523,72.06367838676998,87.3,84,94.8,52.5,86.7,83.3,84,84.4,80,92.6,78.4,64.5,69.1,66.8,54.1,26.2,77.5,91.5,88.8,87.7,100.6,60.1,76.2,66.9,76.9,69.9,94.7,66.1,61.7,52.9,92.4,85,94,86.1,78.7,76.4,87.6,62.5,100.4,68.1,95.2,100.4,71.6,84.7,82.2,75.4,93.5,76.5,73.6,83.6,79.1,65.4,88.6,98.6,75.9

13,Manufacture of textiles (3.3%),102.50186446414631,90.25230742319297,114.0267566361552,99.23941924320772,104.26363952266222,105.25757550966507,108.81591280953147,103.56444219340568,105.95176369550477,106.74087844458317,103.8943305377864,103.44727107880914,103.24601226459104,93.50438833094334,115.65271799829225,99.38799966432148,105.22780076573655,107.56345394213736,110.72294643615838,105.09416868313524,110.48637645634048,115.3951590484598,116.38077063002119,94.56549297657948,87.74536296261437,88.2007995548585,113.40323362287334,90.06978675994085,110.11080604219354,124.32580266291664,125.89050088286973,116.11487079730188,126.58497248077116,126.90362320735487,122.92334137086642,90.6924859009502,94.8,103.6,115.6,83.7,104.7,116.1,124.7,124,109.2,115.7,125.1,82.7,108.1,82,46.1,13.1,85.6,129.5,134.1,127,139.6,121,128.2,112.4,142.3,114.3,135.5,97.8,136.2,144.3,140.4,137.7,127.3,132.6,132.1,104.1,110.3,122.9,128.2,87.8,111.2,113.9,121.7,95.1,101.2,102.5,57.8,65.3,66.1,80.9,119.4,81.3,90.4,111.5,99.7

14,Manufacture of wearing apparel (19.8%),105.82411209415767,107.31439761000384,106.41293914875027,94.94120997270393,109.04624763840731,114.1123010890976,106.1207111398767,101.55136249486925,103.74508888237435,106.24877753181083,106.00942988194684,107.01553575473979,111.47644934974707,110.7373066401539,112.64582241782584,95.98025606448371,110.29279343185303,117.81756073216256,109.43470285353996,109.81149097880028,107.20818549304735,112.70533834092913,114.83223316394438,115.40482167692596,114.34916989632273,119.40560932501923,121.18119344668104,101.99258407665045,114.16235586649286,113.57601716887498,110.06814449666933,115.66028129898187,111.13464816922107,121.9891091544962,119.20442543705025,117.93009653691536,119.4,116.1,124,110.2,117.2,116.8,113.3,116.8,114,127.9,121.2,109.4,103.4,101.2,70.6,11.4,48.4,71.5,93.8,78.2,92.1,99.1,103.5,100.6,108.9,102.1,131.2,73.4,68.2,75.6,87.7,95.4,92.4,100.7,106,102.6,102,98.5,110.8,97,109.6,101.5,103,98.7,96.7,100.9,96.5,90.2,96.1,79.3,74,67.4,88.8,91.8,88.3
